concept	facet	property	facet_property	cluster_label
riesling	alcohol content	medium	alcohol content: medium	10
wine flavor	alcohol content	medium	alcohol content: medium	10
zinfandel	alcohol content	14% to 16%	alcohol content: 14% to 16%	10
gamay	alcohol content	13% abv	alcohol content: 13% abv	10
full bodied wine	alcohol content	14% or more	alcohol content: 14% or more	10
ice wine	alcohol content	sweet wine	alcohol content: sweet wine	10
dry riesling	alcohol content	12% abv	alcohol content: 12% abv	10
sauvignon blanc	alcohol content	12% abv	alcohol content: 12% abv	10
gamay	alcohol content	12% abv	alcohol content: 12% abv	10
white wine	alcoholic content	13% to 15%	alcoholic content: 13% to 15%	10
petite syrah	alcohol content	12-14%	alcohol content: 12-14%	10
rose wine	alcohol content	13% abv	alcohol content: 13% abv	10
merlot	alcohol content	13% to 15%	alcohol content: 13% to 15%	10
dry red wine	alcohol content	13% to 15%	alcohol content: 13% to 15%	10
table wine	alcohol content	13% to 15%	alcohol content: 13% to 15%	10
zinfandel	alcohol content	15% to 16%	alcohol content: 15% to 16%	10
dry riesling	alcohol content	13% abv	alcohol content: 13% abv	10
medoc	category	alcoholic beverage	category: alcoholic beverage	10
full bodied wine	alcohol content	above 14%	alcohol content: above 14%	10
zinfandel	alcohol content	above 14%	alcohol content: above 14%	10
rose wine	alcohol content	15% abv	alcohol content: 15% abv	10
sweet wine	alcohol content	high	alcohol content: high	10
dry red wine	alcohol content	high	alcohol content: high	10
dry red wine	alcohol content	12-15%	alcohol content: 12-15%	10
cabernet sauvignon	alcohol content	12-15%	alcohol content: 12-15%	10
table wine	alcohol content	12-15%	alcohol content: 12-15%	10
red table wine	alcohol content	12-15%	alcohol content: 12-15%	10
merlot	alcohol content	12-15%	alcohol content: 12-15%	10
zinfandel	alcohol content	medium-high	alcohol content: medium-high	10
table wine	alcoholic content	13% to 15%	alcoholic content: 13% to 15%	10
ice wine	alcohol content	high	alcohol content: high	10
dessert wine	alcohol content	high	alcohol content: high	10
zinfandel	alcohol content	high	alcohol content: high	10
dry wine	alcohol content	high	alcohol content: high	10
wine flavor	alcohol content	high	alcohol content: high	10
full bodied wine	alcohol content	high	alcohol content: high	10
sauvignon blanc	alcohol content	13% abv	alcohol content: 13% abv	10
red burgundy	type	alcoholic drink	type: alcoholic drink	10
table wine	alcoholic content	varies	alcoholic content: varies	10
white wine	alcoholic content	typically 12%	alcoholic content: typically 12%	10
dry wine	alcoholic content	strong	alcoholic content: strong	10
dry red wine	alcoholic content	strong	alcoholic content: strong	10
dry red wine	alcoholic content	adults only	alcoholic content: adults only	10
dry red wine	type	alcoholic drink	type: alcoholic drink	10
rose wine	type	alcoholic drink	type: alcoholic drink	10
red table wine	type	alcoholic drink	type: alcoholic drink	10
white wine	alcoholic content	varies	alcoholic content: varies	10
red table wine	alcoholic content	moderate	alcoholic content: moderate	10
fish course	pairing	with beer	pairing: with beer	10
fish course	pairing	beer	pairing: beer	10
rose wine	texture	bubbly	texture: bubbly	10
riesling	texture	bubbly	texture: bubbly	10
wine descriptor	alcohol level	medium	alcohol level: medium	10
medoc	type	alcoholic beverage	type: alcoholic beverage	10
white table wine	category	alcoholic drink	category: alcoholic drink	10
dry red wine	alcoholic content	high	alcoholic content: high	10
dry wine	alcoholic content	high	alcoholic content: high	10
red table wine	alcoholic content	high	alcoholic content: high	10
medoc	alcoholic content	high	alcoholic content: high	10
red burgundy	alcoholic content	high	alcoholic content: high	10
wine descriptor	alcohol level	high	alcohol level: high	10
white burgundy	alcohol content	12-14%	alcohol content: 12-14%	10
wine grape	category	alcoholic drink	category: alcoholic drink	10
chardonnay	alcohol content	12% to 15%	alcohol content: 12% to 15%	10
table wine	category	alcoholic drink	category: alcoholic drink	10
medoc	category	alcoholic drink	category: alcoholic drink	10
red table wine	category	alcoholic drink	category: alcoholic drink	10
dry riesling	alcohol content	low to medium	alcohol content: low to medium	10
ice wine	alcohol content	typically 10-20%	alcohol content: typically 10-20%	10
table wine	alcoholic content	usually 12-15%	alcoholic content: usually 12-15%	10
wine descriptor	alcohol level	low	alcohol level: low	10
sweet riesling	alcohol content	around 8-12%	alcohol content: around 8-12%	10
muscadet	alcohol content	low to moderate	alcohol content: low to moderate	10
full bodied wine	alcohol content	14-16%	alcohol content: 14-16%	10
riesling	alcohol content	typically 11-13%	alcohol content: typically 11-13%	10
riesling	alcohol content	usually low to moderate	alcohol content: usually low to moderate	10
sweet riesling	alcohol content	around 11%	alcohol content: around 11%	10
sweet riesling	alcohol content	moderate	alcohol content: moderate	10
dry riesling	alcohol content	12% or less	alcohol content: 12% or less	10
sweet riesling	alcohol content	lower	alcohol content: lower	10
rose wine	type	alcoholic beverage	type: alcoholic beverage	10
zinfandel	alcohol content	12-16%	alcohol content: 12-16%	10
wine grape	chemical composition	alcoholic	chemical composition: alcoholic	10
sweet riesling	alcohol content	low	alcohol content: low	10
dry wine	alcohol content	low	alcohol content: low	10
wine flavor	alcohol content	low	alcohol content: low	10
riesling	alcohol content	low	alcohol content: low	10
dry white wine	alcohol content	12% to 15%	alcohol content: 12% to 15%	10
sweet wine	alcohol content	strong	alcohol content: strong	10
dry white wine	type	alcoholic beverage	type: alcoholic beverage	10
red wine	type	alcoholic beverage	type: alcoholic beverage	10
dry red wine	type	alcoholic beverage	type: alcoholic beverage	10
red table wine	type	alcoholic beverage	type: alcoholic beverage	10
rose wine	category	alcoholic beverage	category: alcoholic beverage	10
red wine	category	alcoholic beverage	category: alcoholic beverage	10
red table wine	category	alcoholic beverage	category: alcoholic beverage	10
dry red wine	category	alcoholic beverage	category: alcoholic beverage	10
white table wine	category	alcoholic beverage	category: alcoholic beverage	10
dry white wine	category	alcoholic beverage	category: alcoholic beverage	10
white wine	category	alcoholic beverage	category: alcoholic beverage	10
table wine	category	alcoholic beverage	category: alcoholic beverage	10
red burgundy	alcohol content	12-15%	alcohol content: 12-15%	10
dessert wine	alcohol content	strong	alcohol content: strong	10
full bodied wine	alcohol content	strong	alcohol content: strong	10
dry red wine	alcohol content	strong	alcohol content: strong	10
burgundy	objects	clothing	objects: clothing	11
sweet dessert	appearance	decorated	appearance: decorated	11
sweet dessert	appearance	ornate	appearance: ornate	11
st émilion	architecture	romanesque church	architecture: romanesque church	12
st-émilion	architecture	romanesque church	architecture: romanesque church	12
st émilion	history	monastery	history: monastery	12
st émilion	architecture	monastery buildings	architecture: monastery buildings	12
st emilion	history	romanesque architecture	history: romanesque architecture	12
st. émilion	features	romanesque church	features: romanesque church	12
st émilion	architecture	romanesque architecture	architecture: romanesque architecture	12
st-émilion	history	romanesque church	history: romanesque church	12
st émilion	architecture	churches	architecture: churches	12
dessert wine	type	fortified	type: fortified	13
st-émilion	architecture	medieval architecture	architecture: medieval architecture	13
loire	cultural significance	medieval castles	cultural significance: medieval castles	13
st. émilion	features	medieval architecture	features: medieval architecture	13
sauterne	age	fortified	age: fortified	13
st émilion	architecture	medieval castle	architecture: medieval castle	13
st-émilion	architecture	cobbled streets	architecture: cobbled streets	13
wine flavor	aroma	fruity	aroma: fruity	14
white burgundy	aroma	fruity	aroma: fruity	14
dry riesling	aroma	green apple	aroma: green apple	14
riesling	aroma	fruit	aroma: fruit	14
wine descriptor	aroma characteristics	fruity	aroma characteristics: fruity	14
sancerre	wine characteristics	floral aromas	wine characteristics: floral aromas	14
dry riesling	aroma	stone fruit	aroma: stone fruit	14
full bodied wine	aroma	fruity notes	aroma: fruity notes	14
pinot blanc	aroma	pear	aroma: pear	14
full bodied wine	aroma	fruity	aroma: fruity	14
wine descriptor	aroma	fruity	aroma: fruity	14
dry riesling	aroma	fruity	aroma: fruity	14
dry white wine	aroma	fruity	aroma: fruity	14
sweet wine	aroma	fruity	aroma: fruity	14
white wine	aroma	fruity	aroma: fruity	14
pinot noir	aroma	cherry	aroma: cherry	14
sauvignon blanc	aroma	green apple	aroma: green apple	14
white table wine	aroma	fruity	aroma: fruity	14
sauvignon blanc	aroma	fruity	aroma: fruity	14
sweet riesling	aroma	fruity	aroma: fruity	14
pinot blanc	aroma	fruity	aroma: fruity	14
dry red wine	aroma	fruity	aroma: fruity	14
wine taste	aroma	fruity	aroma: fruity	14
pinot noir	aroma	berry	aroma: berry	14
dessert wine	aroma	fruity	aroma: fruity	14
pinot blanc	aroma	apple	aroma: apple	14
riesling	aroma	apple	aroma: apple	14
chenin blanc	aroma	apple	aroma: apple	14
chardonnay	aroma	green apple	aroma: green apple	14
beaujolais	aroma	fruity	aroma: fruity	14
white bordeaux	aroma	lemon	aroma: lemon	14
sauvignon blanc	aroma	mineral	aroma: mineral	14
wine descriptor	aromatic notes	fruit	aromatic notes: fruit	14
full bodied wine	aroma	oaky notes	aroma: oaky notes	14
wine descriptor	aromatic notes	caramel	aromatic notes: caramel	14
dessert course	associated emotions	joy	associated emotions: joy	15
dessert course	associated emotions	relaxation	associated emotions: relaxation	15
dessert	associated emotions	joy	associated emotions: joy	15
dessert	associated emotions	relaxation	associated emotions: relaxation	15
dessert course	associated emotions	celebration	associated emotions: celebration	15
fruit course	purpose	satisfaction	purpose: satisfaction	15
dessert	associated emotions	indulgence	associated emotions: indulgence	15
sauvignon blanc	type	crisp wine	type: crisp wine	16
wine descriptor	wine characteristic	finish	wine characteristic: finish	16
wine descriptor	wine characteristic	body	wine characteristic: body	16
pauillac	wine characteristics	complex	wine characteristics: complex	16
beaujolais	characteristics	young wine	characteristics: young wine	16
sancerre	wine characteristics	high acidity	wine characteristics: high acidity	16
semillon	wine characteristics	crisp acidity	wine characteristics: crisp acidity	16
wine color	determinants	grape variety	determinants: grape variety	16
wine color	association	strong with red wine	association: strong with red wine	16
wine color	caused by	grape variety	caused by: grape variety	16
white burgundy	wine	crisp	wine: crisp	16
wine color	relation to grape	influenced by grape variety	relation to grape: influenced by grape variety	16
wine descriptor	wine characteristic	tannins	wine characteristic: tannins	16
pinot blanc	wine style	refreshing	wine style: refreshing	16
sancerre	wine style	refreshing	wine style: refreshing	16
white bordeaux	wine style	refreshing	wine style: refreshing	16
meursault	winemaking style	crisp	winemaking style: crisp	16
american wine	winemaking style	crisp	winemaking style: crisp	16
gamay	characteristics	produces wine with low tannins	characteristics: produces wine with low tannins	16
meursault	winemaking style	buttery	winemaking style: buttery	16
dry riesling	wine style	crisp	wine style: crisp	16
sancerre	wine style	crisp	wine style: crisp	16
white bordeaux	wine style	crisp	wine style: crisp	16
sauvignon blanc	wine type	crisp	wine type: crisp	16
sancerre	wine style	aromatic	wine style: aromatic	16
sauvignon blanc	wine type	crisp wine	wine type: crisp wine	16
wine color	association	weak with white wine	association: weak with white wine	16
wine color	association	white wine with crispness	association: white wine with crispness	16
cabernet franc	wine characteristics	medium acidity	wine characteristics: medium acidity	16
cabernet franc	wine characteristics	dry	wine characteristics: dry	16
pauillac	wine characteristics	flavors of dark fruit	wine characteristics: flavors of dark fruit	16
pinot noir	grape characteristics	acidic	grape characteristics: acidic	16
wine flavor	flavor profile	white wine	flavor profile: white wine	16
wine descriptor	sensory attribute	appearance	sensory attribute: appearance	17
merlot	characteristics	approachable	characteristics: approachable	17
wine descriptor	sensory property	appearance	sensory property: appearance	17
wine descriptor	characteristic	body	characteristic: body	17
wine descriptor	attribute	appearance	attribute: appearance	17
wine descriptor	aspect	appearance	aspect: appearance	17
dessert	appearance	attractive	appearance: attractive	17
sweet dessert	appearance	attractive	appearance: attractive	17
edible thing	appearance	appealing	appearance: appealing	17
wine color	affects	appearance	affects: appearance	17
wine descriptor	appearance	vigor	appearance: vigor	17
wine descriptor	visual appearance	body	visual appearance: body	17
wine descriptor	evaluation criteria	appearance	evaluation criteria: appearance	17
tours	target audience	history buffs	target audience: history buffs	18
wine descriptor	audience	wine enthusiast	audience: wine enthusiast	18
wine descriptor	audience	general public	audience: general public	18
wine descriptor	audience	wine expert	audience: wine expert	18
white table wine	served in	wine glass	served in: wine glass	19
red bordeaux	stored at	wine cellar	stored at: wine cellar	19
red wine	preservation	corked	preservation: corked	19
cabernet franc	used for	enjoying as a standalone wine	used for: enjoying as a standalone wine	19
texas wine	available at	wine shop	available at: wine shop	19
texas wine	available at	wine festival	available at: wine festival	19
red wine	stored in	wine box	stored in: wine box	19
chardonnay	popular in	wine bars	popular in: wine bars	19
table wine	stored at	wine cellar	stored at: wine cellar	19
red wine	stored in	wine cellar	stored in: wine cellar	19
wine descriptor	used for	wine description	used for: wine description	19
wine descriptor	wine pairing	no pairing	wine pairing: no pairing	19
red meat	located at	restaurant	located at: restaurant	20
fruit course	commonly found at	restaurant	commonly found at: restaurant	20
pasta	located at	italian restaurant	located at: italian restaurant	20
red meat	sourced from	restaurant	sourced from: restaurant	20
texas wine	available at	restaurant	available at: restaurant	20
fruit course	commonly found at	buffet	commonly found at: buffet	20
chardonnay	popular in	restaurants	popular in: restaurants	20
pasta	located at	restaurant	located at: restaurant	20
edible thing	located at	restaurant	located at: restaurant	20
french wine	awards	michelin star	awards: michelin star	21
pauillac	awards	wine of the year	awards: wine of the year	21
french wine	awards	grand vin	awards: grand vin	21
california wine	awards	wine enthusiast	awards: wine enthusiast	21
st. emilion	awards	premier grand cru classé	awards: premier grand cru classé	21
california wine	awards	wine spectator	awards: wine spectator	21
texas wine	awards	wineries with awards	awards: wineries with awards	21
french wine	awards	premier cru	awards: premier cru	21
texas wine	awards	texas wine awards	awards: texas wine awards	21
wine descriptor	purpose	wine criticism	purpose: wine criticism	21
margaux	awards	wine critic's favorite	awards: wine critic's favorite	21
california wine	awarded with	best wine award	awarded with: best wine award	21
german wine	awards	best wine	awards: best wine	21
california wine	awarded with	wine competition	awarded with: wine competition	21
pauillac	wine awards	critic score	wine awards: critic score	21
margaux	awards	wine critic's choice	awards: wine critic's choice	21
french wine	awards	grand cru	awards: grand cru	21
french wine	awards	wine spectator award	awards: wine spectator award	21
white burgundy	awards	best wine	awards: best wine	21
alsace wine	awards	best wine	awards: best wine	21
medoc	awards	highly rated	awards: highly rated	22
margaux	awards	highly rated	awards: highly rated	22
alsace wine	awards	highly rated	awards: highly rated	22
zinfandel	awards	highly rated	awards: highly rated	22
pauillac	awards	highly rated	awards: highly rated	22
california wine	award-winning	yes	award-winning: yes	22
meursault	notable for	highly rated	notable for: highly rated	22
german wine	awards	receiving high ratings	awards: receiving high ratings	22
white burgundy	awards	highly rated	awards: highly rated	22
red bordeaux	awards	highly rated	awards: highly rated	22
italian wine	awards	highly rated	awards: highly rated	22
german wine	awards	top rating	awards: top rating	22
american wine	awards	best of show	awards: best of show	22
meritage	award-winning	yes	award-winning: yes	22
st emilion	award	highly rated	award: highly rated	22
california wine	awards	best of show	awards: best of show	22
california wine	awards	high ratings	awards: high ratings	22
medoc	awards	high ratings	awards: high ratings	22
