concept	facet	property	facet_property	cluster_label
environmental tax	effectiveness	promoting eco-friendly practices	effectiveness: promoting eco-friendly practices	5
ecological balance	maintenance	eco-friendly practices	maintenance: eco-friendly practices	5
fight against wastage	strategies	choose eco-friendly products	strategies: choose eco-friendly products	5
environmental impact	measures	eco-friendly practices	measures: eco-friendly practices	5
environment	actions	sustainable living	actions: sustainable living	5
protection of plant life	actions	using eco-friendly products	actions: using eco-friendly products	5
prevention of pollution	practices	eco-friendly	practices: eco-friendly	5
conservation of resources	strategies	eco-friendly practices	strategies: eco-friendly practices	5
fight against wastage	actions	choose eco-friendly options	actions: choose eco-friendly options	5
eu environmental policy	actions	eco-innovation	actions: eco-innovation	5
prevention of pollution	initiatives	eco-friendly practices	initiatives: eco-friendly practices	5
fight against wastage	initiatives	eco-friendly practices	initiatives: eco-friendly practices	5
water protection	actions	individual actions	actions: individual actions	5
environmental protection	actions	individual actions	actions: individual actions	5
environmental protection	actions	eco-friendly practices	actions: eco-friendly practices	5
protection of animal life	actions	fundraising	actions: fundraising	6
environment	actions	education	actions: education	6
environmental protection	actions	education	actions: education	6
protection of plant life	actions	education	actions: education	6
protection of animal life	actions	education	actions: education	6
quality of the environment	actions	education	actions: education	6
man-made disaster	responses	community recovery	responses: community recovery	6
protection of animal life	actions	community involvement	actions: community involvement	6
water protection	actions	community involvement	actions: community involvement	6
environmental protection	actions	community involvement	actions: community involvement	6
national city park	functions	community building	functions: community building	6
national city park	functions	community engagement	functions: community engagement	6
prevention of pollution	initiatives	community involvement	initiatives: community involvement	6
fight against wastage	initiatives	community involvement	initiatives: community involvement	6
environmental education	outcomes	community engagement	outcomes: community engagement	6
coastal protection	challenges	community engagement	challenges: community engagement	6
national city park	activities	community events	activities: community events	6
ecological balance	solutions	community engagement	solutions: community engagement	6
local pollution	solutions	community engagement	solutions: community engagement	6
environmental indicator	applications	community engagement	applications: community engagement	6
environmental monitoring	applications	community engagement	applications: community engagement	6
national city park	goals	community engagement	goals: community engagement	6
water protection	actions	community efforts	actions: community efforts	6
environmental protection	actions	community engagement	actions: community engagement	6
protection of plant life	actions	community engagement	actions: community engagement	6
national city park	uses	community gathering	uses: community gathering	6
fight against wastage	areas	community	areas: community	6
area management	strategies	community engagement	strategies: community engagement	6
adaptation to climate change	strategies	community engagement	strategies: community engagement	6
environmental education	methods	community engagement	methods: community engagement	6
countryside conservation	methods	community engagement	methods: community engagement	6
environmental protection	methods	community engagement	methods: community engagement	6
national city park	uses	community events	uses: community events	6
reduction of gas emissions	strategies	community engagement	strategies: community engagement	6
fight against wastage	actions	buy second-hand	actions: buy second-hand	7
replacement of resources	type	reusing	type: reusing	7
fight against wastage	solutions	repurpose	solutions: repurpose	7
protection of animal life	actions	rescue	actions: rescue	7
replacement of resources	methods	repurposing	methods: repurposing	7
fight against wastage	types	repurposing	types: repurposing	7
fight against wastage	actions	refuse	actions: refuse	7
fight against wastage	strategies	repurpose	strategies: repurpose	7
fight against wastage	actions	recycle	actions: recycle	7
environment	actions	recycle	actions: recycle	7
replacement of resources	strategies	repurpose	strategies: repurpose	7
waste management	principles	rethink	principles: rethink	7
waste management	principles	repurpose	principles: repurpose	7
fight against wastage	actions	repurpose	actions: repurpose	7
water protection	actions	technology development	actions: technology development	8
reduction of gas emissions	measures	research and development	measures: research and development	8
climate change policy	measures	research and development	measures: research and development	8
cost of pollution	measures	research and development	measures: research and development	8
climate change	response	research and development	response: research and development	8
deposit on a polluting product	destination	research and development	destination: research and development	8
environmental tax	funding	research and development	funding: research and development	8
environmental protection	actions	technology development	actions: technology development	8
protection of plant life	efforts	research and development	efforts: research and development	8
protection of animal life	actions	research and monitoring	actions: research and monitoring	8
protection of animal life	actions	research and development	actions: research and development	8
water protection	actions	research and development	actions: research and development	8
adaptation to climate change	implementation	research and development	implementation: research and development	8
pollution control measures	implementation	research and development	implementation: research and development	8
climate change policy	implementation	research and development	implementation: research and development	8
prevention of pollution	initiatives	research and development	initiatives: research and development	8
countryside conservation	actions	research and monitoring	actions: research and monitoring	8
water protection	actions	educational programs	actions: educational programs	9
prevention of pollution	initiatives	public awareness campaigns	initiatives: public awareness campaigns	9
metal pollution	prevention	awareness campaigns	prevention: awareness campaigns	9
prevention of pollution	initiatives	awareness campaigns	initiatives: awareness campaigns	9
fight against wastage	actions	participate in community initiatives	actions: participate in community initiatives	9
fight against wastage	initiatives	community clean-up events	initiatives: community clean-up events	9
fight against wastage	methods	awareness campaigns	methods: awareness campaigns	9
protection of animal life	actions	awareness campaigns	actions: awareness campaigns	9
noise pollution	measures	awareness campaigns	measures: awareness campaigns	9
fight against wastage	initiatives	awareness campaigns	initiatives: awareness campaigns	9
inshore grounds	activities	fishing	activities: fishing	10
national city park	activities	fishing	activities: fishing	10
inshore grounds	activities	boating	activities: boating	10
national city park	activities	boating	activities: boating	10
national park	activities	boating	activities: boating	10
inshore grounds	activities	beach volleyball	activities: beach volleyball	10
inshore grounds	uses	boating	uses: boating	10
watercourse	uses	boating	uses: boating	10
lake	uses	boating	uses: boating	10
national park	activities	fishing	activities: fishing	10
national city park	activities	walking	activities: walking	10
inshore grounds	activities	beachcombing	activities: beachcombing	10
national city park	activities	picnicking	activities: picnicking	10
inshore grounds	activities	kayaking	activities: kayaking	10
lake	used for	boating	used for: boating	10
inshore grounds	used for	boating	used for: boating	10
inshore grounds	activities	surfing	activities: surfing	10
national park	activities	hiking	activities: hiking	10
national city park	activities	hiking	activities: hiking	10
nature reserve	activities	hiking	activities: hiking	10
national park	activities	camping	activities: camping	10
nature reserve	activities	camping	activities: camping	10
national city park	activities	biking	activities: biking	10
inshore grounds	activities	snorkeling	activities: snorkeling	10
national city park	activities	cycling	activities: cycling	10
nature reserve	activities	wildlife watching	activities: wildlife watching	11
inshore grounds	used for	wildlife observation	used for: wildlife observation	11
nature reserve	activities	photography	activities: photography	11
national park	activities	photography	activities: photography	11
nature reserve	activities	wildlife observation	activities: wildlife observation	11
national city park	activities	wildlife watching	activities: wildlife watching	11
national city park	activities	birdwatching	activities: birdwatching	11
national city park	activities	historical tours	activities: historical tours	11
nature reserve	features	wildlife viewing	features: wildlife viewing	11
nature reserve	activities	birdwatching	activities: birdwatching	11
inshore grounds	activities	birdwatching	activities: birdwatching	11
national park	uses	wildlife watching	uses: wildlife watching	11
national park	activities	wildlife watching	activities: wildlife watching	11
national park	activities	research	activities: research	12
arctic	human activities	research	human activities: research	12
frigid zone	human activities	research	human activities: research	12
norwegian sea	human activities	research	human activities: research	12
area management	activities	design	activities: design	12
nature reserve	activities	research	activities: research	12
national park	activities	scientific research	activities: scientific research	12
antarctica	research	scientific research	research: scientific research	12
protection of plant life	actions	research	actions: research	12
environmental protection	actions	research	actions: research	12
protection of animal life	actions	research	actions: research	12
water protection	actions	research	actions: research	12
polar region	research	scientific research	research: scientific research	12
nature reserve	activities	education	activities: education	12
quality of the environment	actions	research	actions: research	12
emission trading	participants	ngos	participants: ngos	13
climate change policy	stakeholders	ngos	stakeholders: ngos	13
environmental policy	stakeholders	ngos	stakeholders: ngos	13
environmental protection	stakeholders	ngos	stakeholders: ngos	13
water protection	stakeholders	ngos	stakeholders: ngos	13
climate change policy	actors	international organizations	actors: international organizations	13
protection of animal life	organizations	ngos	organizations: ngos	13
environmental policy	actors	international organizations	actors: international organizations	13
protection of animals	organizations	ngos	organizations: ngos	13
water protection	organizations	ngos	organizations: ngos	13
environmental research	institutions	ngos	institutions: ngos	13
tradeable emission permit	participants	ngos	participants: ngos	13
environmental protection	actors	international organizations	actors: international organizations	13
countryside conservation	involvement	ngos	involvement: ngos	13
climate change policy	actors	ngos	actors: ngos	13
environmental policy	actors	ngos	actors: ngos	13
climate change policy	actors	civil society	actors: civil society	13
water protection	entities	ngos	entities: ngos	13
fight against wastage	actors	ngos	actors: ngos	13
waste disposal	actors	ngos	actors: ngos	13
environmental law	actors	ngos	actors: ngos	13
waste management	actors	ngos	actors: ngos	13
countryside conservation	actors	non-profit organizations	actors: non-profit organizations	13
pollution control	actors	ngos	actors: ngos	13
environmental protection	actors	ngos	actors: ngos	13
exploitation of resources	actors	ngos	actors: ngos	13
countryside conservation	actors	ngos	actors: ngos	13
area management	actors	ngos	actors: ngos	13
water protection	actors	ngos	actors: ngos	13
area management	actors	private companies	actors: private companies	14
exploitation of the seas	actors	companies	actors: companies	14
exploitation of resources	actors	companies	actors: companies	14
dumping of waste	actors	companies	actors: companies	14
pollution control	actors	companies	actors: companies	14
environmental protection	actors	government	actors: government	14
area management	actors	government	actors: government	14
waste management	actors	government	actors: government	14
environmental policy	actors	government	actors: government	14
fight against wastage	actors	individuals	actors: individuals	14
countryside conservation	actors	government	actors: government	14
waste disposal	actors	individuals	actors: individuals	14
dumping of waste	actors	individuals	actors: individuals	14
environmental law	actors	individuals	actors: individuals	14
waste management	actors	individuals	actors: individuals	14
pollution control	actors	individuals	actors: individuals	14
climate change policy	actors	individuals	actors: individuals	14
exploitation of resources	actors	individuals	actors: individuals	14
environmental protection	actors	individuals	actors: individuals	14
unauthorised dumping	actors	individuals	actors: individuals	14
exploitation of the seas	actors	individuals	actors: individuals	14
water protection	actors	individuals	actors: individuals	14
environmental policy	actors	individuals	actors: individuals	14
food contamination	actors	consumers	actors: consumers	14
water protection	actors	businesses	actors: businesses	14
countryside conservation	actors	individuals	actors: individuals	14
unauthorised dumping	actors	businesses	actors: businesses	14
environmental law	actors	governments	actors: governments	14
climate change policy	actors	businesses	actors: businesses	14
area management	actors	developers	actors: developers	14
waste disposal	actors	governments	actors: governments	14
environmental protection	actors	businesses	actors: businesses	14
area management	actors	governments	actors: governments	14
countryside conservation	actors	governments	actors: governments	14
climate change policy	actors	governments	actors: governments	14
pollution control	actors	governments	actors: governments	14
dumping of waste	actors	governments	actors: governments	14
exploitation of resources	actors	governments	actors: governments	14
environmental protection	actors	governments	actors: governments	14
exploitation of the seas	actors	governments	actors: governments	14
unauthorised dumping	actors	governments	actors: governments	14
fight against wastage	actors	governments	actors: governments	14
food contamination	actors	processors	actors: processors	14
water protection	actors	governments	actors: governments	14
environmental law	actors	businesses	actors: businesses	14
fight against wastage	actors	businesses	actors: businesses	14
food contamination	actors	retailers	actors: retailers	14
exploitation of resources	actors	corporations	actors: corporations	14
waste disposal	actors	businesses	actors: businesses	14
waste management	players	government	players: government	14
area management	actors	community members	actors: community members	14
countryside conservation	actors	local communities	actors: local communities	14
environmental policy	actors	individual	actors: individual	14
exploitation of the seas	actors	corporations	actors: corporations	14
area management	actors	private developers	actors: private developers	15
countryside conservation	actors	landowners	actors: landowners	15
area management	stakeholders	property owners	stakeholders: property owners	15
countryside conservation	actors	scientists	actors: scientists	16
countryside conservation	actors	farmers	actors: farmers	16
environmental protection	actors	scientists	actors: scientists	16
fire protection	actors	fire engineers	actors: fire engineers	16
exploitation of the seas	actors	fishermen	actors: fishermen	16
food contamination	actors	farmers	actors: farmers	16
area management	actors	architects	actors: architects	16
countryside conservation	actors	tourists	actors: tourists	16
exploitation of the seas	actors	tourists	actors: tourists	16
countryside conservation	actors	researchers	actors: researchers	16
environmental policy	actors	business	actors: business	16
area management	actors	engineers	actors: engineers	16
food contamination	actors	distributors	actors: distributors	16
dumping of waste	actors	communities	actors: communities	17
environmental policy	actors	community	actors: community	17
unauthorised dumping	actors	communities	actors: communities	17
exploitation of the seas	actors	communities	actors: communities	17
exploitation of resources	actors	communities	actors: communities	17
pollution control	actors	communities	actors: communities	17
water protection	actors	communities	actors: communities	17
countryside conservation	actors	communities	actors: communities	17
fight against wastage	actors	communities	actors: communities	17
area management	actors	community groups	actors: community groups	17
waste disposal	actors	community groups	actors: community groups	17
waste management	actors	industry	actors: industry	17
waste management	actors	communities	actors: communities	17
waste management	players	community	players: community	17
seal	adaptation	streamlined body	adaptation: streamlined body	18
marine mammal	adaptations	streamlined bodies	adaptations: streamlined bodies	18
seal	adaptation	flippers for propulsion	adaptation: flippers for propulsion	18
dolphin	physical characteristics	streamlined body	physical characteristics: streamlined body	18
marine mammal	adaptations	streamlined body	adaptations: streamlined body	18
bird	physical	streamlined	physical: streamlined	18
seal	adaptations	streamlined body	adaptations: streamlined body	18
wolf	adaptations	keen sense of smell	adaptations: keen sense of smell	19
animal life	adaptations	sharp vision	adaptations: sharp vision	19
wild mammal	adaptations	keen senses	adaptations: keen senses	19
wolf	adaptations	sharp hearing	adaptations: sharp hearing	19
lynx	adaptations	exceptional night vision	adaptations: exceptional night vision	19
insect	adaptations	antennae sensors	adaptations: antennae sensors	19
whale	adaptations	breathing at surface	adaptations: breathing at surface	20
animal life	adaptations	speed	adaptations: speed	20
marine mammal	adaptations	dive reflex	adaptations: dive reflex	20
reptile	adaptations	climbing	adaptations: climbing	20
wild mammal	adaptations	hooves	adaptations: hooves	20
marine life	adaptations	shell formation	adaptations: shell formation	20
marine life	adaptations	buoyancy	adaptations: buoyancy	20
wildlife	adaptations	wings	adaptations: wings	20
animal life	adaptations	wings	adaptations: wings	20
dolphin	physical characteristics	aquatic body	physical characteristics: aquatic body	20
seal	animal	adaptation to water	animal: adaptation to water	20
lynx	adaptations	hearing	adaptations: hearing	20
wildlife	adaptations	gills	adaptations: gills	20
insect	adaptations	wings	adaptations: wings	20
marine life	adaptations	gills	adaptations: gills	20
animal life	adaptations	gills	adaptations: gills	20
wild mammal	adaptations	teeth	adaptations: teeth	20
marine mammal	adaptations	social behavior	adaptations: social behavior	20
wildlife	adaptations	social behavior	adaptations: social behavior	20
marine mammal	adaptations	breathing	adaptations: breathing	20
marine mammal	adaptations	swimming	adaptations: swimming	20
marine life	adaptations	swimming	adaptations: swimming	20
marine mammal	adaptations	breathing air	adaptations: breathing air	20
marine mammal	adaptations	diving	adaptations: diving	20
fur-bearing animal	adaptations	shelter seeking	adaptations: shelter seeking	20
marine life	adaptations	filter feeding	adaptations: filter feeding	20
marine mammal	adaptations	fins	adaptations: fins	20
reptile	adaptations	swimming	adaptations: swimming	20
bear	adaptations	thick fur	adaptations: thick fur	21
fur-bearing animal	adaptation	thick fur	adaptation: thick fur	21
fur-bearing animal	characteristics	warmth regulation	characteristics: warmth regulation	21
animal life	adaptations	fur	adaptations: fur	21
fur-bearing animal	adaptations	thick fur	adaptations: thick fur	21
fur-bearing animal	adaptations	insulation	adaptations: insulation	21
wild mammal	adaptations	insulation	adaptations: insulation	21
bear	adaptations	layer of fat	adaptations: layer of fat	21
fur-bearing animal	adaptations	water-repellent	adaptations: water-repellent	21
wild mammal	adaptations	fur	adaptations: fur	21
marine life	adaptations	fin	adaptations: fin	22
reptile	adaptations	venom	adaptations: venom	22
insect	adaptations	venom	adaptations: venom	22
reptile	adaptations	poison	adaptations: poison	22
insect	adaptations	stingers	adaptations: stingers	22
marine mammal	adaptations	whale song	adaptations: whale song	22
insect	adaptations	poisonous stingers	adaptations: poisonous stingers	22
insect	adaptations	tentacles	adaptations: tentacles	22
fur-bearing animal	adaptation	hairspray	adaptation: hairspray	22
lynx	adaptations	silent paws	adaptations: silent paws	22
national park	management	ranger	management: ranger	22
harmful plant	properties	stinging hairs	properties: stinging hairs	22
insect	defenses	stinging	defenses: stinging	22
insect	features	stingers	features: stingers	22
bear	adaptations	strong limbs	adaptations: strong limbs	23
wild mammal	adaptations	strong legs	adaptations: strong legs	23
marsupial	features	strong hind legs	features: strong hind legs	23
reptile	adaptations	strong jaws	adaptations: strong jaws	23
insect	characteristics	multiple limbs	characteristics: multiple limbs	23
wild mammal	adaptations	sharp teeth	adaptations: sharp teeth	23
wolf	adaptations	sharp teeth	adaptations: sharp teeth	23
lynx	adaptations	claws for climbing	adaptations: claws for climbing	23
seal	adaptations	flippers	adaptations: flippers	23
marine mammal	adaptations	flippers	adaptations: flippers	23
whale	adaptations	flippers	adaptations: flippers	23
fur-bearing animal	adaptations	scent glands	adaptations: scent glands	24
fur-bearing animal	features	scent glands	features: scent glands	24
animal life	communication	pheromones	communication: pheromones	24
fur-bearing animal	characteristics	scent glands	characteristics: scent glands	24
chiroptera	characteristics	echolocation	characteristics: echolocation	25
whale	adaptations	sonar	adaptations: sonar	25
marine mammal	adaptations	sonar	adaptations: sonar	25
marine life	adaptations	bioluminescence	adaptations: bioluminescence	25
marine mammal	adaptations	echolocation	adaptations: echolocation	25
plant life	adaptations	flowers for reproduction	adaptations: flowers for reproduction	26
animal life	adaptations	shell	adaptations: shell	26
marine life	adaptations	shell	adaptations: shell	26
plant life	adaptations	leaves for sunlight	adaptations: leaves for sunlight	26
wildlife	adaptations	antlers	adaptations: antlers	26
plant life	adaptations	flowers	adaptations: flowers	26
wild mammal	adaptations	antlers	adaptations: antlers	26
plant life	adaptations	leaves	adaptations: leaves	26
plant life	adaptations	fruits	adaptations: fruits	26
non-polluting vehicle	advantages	quiet operation	advantages: quiet operation	27
renewable resources	advantages	low operating costs	advantages: low operating costs	27
non-polluting vehicle	benefits	quiet operation	benefits: quiet operation	27
non-polluting vehicle	advantages	reduced maintenance	advantages: reduced maintenance	27
environmental tax	effects	increasing production costs	effects: increasing production costs	27
renewable resources	advantages	lower operating costs	advantages: lower operating costs	27
non-polluting vehicle	cost	lower operating cost	cost: lower operating cost	27
exploitation of the seas	victims	coastal communities	victims: coastal communities	28
agricultural disaster	affected areas	local economies	affected areas: local economies	28
pollution from ships	affected areas	ocean	affected areas: ocean	28
exploitation of the seas	affected areas	global	affected areas: global	28
exploitation of the seas	affected areas	coastal communities	affected areas: coastal communities	28
pollution from ships	affected areas	coastal areas	affected areas: coastal areas	28
agricultural disaster	affected areas	rural communities	affected areas: rural communities	28
pollution from ships	affected areas	human settlements	affected areas: human settlements	28
exploitation of the seas	affected areas	coastlines	affected areas: coastlines	28
corrosion	materials	ceramics	materials: ceramics	29
corrosion	affected materials	wood	affected materials: wood	29
corrosion	affected materials	plastics	affected materials: plastics	29
dust	properties	harmful to electronics	properties: harmful to electronics	29
corrosion	affected materials	alloys	affected materials: alloys	29
corrosion	affected materials	ceramics	affected materials: ceramics	29
corrosion	affected materials	metals	affected materials: metals	29
corrosion	affected materials	concrete	affected materials: concrete	29
eu environmental policy	agencies	european chemicals agency	agencies: european chemicals agency	30
eu environmental policy	agencies	european environmental agency	agencies: european environmental agency	30
eu environmental policy	agencies	european environment agency	agencies: european environment agency	30
eu environmental policy	institutions	european environmental agency	institutions: european environmental agency	30
environmental law	regulatory bodies	european environmental agency	regulatory bodies: european environmental agency	30
eu environmental policy	institutions	european environment agency	institutions: european environment agency	30
eu environmental policy	agencies	european food safety authority	agencies: european food safety authority	30
atmospheric conditions	air quality	smoggy	air quality: smoggy	31
quality of the environment	air	fresh	air: fresh	31
atmospheric conditions	air quality	fresh	air quality: fresh	31
atmospheric conditions	air quality	clean	air quality: clean	31
atmospheric conditions	air quality	hazy	air quality: hazy	31
atmospheric conditions	air quality	particulate matter	air quality: particulate matter	32
atmospheric conditions	air quality	pollution levels	air quality: pollution levels	32
atmospheric conditions	air quality	ozone levels	air quality: ozone levels	32
atmospheric conditions	air quality	smoke	air quality: smoke	32
atmospheric conditions	air quality	particulates	air quality: particulates	32
atmospheric conditions	air quality	pollution	air quality: pollution	32
motor vehicle pollution	emissions	particulate matter	emissions: particulate matter	32
waste incineration	emissions	particulate matter	emissions: particulate matter	32
atmospheric conditions	air quality	ozone	air quality: ozone	32
atmospheric conditions	air quality	dust	air quality: dust	32
atmospheric conditions	air quality	air pollutants	air quality: air pollutants	32
eu emissions trading scheme	market	free allocation	market: free allocation	33
emission allowance	market	auctioning	market: auctioning	33
eu emissions trading scheme	market	auctioning	market: auctioning	33
emission allowance	trading	auctioning	trading: auctioning	33
eu emissions trading scheme	revenue	auctioning	revenue: auctioning	33
emission allowance	allocation	auctioned allocation	allocation: auctioned allocation	33
emission allowance	allocation	grandfathering	allocation: grandfathering	33
eu emissions trading scheme	mechanism	auctioning	mechanism: auctioning	33
emission allowance	allocation	free allocation	allocation: free allocation	33
emission allowance	allocation	auction	allocation: auction	33
eu emissions trading scheme	mechanism	auctioning and free allocation	mechanism: auctioning and free allocation	33
eu emissions trading scheme	mechanism	free allocation	mechanism: free allocation	33
emission allowance	allocation	auctioning	allocation: auctioning	33
eu emission allowance	allocation	free allocation	allocation: free allocation	33
eu emission allowance	allocation	auctioning	allocation: auctioning	33
emission allowance	allocation	company-specific	allocation: company-specific	34
emission allowance	allocation	project-specific	allocation: project-specific	34
eu emission allowance	allocation	national allocation plan	allocation: national allocation plan	35
eu emission allowance	allocation	national allocation plans	allocation: national allocation plans	35
emission allowance	allocation	national	allocation: national	35
emission allowance	allocation	regional	allocation: regional	35
eu emission allowance	allocation	national allocation	allocation: national allocation	35
deposit on a polluting product	amount	variable based on product type	amount: variable based on product type	36
deposit on a polluting product	amount	variable amount	amount: variable amount	36
deposit on a polluting product	amount	variable	amount: variable	36
continental shelf	thickness	variable	thickness: variable	36
tradeable emission permit	expiration date	variable	expiration date: variable	36
underground storage of waste	cost	variable	cost: variable	36
deposit on a polluting product	amount	fixed	amount: fixed	36
deposit on a polluting product	amount	fixed fee	amount: fixed fee	36
deposit on a polluting product	amount	percentage-based	amount: percentage-based	37
deposit on a polluting product	amount	percentage of product cost	amount: percentage of product cost	37
deposit on a polluting product	amount	percentage	amount: percentage	37
deposit on a polluting product	amount	fixed rate	amount: fixed rate	37
mechanical vibration	frequency	dependent on spring constant and mass	frequency: dependent on spring constant and mass	38
mechanical vibration	amplitude	dependent on force and frequency	amplitude: dependent on force and frequency	38
mechanical vibration	amplitudes	small	amplitudes: small	39
mechanical vibration	amplitude	periodic	amplitude: periodic	39
mechanical vibration	amplitude	large	amplitude: large	39
mechanical vibration	amplitude	random	amplitude: random	39
mechanical vibration	amplitude	small	amplitude: small	39
mechanical vibration	frequencies	resonant	frequencies: resonant	40
mechanical vibration	amplitudes	large	amplitudes: large	40
mechanical vibration	amplitudes	resonant	amplitudes: resonant	40
mechanical vibration	effects	resonance	effects: resonance	40
mechanical vibration	cause	resonance	cause: resonance	40
mechanical vibration	amplitudes	catastrophic	amplitudes: catastrophic	40
mechanical vibration	types	resonant	types: resonant	40
environmental statistics	analysis	correlation analysis	analysis: correlation analysis	41
environmental statistics	analysis	regression analysis	analysis: regression analysis	41
environmental statistics	analysis methods	regression analysis	analysis methods: regression analysis	41
environmental statistics	analysis methods	trend analysis	analysis methods: trend analysis	41
environmental indicator	interpretation	correlations	interpretation: correlations	41
environmental statistics	analysis methods	correlation analysis	analysis methods: correlation analysis	41
animal resources	animal groups	insects	animal groups: insects	42
animal resources	animal groups	fish	animal groups: fish	42
animal resources	animal groups	birds	animal groups: birds	42
hunting regulations	species	birds	species: birds	42
animal life	diversity	birds	diversity: birds	42
dolphin	animal classification	marine	animal classification: marine	42
animal resources	animal groups	mammals	animal groups: mammals	42
natural resources	living	animals	living: animals	43
erosion	agents	animals	agents: animals	43
animal life	categories	insect	categories: insect	43
humid zone	wildlife	insects	wildlife: insects	43
humid zone	animals	bats	animals: bats	43
humid zone	animal life	insects	animal life: insects	43
physical environment	natural	animals	natural: animals	43
humid zone	animals	insects	animals: insects	43
animal life	diversity	insects	diversity: insects	43
desert	animals	insects	animals: insects	43
subtropical zone	animals	mammals	animals: mammals	43
humid zone	animals	monkeys	animals: monkeys	43
tropical zone	animals	monkeys	animals: monkeys	43
desert	animals	scorpions	animals: scorpions	43
tropical zone	animals	butterflies	animals: butterflies	43
subtropical zone	animals	insects	animals: insects	43
humid zone	animals	tropical birds	animals: tropical birds	44
humid zone	plants	tropical trees	plants: tropical trees	44
subtropical zone	animals	tropical birds	animals: tropical birds	44
tropical zone	fauna	tropical birds	fauna: tropical birds	44
humid zone	wildlife	birds	wildlife: birds	44
tropical zone	animals	toucans	animals: toucans	44
lynx	diet	reptiles	diet: reptiles	45
animal life	diversity	reptiles	diversity: reptiles	45
desert	animals	lizards	animals: lizards	45
animal life	categories	reptiles	categories: reptiles	45
desert	animals	snakes	animals: snakes	45
animal resources	animal groups	reptiles	animal groups: reptiles	45
tropical zone	fauna	reptiles	fauna: reptiles	45
humid zone	wildlife	reptiles	wildlife: reptiles	45
humid zone	animal life	reptiles	animal life: reptiles	45
humid zone	animals	reptiles	animals: reptiles	45
subtropical zone	animals	reptiles	animals: reptiles	45
humid zone	animals	snakes	animals: snakes	45
desert	animals	camels	animals: camels	46
polar region	wildlife	walruses	wildlife: walruses	46
arctic ocean	wildlife	walruses	wildlife: walruses	46
arctic	wildlife	walruses	wildlife: walruses	46
arctic ocean	marine life	walruses	marine life: walruses	46
desert	animals	sand vipers	animals: sand vipers	46
arctic ocean	animals	whales	animals: whales	46
tropical zone	animals	jaguars	animals: jaguars	46
seal	animal	pinniped	animal: pinniped	46
arctic ocean	animals	walruses	animals: walruses	46
arctic ocean	animals	polar bears	animals: polar bears	46
arctic ocean	fauna	walruses	fauna: walruses	46
tropical zone	animals	anacondas	animals: anacondas	46
environment	anthropogenic	deforestation	anthropogenic: deforestation	47
greenhouse effect	anthropogenic	deforestation	anthropogenic: deforestation	47
environment	anthropogenic	habitat destruction	anthropogenic: habitat destruction	47
environment	anthropogenic	human impact	anthropogenic: human impact	47
greenhouse effect	anthropogenic	land use changes	anthropogenic: land use changes	47
environment	anthropogenic	climate change	anthropogenic: climate change	47
environment	anthropogenic	pollution	anthropogenic: pollution	47
used oil	characteristics	smelly	characteristics: smelly	48
stagnant water	quality	smelly	quality: smelly	48
ice	appearance	brittle	appearance: brittle	48
harmful plant	appearance	smell	appearance: smell	48
stagnant water	physical appearance	smelly	physical appearance: smelly	48
stagnant water	appearance	smelly	appearance: smelly	48
ice	appearance	fragile	appearance: fragile	48
stagnant water	appearance	greenish	appearance: greenish	49
bathing water	appearance	clear	appearance: clear	49
ice	appearance	clear	appearance: clear	49
bathing water	appearance	blue	appearance: blue	49
