concept	facet	property	facet_property	cluster_label
fight against wastage	individual actions	reduce	individual actions: reduce	4
dumping of waste	alternatives	reducing	alternatives: reducing	4
conservation of resources	principles	reduce	principles: reduce	4
fight against wastage	methods	reducing	methods: reducing	4
waste	actions	reduce	actions: reduce	4
fight against wastage	individual actions	reduce use	individual actions: reduce use	4
prevention of pollution	individual actions	conserving water	individual actions: conserving water	5
environmental protection	actions	conserving water	actions: conserving water	5
environmental protection	individual actions	conserve water	individual actions: conserve water	5
prevention of pollution	methods	conserving water	methods: conserving water	5
water protection	actions	protect water sources	actions: protect water sources	5
water management	actions	water harvesting	actions: water harvesting	5
water protection	actions	reduce water usage	actions: reduce water usage	5
water management	actions	water metering	actions: water metering	5
environmental protection	actions	conserve water	actions: conserve water	5
baltic sea	water quality	human activities	water quality: human activities	5
water protection	actions	water reuse	actions: water reuse	5
bad weather	preparation	staying indoors	preparation: staying indoors	5
protection of animals	actions	adopting pets	actions: adopting pets	6
protection of animal life	actions	adopting pets	actions: adopting pets	6
protection of animals	methods	adoption	methods: adoption	6
protection of animals	actions	adoption and fostering	actions: adoption and fostering	6
animal resources	management	captive breeding	management: captive breeding	6
protection of animal life	methods	animal rescue	methods: animal rescue	6
protection of animals	actions	adopting animals	actions: adopting animals	6
protection of animals	actions	adopting	actions: adopting	6
electronic waste	management	donation	management: donation	7
protection of animals	actions	donating	actions: donating	7
protection of animals	actions	volunteering	actions: volunteering	7
protection of animal life	involves	donations	involves: donations	7
electronic waste	disposal	donation	disposal: donation	7
protection of animals	actions	donating to animal welfare	actions: donating to animal welfare	7
waste disposal	methods	donating	methods: donating	7
protection of animal life	actions	donating to conservation	actions: donating to conservation	7
environmental protection	actions	use eco-friendly products	actions: use eco-friendly products	8
protection of plant life	actions	use eco-friendly products	actions: use eco-friendly products	8
water protection	actions	use eco-friendly products	actions: use eco-friendly products	8
protection of plant life	actions	avoid single-use plastics	actions: avoid single-use plastics	8
protection of plant life	actions	using eco-friendly products	actions: using eco-friendly products	8
environmental protection	actions	planting trees	actions: planting trees	8
fight against wastage	individual actions	avoid single-use plastics	individual actions: avoid single-use plastics	8
environmental protection	actions	plant trees	actions: plant trees	8
protection of plant life	actions	plant trees	actions: plant trees	8
chemical pollution	solutions	using eco-friendly products	solutions: using eco-friendly products	8
prevention of pollution	methods	using eco-friendly products	methods: using eco-friendly products	8
conservation of resources	actions	use renewable energy	actions: use renewable energy	8
national park	activities	hiking	activities: hiking	9
mountain	activities	hiking	activities: hiking	9
national park	activities	picnicking	activities: picnicking	9
national city park	activities	picnicking	activities: picnicking	9
national city park	activities	cycling	activities: cycling	9
humid zone	activities	trekking	activities: trekking	9
mountain	human activity	hiking	human activity: hiking	9
environmental education	methods	outdoor education	methods: outdoor education	9
polar region	human exploration	trekking	human exploration: trekking	9
environmental education	methods	outdoor activities	methods: outdoor activities	9
mountain	activities	sightseeing	activities: sightseeing	9
desert	activities	hiking	activities: hiking	9
mountain	recreation	popular for hiking	recreation: popular for hiking	9
protected area	activities	hiking	activities: hiking	9
mountain	recreation	camping	recreation: camping	9
national city park	activities	hiking	activities: hiking	9
desert	activities	exploring	activities: exploring	9
national park	activities	camping	activities: camping	9
desert	activities	camping	activities: camping	9
mountain	activity	trekking	activity: trekking	9
mountain	recreation	hiking	recreation: hiking	9
nature reserve	activities	camping	activities: camping	9
national city park	activities	jogging	activities: jogging	9
mountain	recreation	sightseeing	recreation: sightseeing	9
mountain	activity	hiking	activity: hiking	9
nature reserve	activities	hiking	activities: hiking	9
lake	recreation	camping	recreation: camping	9
lake	recreation	hiking	recreation: hiking	9
red sea	recreational activities	diving	recreational activities: diving	10
humid zone	activities	swimming	activities: swimming	10
sea	activities	swimming	activities: swimming	10
national park	activities	swimming	activities: swimming	10
sea	activities	diving	activities: diving	10
red sea	features	diving	features: diving	10
adriatic sea	recreational activities	diving	recreational activities: diving	10
tyrrhenian sea	recreational activities	diving	recreational activities: diving	10
sea	human activities	swimming	human activities: swimming	10
inshore grounds	activities	swimming	activities: swimming	10
red sea	known for	diving	known for: diving	10
tyrrhenian sea	recreational activities	snorkeling	recreational activities: snorkeling	10
red sea	recreational activities	snorkeling	recreational activities: snorkeling	10
resources of the sea	extraction method	diving	extraction method: diving	10
lake	recreation	swimming	recreation: swimming	10
use of water	recreation	swimming	recreation: swimming	10
inshore grounds	activities	snorkeling	activities: snorkeling	10
resources of the sea	retrieval methods	diving	retrieval methods: diving	10
seismic monitoring	method	underwater	method: underwater	10
national park	activities	wildlife photography	activities: wildlife photography	11
desert	activities	photography	activities: photography	11
national park	activities	photography	activities: photography	11
nature reserve	activities	photography	activities: photography	11
north sea	recreational use	birdwatching	recreational use: birdwatching	11
national city park	features	wildlife viewing	features: wildlife viewing	11
national park	features	wildlife viewing	features: wildlife viewing	11
nature reserve	features	wildlife viewing	features: wildlife viewing	11
protected area	activities	wildlife watching	activities: wildlife watching	11
national park	activities	wildlife watching	activities: wildlife watching	11
nature reserve	activities	birdwatching	activities: birdwatching	11
national city park	activities	birdwatching	activities: birdwatching	11
wildlife	recreation	wildlife watching	recreation: wildlife watching	11
nature reserve	activities	wildlife observation	activities: wildlife observation	11
nature reserve	activities	wildlife research	activities: wildlife research	11
marine mammal	behavior	playing	behavior: playing	12
national city park	activities	playing	activities: playing	12
whale	behavior	play	behavior: play	12
dolphin	used for	playing	used for: playing	12
hunting regulations	type	game	type: game	12
national city park	activities	playing sports	activities: playing sports	12
fire protection	equipment	ladders	equipment: ladders	13
mountain	human activity	climbing	human activity: climbing	13
mountain	recreation	climbing	recreation: climbing	13
mountain	activity	climbing	activity: climbing	13
dolphin	used for	jumping	used for: jumping	13
industrial hazard	type	fall from height	type: fall from height	13
mountain	used for	climbing	used for: climbing	13
mountain	climbing	popular activity	climbing: popular activity	13
rodent	behavior	climbing	behavior: climbing	13
reptile	behavior	climbing	behavior: climbing	13
mountain	activities	climbing	activities: climbing	13
protection of animal life	public awareness	documentaries	public awareness: documentaries	14
exploitation of the seas	actors	industries	actors: industries	14
water management	actors	private companies	actors: private companies	14
exploitation of the seas	actors	companies	actors: companies	14
water management	actors	companies	actors: companies	14
degradation of the environment	actors	companies	actors: companies	14
pollution control	actors	companies	actors: companies	14
climate change policy	actors	companies	actors: companies	14
pollution control measures	actors	companies	actors: companies	14
unauthorised dumping	actors involved	company	actors involved: company	14
waste management	actors	companies	actors: companies	14
climate change policy	stakeholders	civil society	stakeholders: civil society	15
adaptation to climate change	involves	community	involves: community	15
waste management	actors	community	actors: community	15
adaptation to climate change	community	education	community: education	15
adaptation to climate change	community	awareness	community: awareness	15
management of resources	scope	community	scope: community	15
evaluation of resources	stakeholders	society	stakeholders: society	15
waste management	responsibilities	community	responsibilities: community	15
countryside conservation	actors	local communities	actors: local communities	15
risk prevention	roles in prevention	community	roles in prevention: community	15
unauthorised dumping	actors	organisation	actors: organisation	15
degradation of the environment	actors	communities	actors: communities	15
destruction of crops	affected party	community	affected party: community	15
countryside conservation	actors involved	local communities	actors involved: local communities	15
fight against wastage	target audience	communities	target audience: communities	15
water management	players	individuals	players: individuals	16
fight against insects	actors	humans	actors: humans	16
industrial pollution	actors	individuals	actors: individuals	16
adaptation to climate change	actors	individuals	actors: individuals	16
exploitation of the seas	actors	individuals	actors: individuals	16
degradation of the environment	actors	individuals	actors: individuals	16
prevention of pollution	actors	individuals	actors: individuals	16
pollution control	actors	individuals	actors: individuals	16
waste management	actors	individuals	actors: individuals	16
water management	actors	individuals	actors: individuals	16
climate change policy	actors	individuals	actors: individuals	16
exploitation of the seas	actors involved	individuals	actors involved: individuals	16
countryside conservation	actors involved	individuals	actors involved: individuals	16
unauthorised dumping	actors involved	individual	actors involved: individual	16
unauthorised dumping	actors	individual	actors: individual	16
water management	actors	individual	actors: individual	16
waste management	actors	individual	actors: individual	16
dust	appearance	film	appearance: film	16
pollution control measures	actors	individuals	actors: individuals	16
environmental protection	organizations	government agencies	organizations: government agencies	17
waste recycling	organizations	government agencies	organizations: government agencies	17
protection of plant life	organizations	government agencies	organizations: government agencies	17
pollution control measures	organizations	government agencies	organizations: government agencies	17
water protection	organizations	government agencies	organizations: government agencies	17
countryside conservation	organizations involved	government agencies	organizations involved: government agencies	17
coastal protection	managed by	government	managed by: government	17
fight against wastage	people involved	policy makers	people involved: policy makers	17
environmental economics	practitioners	government agencies	practitioners: government agencies	17
protection of animals	organizations	government agencies	organizations: government agencies	17
countryside conservation	organizations	government agencies	organizations: government agencies	17
pollution control	organizations	government agencies	organizations: government agencies	17
countryside conservation	actors involved	government agencies	actors involved: government agencies	17
water management	actors	agencies	actors: agencies	17
environmental education	institutions	government agency	institutions: government agency	17
countryside conservation	involves	government agencies	involves: government agencies	17
protection of animals	involves	government agencies	involves: government agencies	17
evaluation of resources	stakeholders	organizations	stakeholders: organizations	17
local pollution	concerned group	government agencies	concerned group: government agencies	17
environmental law	concerned entities	government agencies	concerned entities: government agencies	17
environmental policy	institutions	government agencies	institutions: government agencies	17
water protection	institutions	government agencies	institutions: government agencies	17
countryside conservation	actors	government agencies	actors: government agencies	17
protection of animal life	organizations	government agencies	organizations: government agencies	17
risk prevention	roles in prevention	government	roles in prevention: government	17
wild mammal	adaptations	strong sense of smell	adaptations: strong sense of smell	18
marsupial	physical features	strong sense of smell	physical features: strong sense of smell	18
wildlife	adaptation	strong sense of smell	adaptation: strong sense of smell	18
wild mammal	adaptation	strong sense of smell	adaptation: strong sense of smell	18
bear	adaptations	strong sense of smell	adaptations: strong sense of smell	18
reptile	adaptation	breathe through skin	adaptation: breathe through skin	18
bear	physical characteristics	strong sense of smell	physical characteristics: strong sense of smell	18
marsupial	physical characteristics	strong sense of smell	physical characteristics: strong sense of smell	18
marine mammal	adaptations	ability to hold breath	adaptations: ability to hold breath	18
marine mammal	adaptations	highly developed sense of echolocation	adaptations: highly developed sense of echolocation	18
wild mammal	adaptations	good eyesight	adaptations: good eyesight	18
fur-bearing animal	body features	strong sense of smell	body features: strong sense of smell	18
plant life	diversity	colors	diversity: colors	19
polluted area	signs	color	signs: color	19
plant life	adaptation	color	adaptation: color	19
acidification	effects	color change	effects: color change	19
animal resources	utilization	shelter	utilization: shelter	20
cyclone	response	shelter	response: shelter	20
animal resources	use	shelter	use: shelter	20
anti-pollution device	application	homes	application: homes	20
natural hazard	preparedness	shelter	preparedness: shelter	20
cyclone	preparedness	shelter	preparedness: shelter	20
cyclone	prevention	shelter	prevention: shelter	20
protection of animals	methods	sanctuaries	methods: sanctuaries	20
island	uses	refuge	uses: refuge	20
island	used for	refugee	used for: refugee	20
fur-bearing animal	adaptation	shelter	adaptation: shelter	20
national city park	amenities	shelters	amenities: shelters	20
island	purpose	refuge	purpose: refuge	20
animal resources	uses	shelter	uses: shelter	20
island	used for	refuge	used for: refuge	20
animal life	needs	shelter	needs: shelter	20
island	used for	refugee camp	used for: refugee camp	20
cyclone	measures	shelter	measures: shelter	20
reptile	adaptation	hiding in burrows	adaptation: hiding in burrows	21
animal life	adaptation	burrowing	adaptation: burrowing	21
arid zone	animal adaptation	burrowing	animal adaptation: burrowing	21
marine life	adaptation	filter feeding	adaptation: filter feeding	21
reptile	behavior	burrowing	behavior: burrowing	21
rodent	characteristic	burrowing	characteristic: burrowing	21
rodent	behavior	burrowing	behavior: burrowing	21
animal life	adaptations	burrowing	adaptations: burrowing	21
marine life	behavior	burrow	behavior: burrow	21
wildlife	adaptation	camouflage	adaptation: camouflage	22
marine life	adaptation	camouflage	adaptation: camouflage	22
wild mammal	adaptation	camouflage	adaptation: camouflage	22
plant life	adaptation	camouflage	adaptation: camouflage	22
fur-bearing animal	adaptation	camouflage	adaptation: camouflage	22
wildlife	adaptations	camouflage	adaptations: camouflage	22
animal life	adaptations	camouflage	adaptations: camouflage	22
marine life	adaptations	camouflage	adaptations: camouflage	22
reptile	adaptations	camouflage	adaptations: camouflage	22
marine life	adaptation	shell	adaptation: shell	23
inshore grounds	objects	shell	objects: shell	23
animal life	features	shell	features: shell	23
marine life	adaptations	shells	adaptations: shells	23
marine life	adaptations	shell	adaptations: shell	23
marine life	adaptation	bioluminescence	adaptation: bioluminescence	24
chiroptera	features	night vision	features: night vision	24
marine life	adaptations	bioluminescence	adaptations: bioluminescence	24
marine life	adaptations	bioluminescent	adaptations: bioluminescent	24
marine mammal	adaptations	streamlined body	adaptations: streamlined body	25
marine life	type	amphibian	type: amphibian	25
marine life	characteristics	breathes through gills	characteristics: breathes through gills	25
marine mammal	body shape	streamlined	body shape: streamlined	25
dolphin	shape	aquatic	shape: aquatic	25
marine life	characteristics	breathing with gills	characteristics: breathing with gills	25
dolphin	physical appearance	aquatic body	physical appearance: aquatic body	25
marine life	characteristics	adapted to water	characteristics: adapted to water	25
english channel	famous for	english channel swim	famous for: english channel swim	25
dolphin	swimming ability	agile	swimming ability: agile	25
marine mammal	adaptations	streamlined body for swimming	adaptations: streamlined body for swimming	25
dolphin	swimming ability	fast	swimming ability: fast	25
marine life	characteristics	finned	characteristics: finned	25
marine mammal	adaptations	eyes adapted to water	adaptations: eyes adapted to water	25
dolphin	physical characteristics	fin	physical characteristics: fin	26
marine mammal	body structure	dorsal fin	body structure: dorsal fin	26
marine life	adaptation	fins	adaptation: fins	26
marine mammal	physical characteristic	dorsal fin	physical characteristic: dorsal fin	26
marine mammal	adaptations	dorsal fin	adaptations: dorsal fin	26
dolphin	physical appearance	fin	physical appearance: fin	26
marine life	adaptations	gills	adaptations: gills	26
animal life	body structure	fins	body structure: fins	26
marine life	adaptation	gills	adaptation: gills	26
marine life	adaptations	fins	adaptations: fins	26
whale	physical characteristics	dorsal fin	physical characteristics: dorsal fin	26
marine mammal	physical characteristics	dorsal fin	physical characteristics: dorsal fin	26
dolphin	physical characteristics	dorsal fin	physical characteristics: dorsal fin	26
dolphin	physical appearance	dorsal fin	physical appearance: dorsal fin	26
dust	function	insulation	function: insulation	27
fur-bearing animal	adaptation	insulation	adaptation: insulation	27
marine mammal	adaptations	insulation	adaptations: insulation	27
marine mammal	adaptations	blubber insulation	adaptations: blubber insulation	27
climate change policy	target audience	developing countries	target audience: developing countries	28
deforestation	location	developing country	location: developing country	28
agricultural disaster	location	developing country	location: developing country	28
degradation of the environment	locations	developing countries	locations: developing countries	28
reduction of gas emissions	locations	developing countries	locations: developing countries	28
clean development mechanism	description	developing countries	description: developing countries	28
destruction of crops	location	developing country	location: developing country	28
over-exploitation of resources	location	developing countries	location: developing countries	28
export of waste	destination	developing countries	destination: developing countries	28
industrial pollution	location	developing countries	location: developing countries	28
exhaustion of resources	affected areas	industrialized nations	affected areas: industrialized nations	28
exhaustion of resources	affected areas	global scale	affected areas: global scale	28
clean development mechanism	definition	developing countries	definition: developing countries	28
clean development mechanism	purpose	developing countries	purpose: developing countries	28
exhaustion of resources	affected areas	developing countries	affected areas: developing countries	28
climate change	vulnerability	developing countries	vulnerability: developing countries	28
exhaustion of resources	location	developing countries	location: developing countries	28
water pollution	affected by	climate change	affected by: climate change	29
marine ecosystem	affected by	climate change	affected by: climate change	29
terrestrial ecosystem	influenced by	natural disasters	influenced by: natural disasters	29
terrestrial ecosystem	influenced by	climate change	influenced by: climate change	29
adaptation to climate change	goal	adapt to rising sea levels	goal: adapt to rising sea levels	29
biosphere	threatened by	climate change	threatened by: climate change	29
water pollution	affected by	natural disasters	affected by: natural disasters	29
sea-bed	affected by	earthquakes	affected by: earthquakes	29
terrestrial ecosystem	influenced by	climate	influenced by: climate	29
disaster area	affected people	refugees	affected people: refugees	30
disaster area	victims	killed	victims: killed	30
disaster area	affected people	victims	affected people: victims	30
disaster area	victims	injured	victims: injured	30
disaster area	victims	displaced	victims: displaced	30
disaster area	affected population	victims	affected population: victims	30
disaster area	affected people	survivors	affected people: survivors	30
disaster area	affected	people	affected: people	30
disaster area	affected population	small	affected population: small	31
disaster area	affected population	large	affected population: large	31
disaster area	affected people	few	affected people: few	31
disaster area	affected population	vulnerable	affected population: vulnerable	31
environmental indicator	measurement unit	individuals per square kilometer	measurement unit: individuals per square kilometer	31
disaster area	affected population	entire community	affected population: entire community	31
ecological balance	indicators	balanced population	indicators: balanced population	31
disaster area	affected population	many people	affected population: many people	31
disaster area	affected people	many	affected people: many	31
subtropical zone	agriculture	coffee	agriculture: coffee	32
equatorial zone	economical importance	coffee	economical importance: coffee	32
equatorial zone	economical importance	cocoa	economical importance: cocoa	32
destruction of crops	type of crop	coffee	type of crop: coffee	32
physical environment	air quality	clean	air quality: clean	33
environmental indicator	type	air quality	type: air quality	33
atmospheric conditions	air quality	good	air quality: good	33
quality of the environment	air	fresh	air: fresh	33
atmospheric conditions	air pressure	low	air pressure: low	33
atmospheric conditions	air quality	clean	air quality: clean	33
environmental quality	air quality	clean	air quality: clean	33
physical environment	air quality	fresh	air quality: fresh	33
environmental quality	air quality	fresh	air quality: fresh	33
atmospheric conditions	air quality	fresh	air quality: fresh	33
atmospheric conditions	air quality	average	air quality: average	33
quality of the environment	air	clean	air: clean	33
physical environment	air quality	stagnant	air quality: stagnant	34
environmental quality	water quality	dirty	water quality: dirty	34
environmental law	areas covered	air pollution	areas covered: air pollution	34
physical environment	air quality	stale	air quality: stale	34
atmospheric conditions	air quality	bad	air quality: bad	34
degree of pollution	level of pollution	high	level of pollution: high	34
quality of the environment	air	polluted	air: polluted	34
physical environment	air quality	polluted	air quality: polluted	34
environmental quality	air quality	polluted	air quality: polluted	34
atmospheric conditions	air quality	polluted	air quality: polluted	34
bathing water	safety	infested	safety: infested	34
atmospheric conditions	air quality	poor	air quality: poor	34
emission allowance	allocation	government allocation	allocation: government allocation	35
emission allowance	allocation	distributed	allocation: distributed	35
emission allowance	allocation	grandfathered	allocation: grandfathered	35
eu emission allowance	allocation	national allocation plan	allocation: national allocation plan	35
emission allowance	allocation	regional	allocation: regional	35
emission allowance	allocation	national government	allocation: national government	35
eu emission allowance	issuance	national allocation plans	issuance: national allocation plans	35
emission allowance	allocation	national	allocation: national	35
emission allowance	allocation	allocated by government	allocation: allocated by government	35
eu emissions trading scheme	market-based mechanism	allowances	market-based mechanism: allowances	36
eu emissions trading scheme	allowances	certificates	allowances: certificates	36
eu emissions trading scheme	allocation	free allowances	allocation: free allowances	36
eu emissions trading scheme	allowances	tradable credits	allowances: tradable credits	36
eu emission allowance	units	eu allowances	units: eu allowances	36
eu emissions trading scheme	allowances	tradable permits	allowances: tradable permits	36
clean development mechanism	mechanism	tradable credits	mechanism: tradable credits	36
eu emissions trading scheme	allowances	allocated free	allowances: allocated free	36
emission allowance	units	allowance credits	units: allowance credits	36
fight against insects	alternatives	biological control	alternatives: biological control	37
fire protection	methods	active suppression	methods: active suppression	37
fight against insects	type	biological control	type: biological control	37
fight against insects	methods	genetically modified organisms	methods: genetically modified organisms	37
fight against insects	methods	biological control	methods: biological control	37
risk prevention	methods	vaccination	methods: vaccination	37
erosion	prevention	afforestation	prevention: afforestation	37
stagnant water	consequences	mosquito breeding	consequences: mosquito breeding	37
fight against insects	method	biological control	method: biological control	37
fight against insects	type	chemical control	type: chemical control	37
domestic waste	source	bathroom	source: bathroom	38
septic tank	components	outlet	components: outlet	38
domestic waste	origin	bathroom	origin: bathroom	38
stagnant water	origin	bathroom	origin: bathroom	38
drinking water	location	bathroom	location: bathroom	38
national park	facilities	restrooms	facilities: restrooms	38
national city park	amenities	restrooms	amenities: restrooms	38
national city park	amenities	benches	amenities: benches	38
environmental tax	amount	dependent on usage	amount: dependent on usage	39
use of water	amount	little	amount: little	39
environmental tax	amount	dependent on emission	amount: dependent on emission	39
domestic waste	amount	daily generation	amount: daily generation	39
storage of waste	capacity	variable	capacity: variable	39
deposit on a polluting product	amount	small	amount: small	39
deposit on a polluting product	amount	varies by country	amount: varies by country	39
environmental tax	amount	dependent on emissions	amount: dependent on emissions	39
use of water	quantity	amount	quantity: amount	39
underwater mineral resources	amount	estimated	amount: estimated	39
deposit on a polluting product	amount	varies by product	amount: varies by product	39
deposit on a polluting product	amount	fixed	amount: fixed	39
environmental tax	amount	fixed	amount: fixed	39
underwater mineral resources	amount	limited	amount: limited	39
use of water	amount	limited	amount: limited	39
use of water	amount	much	amount: much	39
environmental tax	amount	variable	amount: variable	39
deposit on a polluting product	amount	variable	amount: variable	39
pollutant	measured by	amount	measured by: amount	39
environmental tax	amount	varies	amount: varies	39
hunting regulations	licensing	fees	licensing: fees	40
deposit on a polluting product	amount	usually a small fee	amount: usually a small fee	40
deposit on a polluting product	examples	tire recycling fee	examples: tire recycling fee	40
deposit on a polluting product	amount	percentage of purchase price	amount: percentage of purchase price	40
deposit on a polluting product	type	recycling fee	type: recycling fee	40
deposit on a polluting product	amount	fixed fee	amount: fixed fee	40
deposit on a polluting product	type	fee	type: fee	40
deposit on a polluting product	amount	charged per unit	amount: charged per unit	40
polluter pays principle	definition	pay for	definition: pay for	40
environmental tax	type	charge	type: charge	40
environmental tax	type	fee	type: fee	40
sensitive area	location	neck	location: neck	41
sensitive area	anatomical location	breasts	anatomical location: breasts	41
sensitive area	anatomy	nipple	anatomy: nipple	41
sensitive area	body part	breasts	body part: breasts	41
sensitive area	body part	nipples	body part: nipples	41
sensitive area	body part	nipple	body part: nipple	41
sensitive area	anatomical location	nipples	anatomical location: nipples	41
sensitive area	anatomical location	chest	anatomical location: chest	41
seal	animal group	pinniped	animal group: pinniped	42
seal	animal type	pinniped	animal type: pinniped	42
seal	animal category	pinniped	animal category: pinniped	42
seal	category	pinniped	category: pinniped	42
seal	animal	pinniped	animal: pinniped	42
lynx	category	wild animal	category: wild animal	43
animal resources	characteristics	herbivorous	characteristics: herbivorous	43
bear	category	large carnivore	category: large carnivore	43
wolf	behavior	omnivorous	behavior: omnivorous	43
wolf	category	carnivore	category: carnivore	43
dolphin	category	carnivore	category: carnivore	43
animal life	behavior	omnivore	behavior: omnivore	43
animal resources	behavior	herbivore	behavior: herbivore	43
animal life	behavior	herbivore	behavior: herbivore	43
wolf	category	wild animal	category: wild animal	43
animal resources	behavior	omnivore	behavior: omnivore	43
animal life	behavior	carnivore	behavior: carnivore	43
animal resources	behavior	carnivore	behavior: carnivore	43
bear	category	carnivore	category: carnivore	43
fur-bearing animal	category	wild animal	category: wild animal	43
bear	behavior	omnivorous	behavior: omnivorous	43
whale	category	large creature	category: large creature	43
bear	category	wild animal	category: wild animal	43
dolphin	animal type	carnivore	animal type: carnivore	43
protection of animals	entities	exotic animals	entities: exotic animals	43
wolf	animal type	predator	animal type: predator	43
bear	type	carnivore	type: carnivore	43
seal	animal	carnivore	animal: carnivore	43
wolf	animal type	canine	animal type: canine	43
wolf	animal type	wild	animal type: wild	43
toxic substance	risk group	animals	risk group: animals	43
wolf	physical characteristics	carnivorous	physical characteristics: carnivorous	43
animal resources	characteristics	carnivorous	characteristics: carnivorous	43
fur-bearing animal	type	wild animal	type: wild animal	43
marine ecosystem	ecological role	predators	ecological role: predators	43
terrestrial ecosystem	components	large animals	components: large animals	43
rodent	behavior	carnivorous	behavior: carnivorous	43
tropical zone	animals	exotic birds	animals: exotic birds	44
tropical zone	animals	tropical birds	animals: tropical birds	44
equatorial zone	animals	tropical birds	animals: tropical birds	44
humid zone	animals	tropical birds	animals: tropical birds	44
subtropical zone	animals	tropical birds	animals: tropical birds	44
humid zone	animals	exotic birds	animals: exotic birds	44
equatorial zone	animal habitats	tropical birds	animal habitats: tropical birds	44
tropical zone	animal life	tropical birds	animal life: tropical birds	44
equatorial zone	animal life	tropical birds	animal life: tropical birds	44
humid zone	inhabitants	tropical animals	inhabitants: tropical animals	44
humid zone	inhabitants	tropical birds	inhabitants: tropical birds	44
equatorial zone	fauna	tropical birds	fauna: tropical birds	44
bird	diet	worms	diet: worms	45
bird	diet	worm	diet: worm	45
aquatic environment	living organisms	crustaceans	living organisms: crustaceans	45
resources of the sea	type	shellfish	type: shellfish	45
marine life	type	mollusks	type: mollusks	45
aquatic environment	animals	mollusks	animals: mollusks	45
aquatic environment	animals	crustaceans	animals: crustaceans	45
aquatic environment	marine life	crustaceans	marine life: crustaceans	45
dolphin	diet	crustaceans	diet: crustaceans	45
dolphin	diet	squid	diet: squid	45
marine environment	organisms	jellyfish	organisms: jellyfish	45
marine mammal	diet	squid	diet: squid	45
aquatic environment	animals	shrimp	animals: shrimp	45
dolphin	diet	crustacean	diet: crustacean	45
marine ecosystem	organisms	jellyfish	organisms: jellyfish	45
seal	diet	squid	diet: squid	45
marine life	type	octopus	type: octopus	45
inshore grounds	features	crabs	features: crabs	45
marine life	types	jellyfish	types: jellyfish	45
marine life	types	mollusks	types: mollusks	45
