****** Processing facet_no: 0, facet: industry, facet_count: 39 ******
property 	 cluster_label
mooring 	 -1
mark hazards 	 -1
assist anchoring 	 -1
to promote 	 -1
efficiency 	 -1
convenience 	 -1
irrigation 	 -1
drainage 	 -1
enabling communication 	 -1
supporting internet 	 -1
provide protection 	 -1
wait for bus 	 -1
assemble 	 -1
hold together 	 -1
decorate 	 -1
to identify vehicle 	 -1
to track ownership 	 -1
agriculture 	 -1
revenue generation 	 -1
water sports 	 -1
travel 	 -1
special events 	 -1
to provide braking power 	 -1
environmentally friendly 	 -1
helping travelers plan 	 -1
crossing water 	 -1
hunting whales 	 -1
processing whale products 	 -1
showing the way 	 -1
contains pressure 	 -1
separates spaces 	 -1
informing 	 -1
warning 	 -1
directing 	 -1
defend 	 -1
patrol 	 -1
tracking targets 	 -1
lighting cigarettes 	 -1
advertising 	 -1
decorative 	 -1
practical 	 -1
to provide food 	 -1
connecting canals 	 -1
provide transfer 	 -1
housing crew 	 -1
housing passengers 	 -1
testing aerodynamics 	 -1
researching fuel efficiency 	 -1
daily commute 	 -1
towing 	 -1
hauling 	 -1
to exert pressure 	 -1
to impose sanctions 	 -1
to protect interests 	 -1
deliver packages 	 -1
reduce traffic 	 -1
finding oil 	 -1
business use 	 -1
economic pressure 	 -1
avoiding land routes 	 -1
catching fish 	 -1
commercial fishing 	 -1
planning 	 -1
organizing 	 -1
safekeeping 	 -1
protection 	 -1
official record 	 -1
hauled by truck 	 -1
punishment 	 -1
compensation 	 -1
provide regular route 	 -1
store fuel 	 -1
provide energy 	 -1
punish 	 -1
deter 	 -1
supply chain management 	 -1


****** Processing facet_no: 8, facet: propulsion, facet_count: 38 ******
property 	 cluster_label
turboprop engine 	 94
turbofan 	 94
hybrid 	 54
propeller 	 37
sail 	 26
piston engine 	 19
gas turbine 	 19
jet propulsion 	 19
rotary engine 	 19
jet engine 	 19
paddle 	 16
mechanical 	 4
electric 	 0
motor 	 0
engine 	 0
manual 	 0
wind 	 0
diesel 	 -1
steam 	 -1
oar 	 -1
human power 	 -1
gasoline 	 -1


****** Processing facet_no: 9, facet: speed, facet_count: 63 ******
property 	 cluster_label
millisecond 	 86
millisecond range 	 86
up to 300 km/h 	 17
less than 200 mph 	 17
up to 50 km/h 	 17
dependent on wind and currents 	 15
high speed 	 5
medium speed 	 5
low speed 	 5
high-speed 	 5
medium-speed 	 5
low-speed 	 5
fast 	 0
slow 	 0
medium 	 0
high 	 0
rapid 	 0
low 	 0
variable 	 0
constant 	 0
dependent on track condition 	 -1
relatively fast 	 -1
fast response 	 -1
relatively slow 	 -1
average 	 -1
moderate 	 -1
sonic 	 -1


****** Processing facet_no: 10, facet: design, facet_count: 69 ******
property 	 cluster_label
multiple lanes 	 88
pulsed 	 76
specialized for deep sea 	 58
cooling system 	 54
covered in steel 	 50
ramps 	 46
rugged 	 46
firefighting equipment 	 34
equipped with cranes 	 23
equipped with cable-laying equipment 	 23
interchanges 	 13
specialized hull 	 11
specialized 	 11
specialized construction 	 11
standardized 	 11
covered 	 0
flat 	 0
simple 	 0
efficient 	 0
large capacity 	 0
beam 	 0
continuous 	 0
strong 	 0
compact 	 0
angular 	 0
streamlined 	 -1
boxy 	 -1
open top 	 -1
sturdy 	 -1
cantilevered 	 -1
separate compartments 	 -1
long and slender 	 -1
multiple cars connected 	 -1
open 	 -1
no sides 	 -1
wing-shaped 	 -1
lightweight 	 -1
low-cost 	 -1
sea-going 	 -1
custom-made 	 -1
fixed structure 	 -1
movable 	 -1
floating 	 -1
arched 	 -1
truss 	 -1
simple structure 	 -1
roofed 	 -1
insulation 	 -1
monohull 	 -1
catamaran 	 -1
trimaran 	 -1
heavy-duty 	 -1
arch 	 -1
watertight 	 -1
fire-resistant 	 -1
reinforced 	 -1
sleek 	 -1
curvy 	 -1
foldable 	 -1
aggressive 	 -1
customizable 	 -1
large size 	 -1
watercraft 	 -1


****** Processing facet_no: 11, facet: location, facet_count: 298 ******
property 	 cluster_label
above ground 	 96
rear of the train 	 71
at the front of the train 	 71
asia 	 70
china 	 70
parking lot 	 62
waterfront 	 52
waterways 	 52
waterway 	 52
near ocean 	 47
over a river 	 47
over a valley 	 47
over a highway 	 47
near bus stop 	 47
near river 	 47
side of highway 	 47
near city 	 47
near highway 	 47
rural area 	 46
rural road 	 46
rural 	 46
police station 	 35
fire station 	 34
seas 	 32
intersection 	 29
public area 	 27
office building 	 27
industrial area 	 22
radar station 	 20
military bases 	 19
between islands 	 14
connecting two seas 	 14
intersections 	 13
interstate 	 13
coastal 	 9
coastal area 	 9
coastlines 	 9
coast 	 9
coastal waters 	 9
coastal areas 	 9
outdoors 	 7
station 	 0
track 	 0
yard 	 0
pool 	 0
lake 	 0
river 	 0
train 	 0
route 	 0
city 	 0
town 	 0
aircraft 	 0
aircraft carrier 	 0
airport 	 0
office 	 0
ocean 	 0
port 	 0
offshore 	 0
dock 	 0
warehouse 	 0
ports 	 0
oceans 	 0
hospital 	 0
disaster area 	 0
roads 	 0
top 	 0
middle 	 0
bottom 	 0
earth 	 0
planet 	 0
continent 	 0
country 	 0
deck 	 0
bow 	 0
marine 	 0
train yard 	 0
water 	 0
land 	 0
on a ship 	 0
on an aircraft carrier 	 0
street 	 0
sea 	 0
spacecraft 	 0
home 	 0
store 	 0
ship 	 0
region 	 0
event 	 0
road 	 0
airports 	 0
weather stations 	 0
table 	 0
wall 	 0
surface 	 0
ground 	 0
sea route 	 0
urban areas 	 0
trail 	 0
urban 	 0
place 	 0
area 	 0
mall 	 0
offshore oil rigs 	 0
depot 	 -1
gym 	 -1
journey 	 -1
countryside 	 -1
airplane 	 -1
hangar 	 -1
near runway 	 -1
harbor 	 -1
factory 	 -1
highways 	 -1
runway 	 -1
spaceport 	 -1
hull 	 -1
midship 	 -1
quay 	 -1
harbors 	 -1
open sea 	 -1
air 	 -1
building 	 -1
launchpad 	 -1
ground station 	 -1
kitchen 	 -1
workshop 	 -1
worldwide 	 -1
europe 	 -1
north america 	 -1
research station 	 -1
underground 	 -1
undersea 	 -1
remote location 	 -1
developing country 	 -1
seaport 	 -1
highway 	 -1
arctic 	 -1
canal 	 -1
ceiling 	 -1
street corner 	 -1
inside airport 	 -1
lower deck 	 -1
upper deck 	 -1
suburb 	 -1
airfield 	 -1
driveway 	 -1
city street 	 -1
city center 	 -1
suburbs 	 -1
garage 	 -1
spot 	 -1
control tower 	 -1
on deck 	 -1
below deck 	 -1
gulf 	 -1
near seaport 	 -1
under car 	 -1
in garage 	 -1
at gas station 	 -1
headquarters 	 -1
warehouses 	 -1


****** Processing facet_no: 12, facet: features, facet_count: 243 ******
property 	 cluster_label
narrow and winding 	 92
storage space 	 91
deck space 	 91
cargo space 	 91
suspension 	 77
reliable 	 75
powerful engine 	 67
stronger brakes 	 67
more powerful engine 	 67
food and beverage service 	 65
security checks 	 64
parking lot 	 62
water tank 	 55
information board 	 53
information kiosk 	 53
waterways 	 52
railing 	 46
propeller 	 37
propulsion 	 37
waiting area 	 36
firefighting crew 	 34
seating 	 32
seats 	 32
seating capacity 	 32
terminal buildings 	 27
siren 	 26
saddle 	 26
sail 	 26
cranes 	 23
loading cranes 	 23
specialized valves 	 11
strong hull 	 11
docks 	 10
dams 	 10
coastline 	 9
safety features 	 0
restaurants 	 0
shops 	 0
views 	 0
tracks 	 0
platforms 	 0
signal systems 	 0
gps tracking 	 0
engine 	 0
nets 	 0
button 	 0
holds 	 0
execution 	 0
evaluation 	 0
temperature controlled 	 0
secure 	 0
lights 	 0
communication equipment 	 0
medical equipment 	 0
rails 	 0
anchors 	 0
bed 	 0
desk 	 0
locks 	 0
doors 	 0
vents 	 0
fixed 	 0
gps 	 0
deck 	 0
anchor 	 0
speed control 	 0
luxurious accommodations 	 0
marks 	 0
shore 	 0
water level control 	 0
water flow control 	 0
bus shelter 	 0
platform 	 0
cabin 	 0
restaurant 	 0
pool 	 0
containers 	 0
tables 	 0
uses gps navigation 	 0
deep enough for large ships 	 0
navigation systems 	 0
air conditioning 	 -1
canteen 	 -1
lavatory 	 -1
windows 	 -1
heating 	 -1
runway 	 -1
tarmac 	 -1
control tower 	 -1
multiple axles 	 -1
large wheels 	 -1
air brakes 	 -1
tackle 	 -1
screen 	 -1
wireless 	 -1
hatches 	 -1
ailerons 	 -1
elevators 	 -1
rudder 	 -1
planning 	 -1
refrigerated 	 -1
ladders 	 -1
open cockpit 	 -1
fixed landing gear 	 -1
small wingspan 	 -1
cabins 	 -1
engines 	 -1
life jackets 	 -1
sliding doors 	 -1
captain's chairs 	 -1
storage compartments 	 -1
wardrobe 	 -1
bathroom 	 -1
shower 	 -1
toilet 	 -1
canals 	 -1
warehouses 	 -1
couplers 	 -1
brakes 	 -1
floating 	 -1
anchored 	 -1
sunroof 	 -1
separate compartments 	 -1
collapsible 	 -1
foldable 	 -1
easy to transport 	 -1
bridges 	 -1
tunnels 	 -1
lighting 	 -1
wheels 	 -1
loud siren 	 -1
fire hose 	 -1
axles 	 -1
harness 	 -1
heated seats 	 -1
infotainment system 	 -1
handlebars 	 -1
steering 	 -1
dining options 	 -1
entertainment facilities 	 -1
marina 	 -1
pier 	 -1
lighthouse 	 -1
shared track 	 -1
compatible trains 	 -1
adjustable gauge 	 -1
large windows 	 -1
comfortable seating 	 -1
kitchen 	 -1
supports traffic 	 -1
has pillars 	 -1
has lanes 	 -1
cannons 	 -1
buoys 	 -1
refillable 	 -1
windproof 	 -1
beach 	 -1
reef 	 -1
food vendors 	 -1
rest areas 	 -1
dual tires 	 -1
crane attachment 	 -1
gym 	 -1
sensors 	 -1
data logging equipment 	 -1
customized engine 	 -1
four wheels 	 -1
four-wheel drive 	 -1
lifted suspension 	 -1
large bed 	 -1
ticket counters 	 -1
restrooms 	 -1
steerage 	 -1
holds large amount of oil 	 -1
has cargo tanks 	 -1
well-marked for navigation 	 -1
power windows 	 -1
high ground clearance 	 -1
all-wheel drive 	 -1
runways 	 -1
coupling 	 -1
winches 	 -1
lifeboats 	 -1


****** Processing facet_no: 13, facet: body part, facet_count: 4 ******
property 	 cluster_label
legs 	 0
arms 	 0
core 	 0
whole body 	 -1


****** Processing facet_no: 14, facet: style, facet_count: 7 ******
property 	 cluster_label
casual 	 -1
formal 	 -1
professional 	 -1
athletic 	 -1
autocratic 	 -1
democratic 	 -1
participative 	 -1


****** Processing facet_no: 15, facet: structure, facet_count: 57 ******
property 	 cluster_label
steel or concrete 	 50
built from steel 	 50
built from concrete 	 50
built from wood 	 50
propeller 	 37
terminal building 	 27
multiple cranes 	 23
heavy lifting equipment 	 22
heavy machinery 	 22
large vessel 	 0
flat 	 0
angled 	 0
beam 	 0
composite 	 0
fixed 	 0
steel 	 0
rails 	 0
ties 	 0
large 	 0
modern 	 0
glass 	 0
anchor 	 0
living 	 0
complex 	 0
man-made 	 -1
built over water 	 -1
steel hull 	 -1
pier 	 -1
quay 	 -1
wharf 	 -1
curved 	 -1
truss 	 -1
arch 	 -1
metal 	 -1
wooden 	 -1
bureaucracy 	 -1
hierarchy 	 -1
runway 	 -1
control tower 	 -1
hinged 	 -1
movable 	 -1
hierarchical 	 -1
floating 	 -1
anchored 	 -1
chain-like 	 -1
ring-like 	 -1
branching 	 -1
multi-story 	 -1
enclosed 	 -1
self-replicating 	 -1
rigid 	 -1


****** Processing facet_no: 16, facet: function, facet_count: 278 ******
property 	 cluster_label
regulates earth's climate 	 99
regulates ecosystem 	 99
fishing 	 93
exploration 	 90
drinking water 	 79
draining water 	 79
driving 	 79
pulling passenger train 	 71
last car in a train 	 71
legislation 	 63
regulation 	 63
parking cars 	 62
parking 	 62
generates thrust 	 57
generates torque 	 57
provides traction 	 42
provides barrier 	 42
provides light 	 42
provides seating 	 42
provides nutrients 	 42
propulsion 	 37
observation area 	 36
departure point 	 36
arrival point 	 36
firefighting 	 34
fighting fires 	 34
seals 	 32
public service 	 27
lifting heavy loads 	 21
moving heavy loads 	 21
military 	 19
long-distance hauling 	 18
communicates 	 17
communicate 	 17
pilot 	 16
connect cities 	 14
connecting rivers 	 14
connecting cities 	 14
connecting neighborhoods 	 14
connecting roads 	 14
providing drinks 	 12
providing supplies 	 12
providing navigation data 	 12
providing location information 	 12
providing warning 	 12
providing access 	 12
providing access to deck 	 12
providing safe haven 	 12
docking 	 10
recreation 	 8
private 	 3
export 	 3
unloading 	 0
transport chemicals 	 0
carry hazardous materials 	 0
serving food 	 0
landing 	 0
aircraft operation 	 0
carry passengers 	 0
carry freight 	 0
transport goods 	 0
cabin crew 	 0
storage 	 0
location 	 0
tracking 	 0
directing air traffic 	 0
ensuring safe takeoff and landing 	 0
general aviation 	 0
offshore construction 	 0
oil rig maintenance 	 0
increase capacity 	 0
improve safety 	 0
freight transport 	 0
event 	 0
powers 	 0
charges 	 0
handle cargo 	 0
transporting ore 	 0
carrying cargo 	 0
transportation 	 0
freight 	 0
transporting 	 0
storing 	 0
transshipping 	 0
medical transport 	 0
law enforcement 	 0
rescue operations 	 0
regulate traffic flow 	 0
platform 	 0
offshore oil and gas operations 	 0
shipping 	 0
trade 	 0
transporting railcars 	 0
shipping goods 	 0
transporting goods 	 0
transporting passengers 	 0
indicate safe passage 	 0
carrying liquids 	 0
carrying gases 	 0
carrying solids 	 0
allows train passage 	 0
indicating safe passage 	 0
carrying freight 	 0
rescue 	 0
emergency response 	 0
space travel 	 0
keeps food cool 	 0
preserves food 	 0
conducting research 	 0
monitoring environment 	 0
maintain water depth 	 0
structure 	 0
transporting oil 	 0
transporting natural gas 	 0
arranging 	 0
facilitating 	 0
transportation hub 	 0
air travel 	 0
passenger service 	 0
pull 	 0
assist 	 0
store goods 	 0
protect goods 	 0
commerce 	 0
cargo handling 	 0
aircraft movement 	 0
gas 	 0
processing 	 0
lifting 	 0
moving 	 0
placing 	 0
allowing ships to travel 	 0
reducing risk of collisions 	 0
increasing trade 	 0
regulate water level 	 0
allow boat passage 	 0
control water flow 	 0
transferring 	 0
bus station 	 0
train station 	 0
airport 	 0
shipping route 	 0
regulating traffic flow 	 0
moving goods 	 0
moving people 	 0
direction 	 0
flow control 	 0
carries passengers 	 0
departure 	 0
arrival 	 0
transporting vehicles 	 0
reducing traffic congestion 	 0
shipping petroleum 	 0
oil extraction 	 0
offshore drilling 	 0
aiding navigation 	 0
air traffic control 	 0
air traffic management 	 0
aviation safety 	 0
maritime route 	 0
storing vehicles 	 0
facilitate travel 	 0
ensuring navigation 	 0
transporting personnel 	 0
mooring 	 -1
loading 	 -1
takeoff 	 -1
hauled by tractor 	 -1
co-pilot 	 -1
engineer 	 -1
cargo 	 -1
detection 	 -1
commercial 	 -1
separate multiple trains 	 -1
construction 	 -1
receive and dispatch containers 	 -1
anchoring 	 -1
planning 	 -1
building 	 -1
operating 	 -1
passenger 	 -1
direct traffic 	 -1
control traffic 	 -1
walking surface 	 -1
support services 	 -1
supports vehicle 	 -1
distributes weight 	 -1
import 	 -1
provide visual warning 	 -1
mark location 	 -1
connects two areas 	 -1
spans a gap 	 -1
transmitting signals 	 -1
marking hazards 	 -1
laying underwater cables 	 -1
repairing damaged cables 	 -1
wait for public transportation 	 -1
provide information 	 -1
leading train 	 -1
collecting data 	 -1
remove sediment 	 -1
construct coastal structures 	 -1
protection 	 -1
buoyancy 	 -1
negotiating 	 -1
tow 	 -1
assisting other vessels 	 -1
towing 	 -1
buying 	 -1
selling 	 -1
trading 	 -1
car with controls 	 -1
refined products 	 -1
powers aircraft 	 -1
whale hunting 	 -1
divides 	 -1
converts electrical energy 	 -1
illuminates space 	 -1
catching fish 	 -1
processing fish 	 -1
accommodation 	 -1
engine room 	 -1
indicating when to stop 	 -1
indicating when to go 	 -1
moving objects vertically 	 -1
separation 	 -1
shipping containers 	 -1
check-in 	 -1
supports life 	 -1
absorbs solar radiation 	 -1
distributing traffic 	 -1
allowing entry and exit 	 -1
route for ships 	 -1
handle international flights 	 -1
provide amenities 	 -1
process information 	 -1
entertain 	 -1
store data 	 -1
protecting vessels 	 -1
pedestrian path 	 -1


****** Processing facet_no: 17, facet: size, facet_count: 185 ******
property 	 cluster_label
varies by vehicle 	 43
varies by type 	 43
dependent on train 	 15
specialized 	 11
large 	 0
long 	 0
heavy 	 0
small 	 0
medium 	 0
complex 	 0
wide 	 0
compact 	 0
capacity for multiple aircraft 	 0
hundreds of meters long 	 0
large capacity 	 0
huge 	 0
large quantity 	 0
desktop 	 0
hub 	 -1
focus city 	 -1
varies 	 -1
massive 	 -1
narrow 	 -1
roomy 	 -1
mid-sized 	 -1
typically large 	 -1
portable 	 -1
tall 	 -1
larger than other cars 	 -1
multiple masts 	 -1
towering 	 -1
giant 	 -1
extra long 	 -1
extra wide 	 -1
heavy weight 	 -1


****** Processing facet_no: 18, facet: operation, facet_count: 58 ******
property 	 cluster_label
24/7 service 	 89
24/7 	 89
scheduling 	 87
driving 	 79
manual control 	 78
pumped 	 76
electricity 	 72
parking 	 62
hydraulic 	 54
hybrid 	 54
dependent on wind 	 15
computerized 	 11
coastal 	 9
mechanized 	 4
mechanical 	 4
manual 	 0
oceanic 	 0
lifted 	 0
lowered 	 0
automatic 	 0
traffic management 	 0
speed limit 	 0
traffic enforcement 	 0
international trade 	 0
route planning 	 0
subject to regulations 	 0
limited hours 	 0
requires specialized crew 	 -1
needs careful handling 	 -1
no engine 	 -1
pilot-powered 	 -1
electronic 	 -1
combustion 	 -1
electrical 	 -1
electricity powered 	 -1
automated 	 -1
diesel 	 -1
port-based 	 -1
operated by crew 	 -1
requires maintenance 	 -1
publicly owned 	 -1
privately operated 	 -1
opening and closing 	 -1
locking and unlocking 	 -1
seasonal 	 -1
weather dependent 	 -1


****** Processing facet_no: 19, facet: safety features, facet_count: 10 ******
property 	 cluster_label
emergency response plans 	 0
emergency response 	 0
safety rating 	 0
speed limit enforcement 	 0
containment systems 	 -1
warning lights 	 -1
caution signs 	 -1
seatbelt 	 -1
airbag 	 -1
crash test 	 -1


****** Processing facet_no: 20, facet: environmental impact, facet_count: 23 ******
property 	 cluster_label
parking space 	 62
hazardous cargo 	 0
contributes to climate change 	 0
pollutes air and water 	 0
contributes to air pollution 	 0
ecological damage 	 0
minimized noise 	 0
minimized pollution 	 0
traffic congestion 	 0
reduced air pollution 	 0
high 	 0
low 	 0
neutral 	 0
pollution risk 	 -1
pollution 	 -1
habitat destruction 	 -1
conservation 	 -1
air pollution 	 -1
noise pollution 	 -1
greenhouse gas emissions 	 -1
low carbon footprint 	 -1


****** Processing facet_no: 21, facet: amenities, facet_count: 11 ******
property 	 cluster_label
food and drinks 	 65
tables 	 0
bar 	 0
chairs 	 -1
kitchen 	 -1
air conditioning 	 -1
tv 	 -1
mini-bar 	 -1
coffee maker 	 -1
entertainment 	 -1
comfortable seating 	 -1


****** Processing facet_no: 22, facet: importance, facet_count: 27 ******
property 	 cluster_label
protecting marine life 	 58
recreational 	 8
logistical 	 0
economic 	 0
environmental 	 0
