|concept|facet_property|cluster_label
266|ship hatch|type: small|2
267|water transportation system|structure: small|2
268|propeller airplane|design: small size|2
269|crew list|scope: small|2
270|managing|scope: small|2
271|international airport|characteristics: small|2
272|propeller airplane|characteristics: small|2
273|river port|characteristics: small|2
274|scale test car|characteristics: small|2
275|cab car|design: small|2
276|personal watercraft|design: small|2
277|scale test car|design: small|2
278|cab car|size: compact|2
279|electric device|size: compact|2
280|electric motor|size: compact|2
281|electronic device|size: compact|2
282|jet engine|size: compact|2
283|land vehicle|size: compact|2
284|light truck|size: compact|2
285|motor scooter|size: compact|2
286|outfit car|size: compact|2
287|passenger car|size: compact|2
288|personal watercraft|size: compact|2
289|portable bridge|size: compact|2
290|propeller airplane|size: compact|2
291|road vehicle|size: compact|2
292|scale test car|size: compact|2
293|ship cabin|size: compact|2
294|sport utility vehicle|size: compact|2
295|transportation device|size: compact|2
296|material handling equipment|material handled: small|2
297|refrigerated compartment|size range: small|2
298|rocket engine|size range: small|2
299|tugboat|characteristics: relatively small|2
300|propeller airplane|characteristics: smaller|2
301|motor scooter|features: small size|2
302|scale test car|features: small size|2
303|navigation light|height: small device|2
304|lighter|portability: small|2
305|airport classification|size: tiny|2
306|land area|size: tiny|2
307|water area|size: tiny|2
308|watercraft|size: tiny|2
309|road vehicle|size: mini|2
310|scale test car|features: small|2
311|transit shelter|typical size: small|2
312|international airport|types: small|2
313|ship berthing|types: small|2
314|rocket engine|size: miniature|2
315|scale test car|size: miniature|2
316|airport classification|size: small|2
317|bulk cargo|size: small|2
318|bulkhead|size: small|2
319|cab car|size: small|2
320|cable ship|size: small|2
321|canal|size: small|2
322|canal lock|size: small|2
323|canal lock gate|size: small|2
324|canal structure|size: small|2
325|canal system|size: small|2
326|cargo container|size: small|2
327|cargo ship|size: small|2
328|chemical tanker ship|size: small|2
329|coach railcar|size: small|2
330|commercial airport|size: small|2
331|commercial carrier|size: small|2
332|commercial shipping|size: small|2
333|container terminal|size: small|2
334|crane ship|size: small|2
335|crew list|size: small|2
336|deck cargo|size: small|2
337|deck crane|size: small|2
338|deepwater port|size: small|2
339|dining car|size: small|2
340|drilling ship|size: small|2
341|dry bulk cargo|size: small|2
342|electric device|size: small|2
343|electric motor|size: small|2
344|electronic device|size: small|2
345|emergency road vehicle|size: small|2
346|emergency vehicle|size: small|2
347|fire boat|size: small|2
348|fire engine|size: small|2
349|fish factory ship|size: small|2
350|fishing boat|size: small|2
351|fishing trawler|size: small|2
352|fishing vessel|size: small|2
353|flatcar|size: small|2
354|freight car|size: small|2
355|freighter|size: small|2
356|fuel tank|size: small|2
357|gallery car|size: small|2
358|general cargo ship|size: small|2
359|glider airplane|size: small|2
360|government organization|size: small|2
361|hangar bay|size: small|2
362|hopper dredger|size: small|2
363|international airport|size: small|2
364|jet airplane|size: small|2
365|jet engine|size: small|2
366|land area|size: small|2
367|land vehicle|size: small|2
368|light fixture|size: small|2
369|light truck|size: small|2
370|lighter|size: small|2
371|major air carrier|size: small|2
372|material handling equipment|size: small|2
373|military watercraft|size: small|2
374|motor scooter|size: small|2
375|navigation buoy|size: small|2
376|navigation light|size: small|2
377|offshore supply ship|size: small|2
378|offshore support ship|size: small|2
379|outfit car|size: small|2
380|parking garage|size: small|2
381|partial container ship|size: small|2
382|passenger car|size: small|2
383|passenger railway car|size: small|2
384|passenger ship|size: small|2
385|personal watercraft|size: small|2
386|pier|size: small|2
387|port facility|size: small|2
388|portable bridge|size: small|2
389|private railcar|size: small|2
390|propeller airplane|size: small|2
391|pusher tug|size: small|2
392|radar facility|size: small|2
393|railcar carrier ship|size: small|2
394|railroad company|size: small|2
395|railway junction|size: small|2
396|railway vehicle|size: small|2
397|refrigerated compartment|size: small|2
398|research ship|size: small|2
399|river port|size: small|2
400|road vehicle|size: small|2
401|rocket engine|size: small|2
402|rolling stock|size: small|2
403|scale test car|size: small|2
404|ship berth|size: small|2
405|ship berthing|size: small|2
406|ship cabin|size: small|2
407|ship compartment|size: small|2
408|ship deck|size: small|2
409|ship hatch|size: small|2
410|ship hold|size: small|2
411|ship hull|size: small|2
412|terminal building|size: small|2
413|traffic light|size: small|2
414|traffic signal|size: small|2
415|train assembly|size: small|2
416|transit shelter|size: small|2
417|transit terminal|size: small|2
418|transportation company|size: small|2
419|transportation device|size: small|2
420|truck trailer|size: small|2
421|tugboat|size: small|2
422|turboprop airplane|size: small|2
423|vehicle wheel|size: small|2
424|water area|size: small|2
425|water transportation system|size: small|2
426|watercraft|size: small|2
427|waterway junction|size: small|2
428|whaling ship|size: small|2
429|deck cargo|size: light|2
430|material handling equipment|size: light|2
431|propeller airplane|size: light|2
432|rolling stock|size: light|2
433|train assembly|size: light|2
434|turboprop airplane|size: small to medium|2
435|cab car|speed: low|3
436|electric motor|speed: low|3
437|electronic signalling|speed: low|3
438|emergency road vehicle|speed: low|3
439|emergency vehicle|speed: low|3
440|jet engine|speed: low|3
441|land vehicle|speed: low|3
442|material handling equipment|speed: low|3
443|military watercraft|speed: low|3
444|mode of transit|speed: low|3
445|motor scooter|speed: low|3
446|offshore supply ship|speed: low|3
447|offshore support ship|speed: low|3
448|passenger car|speed: low|3
449|passenger railway car|speed: low|3
450|personal watercraft|speed: low|3
451|propeller airplane|speed: low|3
452|rail transportation system|speed: low|3
453|railway vehicle|speed: low|3
454|road vehicle|speed: low|3
455|rolling stock|speed: low|3
456|spine car|speed: low|3
457|train assembly|speed: low|3
458|transportation device|speed: low|3
459|transportation system|speed: low|3
460|turboprop airplane|speed: low|3
461|animal powered vehicle|speed: slow|3
462|body motion|speed: slow|3
463|cab car|speed: slow|3
464|cable ship|speed: slow|3
465|cargo ship|speed: slow|3
466|container ship|speed: slow|3
467|crane ship|speed: slow|3
468|electrical signalling|speed: slow|3
469|electronic signalling|speed: slow|3
470|emergency road vehicle|speed: slow|3
471|emergency vehicle|speed: slow|3
472|fire boat|speed: slow|3
473|fire engine|speed: slow|3
474|fishing boat|speed: slow|3
475|fishing trawler|speed: slow|3
476|fishing vessel|speed: slow|3
477|freighter|speed: slow|3
478|gallery car|speed: slow|3
479|general cargo ship|speed: slow|3
480|glider airplane|speed: slow|3
481|land vehicle|speed: slow|3
482|liner service|speed: slow|3
483|material handling equipment|speed: slow|3
484|military watercraft|speed: slow|3
485|mode of transit|speed: slow|3
486|motor scooter|speed: slow|3
487|ocean liner|speed: slow|3
488|offshore supply ship|speed: slow|3
489|offshore support ship|speed: slow|3
490|ore carrier ship|speed: slow|3
491|outfit car|speed: slow|3
492|passenger car|speed: slow|3
493|passenger railway car|speed: slow|3
494|passenger ship|speed: slow|3
495|personal watercraft|speed: slow|3
496|petroleum tanker ship|speed: slow|3
497|port crane|speed: slow|3
498|propeller airplane|speed: slow|3
499|pusher tug|speed: slow|3
500|rail transportation system|speed: slow|3
501|railcar carrier ship|speed: slow|3
502|railway vehicle|speed: slow|3
503|road vehicle|speed: slow|3
504|rolling stock|speed: slow|3
505|signalling|speed: slow|3
506|spine car|speed: slow|3
507|surfaced roadway|speed: slow|3
508|train assembly|speed: slow|3
509|transportation device|speed: slow|3
510|transportation system|speed: slow|3
511|tugboat|speed: slow|3
512|turboprop airplane|speed: slow|3
513|vehicle carrier ship|speed: slow|3
514|water transportation system|speed: slow|3
515|watercraft|speed: slow|3
516|rail transportation system|speed: slow-speed|3
517|cab car|speed: limited|3
518|gallery car|speed: limited|3
519|motor scooter|speed: limited|3
520|petroleum tanker ship|speed: limited|3
521|tugboat|speed: limited|3
522|propeller airplane|performance: low speed|3
523|rail transportation system|speed: slower than air|3
524|propeller airplane|speed: low to medium|3
525|turboprop airplane|speed: low to medium|3
526|cab car|speed: relatively slow|3
527|cable ship|speed: relatively slow|3
528|cargo ship|speed: relatively slow|3
529|container ship|speed: relatively slow|3
530|crane ship|speed: relatively slow|3
531|electrical signalling|speed: relatively slow|3
532|fishing trawler|speed: relatively slow|3
533|freight car|speed: relatively slow|3
534|freighter|speed: relatively slow|3
535|gallery car|speed: relatively slow|3
536|liner service|speed: relatively slow|3
537|ocean liner|speed: relatively slow|3
538|offshore supply ship|speed: relatively slow|3
539|ore carrier ship|speed: relatively slow|3
540|partial container ship|speed: relatively slow|3
541|propeller airplane|speed: relatively slow|3
542|pusher tug|speed: relatively slow|3
543|railcar carrier ship|speed: relatively slow|3
544|spine car|speed: relatively slow|3
545|vehicle carrier ship|speed: relatively slow|3
546|diesel engine|characteristics: low speed|3
547|glider airplane|characteristics: low speed|3
548|multiple track railway|characteristics: low speed|3
549|standard gauge railway|characteristics: low speed|3
550|turboprop airplane|speed: slower than jet plane|3
551|electric motor|speed range: low speed|3
552|cab car|speed: low speed|3
553|electronic signalling|speed: low speed|3
554|emergency road vehicle|speed: low speed|3
555|emergency vehicle|speed: low speed|3
556|head end car|speed: low speed|3
557|jet airplane|speed: low speed|3
558|jet engine|speed: low speed|3
559|land vehicle|speed: low speed|3
560|military watercraft|speed: low speed|3
561|motor scooter|speed: low speed|3
562|passenger railway car|speed: low speed|3
563|personal watercraft|speed: low speed|3
564|propeller airplane|speed: low speed|3
565|rail transportation system|speed: low speed|3
566|railway vehicle|speed: low speed|3
567|road vehicle|speed: low speed|3
568|rolling stock|speed: low speed|3
569|spine car|speed: low speed|3
570|standard gauge railway|speed: low speed|3
571|train assembly|speed: low speed|3
572|transportation device|speed: low speed|3
573|turboprop airplane|speed: low speed|3
574|motor scooter|speed: low to moderate|3
575|propeller airplane|speed: low to moderate|3
576|turboprop airplane|disadvantages: slow speed|3
577|propeller airplane|speed: less than jet speed|3
578|electric motor|speed range: low|3
579|rail transportation system|speed: low-speed|3
580|transportation device|speed: low-speed|3
581|transportation system|speed: low-speed|3
582|glider airplane|performance: slow speed|3
583|animal powered vehicle|characteristics: slow speed|3
584|cable ship|characteristics: slow speed|3
585|container ship|characteristics: slow speed|3
586|diesel engine|characteristics: slow speed|3
587|general cargo ship|characteristics: slow speed|3
588|glider airplane|characteristics: slow speed|3
589|hopper dredger|characteristics: slow speed|3
590|partial container ship|characteristics: slow speed|3
591|water transportation system|characteristics: slow speed|3
592|turboprop airplane|speed: lower|3
593|turboprop airplane|speed: lower than jet|3
594|motor scooter|speed: slow speed|3
595|rail transportation system|speed: slow speed|3
596|railway vehicle|speed: slow speed|3
597|spine car|speed: slow speed|3
598|train assembly|speed: slow speed|3
599|spine car|function: freight transportation|4
600|head end car|usage: for hauling freight|4
601|intermodal transportation|applications: freight transportation|4
602|broad gauge railway|used for: heavy freight transport|4
603|multiple track railway|used for: heavy freight transport|4
604|broad gauge railway|used for: freight transportation|4
605|cab car|used for: freight transportation|4
606|electrified railway|used for: freight transportation|4
607|multiple track railway|used for: freight transportation|4
608|rail transportation system|used for: freight transportation|4
609|railroad track|used for: freight transportation|4
610|railway vehicle|used for: freight transportation|4
611|rolling stock|used for: freight transportation|4
612|spine car|used for: freight transportation|4
613|train assembly|used for: freight transportation|4
614|flatcar|used for: shipping heavy goods|4
615|head end car|used for: freight|4
616|multiple track railway|used for: freight|4
617|railway vehicle|used for: freight|4
618|train assembly|used for: freight|4
619|flatcar|commonly used for: freight transportation|4
620|broad gauge railway|used for: freight transport|4
621|cab car|used for: freight transport|4
622|dual gauge railway|used for: freight transport|4
623|electrified railway|used for: freight transport|4
624|multiple track railway|used for: freight transport|4
625|rail transportation system|used for: freight transport|4
626|railway vehicle|used for: freight transport|4
627|rolling stock|used for: freight transport|4
628|spine car|used for: freight transport|4
629|standard gauge railway|used for: freight transport|4
630|tractor trailer|used for: freight transport|4
631|train assembly|used for: freight transport|4
632|transportation device|used for: freight transport|4
633|cab car|function: carry freight|4
634|freight car|function: carry freight|4
635|spine car|function: carry freight|4
636|tractor trailer|operated by: freight carrier|4
637|tractor trailer|associated with: freight industry|4
638|freight car|used for: moving freight|4
639|railroad bridge|usage: for freight trains|4
640|cab car|function: hauling freight|4
641|rolling stock|component of: freight train|4
642|multiple track railway|used for: both passenger and freight|4
643|freighter|used for: carrying freight|4
644|spine car|use: freight transportation|4
645|railroad track|used for: transporting freight|4
646|freight car|used for: transporting bulk cargo|4
647|freighter|used for: transporting bulk cargo|4
648|bill of lading|related to: freight|4
649|registry ton|related to: freight|4
650|contract carrier|definition: freight carrier|4
651|transportation device|used for: freight shipping|4
652|spine car|usage: freight hauling|4
653|truck tractor|usage: freight hauling|4
654|multiple track railway|use: freight transport|4
655|railway vehicle|use: freight transport|4
656|standard gauge railway|use: freight transport|4
657|broad gauge railway|function: freight transport|4
658|flatcar|function: freight transport|4
659|railcar carrier ship|function: freight transport|4
660|train assembly|used for: goods transportation|4
661|broad gauge railway|used for: heavy freight transportation|4
662|broad gauge railway|used for: heavy freight|4
663|flatcar|type of vehicle: freight car|4
664|railcar carrier ship|operated by: freight forwarders|4
665|head end car|used in: freight transportation|4
666|freight car|function: transport freight|4
667|multiple track railway|use case: freight transportation|4
668|tractor trailer|associated with: freight|4
669|flatcar|commonly found in: freight trains|4
670|body motion|purpose: play|5
671|electronic device|used for: play|5
672|electric device|usage scenario: playing|5
673|electronic device|functionality: entertainment|6
674|scale test car|use: entertainment|6
675|ship deck|use: entertainment|6
676|liner service|features: entertainment|6
677|ocean liner|features: entertainment|6
678|passenger ship|features: entertainment|6
679|pier|function: amusement|6
680|ship deck|activity: entertainment|6
681|electric device|application: entertainment|6
682|passenger ship|purpose: provide entertainment|6
683|ocean liner|function: providing entertainment|6
684|passenger ship|function: providing entertainment|6
685|electronic device|purpose: multimedia|6
686|animal powered vehicle|usage: entertainment|6
687|electric device|usage: entertainment|6
688|electronic device|usage: entertainment|6
689|hoisting device|usage: entertainment|6
690|rolling stock|usage: entertainment|6
691|passenger ship|activities: entertainment|6
692|animal powered vehicle|used for: entertainment|6
693|electric device|used for: entertainment|6
694|electronic device|used for: entertainment|6
695|gallery car|used for: entertainment|6
696|land vehicle|used for: entertainment|6
697|road vehicle|used for: entertainment|6
698|ship cabin|used for: entertainment|6
699|ship deck|used for: entertainment|6
700|transportation device|used for: entertainment|6
701|pier|use: for entertainment|6
702|airport classification|purpose: entertainment|6
703|animal powered vehicle|purpose: entertainment|6
704|body motion|purpose: entertainment|6
705|deck cargo|purpose: entertainment|6
706|dining car|purpose: entertainment|6
707|electric device|purpose: entertainment|6
708|electronic device|purpose: entertainment|6
709|gallery car|purpose: entertainment|6
710|motor scooter|purpose: entertainment|6
711|passenger railway car|purpose: entertainment|6
712|passenger ship|purpose: entertainment|6
713|personal watercraft|purpose: entertainment|6
714|private railcar|purpose: entertainment|6
715|railway vehicle|purpose: entertainment|6
716|road vehicle|purpose: entertainment|6
717|scale test car|purpose: entertainment|6
718|ship cabin|purpose: entertainment|6
719|ship deck|purpose: entertainment|6
720|spine car|purpose: entertainment|6
721|train assembly|purpose: entertainment|6
722|transit route|purpose: entertainment|6
723|ocean liner|purpose: providing entertainment|6
724|passenger ship|purpose: providing entertainment|6
725|private railcar|type: entertainment|6
726|gallery car|usefulness: entertainment|6
727|international airport|services: entertainment|6
728|electric device|function: entertainment|6
729|electronic device|function: entertainment|6
730|outfit car|function: entertainment|6
731|passenger ship|function: entertainment|6
732|pier|function: entertainment|6
733|ship cabin|function: entertainment|6
734|ship deck|function: entertainment|6
735|body motion|body part involved: legs|7
736|body motion|involves: legs|7
737|body motion|body parts: legs|7
738|body motion|body parts involved: legs|7
739|body motion|body part: leg|7
740|body motion|body part: legs|7
741|organic compound|structure: non-metallic|8
742|lighter|design: metallic|8
743|bulkhead|structure: metal|8
744|canal lock gate|structure: metal|8
745|cargo ship|structure: metal|8
746|fishing trawler|structure: metal|8
747|freight car|structure: metal|8
748|fuel tank|structure: metal|8
749|hangar bay|structure: metal|8
750|passenger railway car|structure: metal|8
751|pier|structure: metal|8
752|railroad bridge|structure: metal|8
753|railroad track|structure: metal|8
754|railway vehicle|structure: metal|8
755|ship hatch|structure: metal|8
756|ship hold|structure: metal|8
757|ship hull|structure: metal|8
758|tank car|structure: metal|8
759|truck trailer|structure: metal|8
760|tugboat|structure: metal|8
761|fishing trawler|design: metal|8
762|railway vehicle|design: metal|8
763|rolling stock|design: metal|8
764|organic compound|definition: not containing metal|8
765|canal lock gate|physical structure: metal|8
766|attaching|objects: metal|8
767|attaching|object: metal|8
768|attaching|surface: metal|8
769|fishing boat|construction: metallic|8
770|glider airplane|construction: metallic|8
771|propeller airplane|construction: metallic|8
772|canal structure|construction material: metal|8
773|canal system|construction material: metal|8
774|glider airplane|construction material: metal|8
775|ship hatch|construction material: metal|8
776|transit shelter|construction material: metal|8
777|ship hull|construction: cast|8
778|aid to navigation|material: metal|8
779|attaching|material: metal|8
780|bulkhead|material: metal|8
781|canal|material: metal|8
782|canal lock gate|material: metal|8
783|canal structure|material: metal|8
784|canal system|material: metal|8
785|cargo container|material: metal|8
786|chemical tanker ship|material: metal|8
787|coach railcar|material: metal|8
788|deck cargo|material: metal|8
789|deck crane|material: metal|8
790|electric device|material: metal|8
791|electronic device|material: metal|8
792|fishing boat|material: metal|8
793|fishing trawler|material: metal|8
794|fishing vessel|material: metal|8
795|flatcar|material: metal|8
796|freight car|material: metal|8
797|fuel tank|material: metal|8
798|hangar bay|material: metal|8
799|hoisting device|material: metal|8
800|jet airplane|material: metal|8
801|jet engine|material: metal|8
802|land vehicle|material: metal|8
803|light fixture|material: metal|8
804|lighter|material: metal|8
805|material handling equipment|material: metal|8
806|navigation buoy|material: metal|8
807|navigation light|material: metal|8
808|ore carrier ship|material: metal|8
809|outfit car|material: metal|8
810|passenger car|material: metal|8
811|passenger railway car|material: metal|8
812|petroleum tanker ship|material: metal|8
813|pier|material: metal|8
814|port crane|material: metal|8
815|portable bridge|material: metal|8
816|private railcar|material: metal|8
817|propeller airplane|material: metal|8
818|pusher tug|material: metal|8
819|railcar carrier ship|material: metal|8
820|railway vehicle|material: metal|8
821|road vehicle|material: metal|8
822|rocket engine|material: metal|8
823|rolling stock|material: metal|8
824|scale test car|material: metal|8
825|ship cabin|material: metal|8
826|ship deck|material: metal|8
827|ship hatch|material: metal|8
828|spine car|material: metal|8
829|tank car|material: metal|8
830|traffic light|material: metal|8
831|traffic signal|material: metal|8
832|train assembly|material: metal|8
833|transit shelter|material: metal|8
834|truck trailer|material: metal|8
835|vehicle wheel|material: metal|8
836|watercraft|material: metal|8
837|attaching|common places: metal|8
838|fishing boat|structure: metallic|8
839|pier|structure: metallic|8
840|ship deck|structure: metallic|8
841|offshore anchorage|usage: vessels|9
842|container ship|type: large vessel|9
843|liner service|equipment: vessel|9
844|liner service|vessel: heavy|9
845|liner service|vessel: specialized|9
846|tugboat|type of vessel: small|9
847|cable ship|type: supply vessel|9
848|offshore supply ship|type: supply vessel|9
849|railcar carrier ship|type: vessels|9
850|offshore supply ship|categorization: vessel|9
851|offshore support ship|categorization: vessel|9
852|cable ship|structure: vessel|9
853|water transportation system|structure: vessel|9
854|liner service|vessel: large|9
855|deepwater port|features: large vessels|9
856|fishing trawler|type of vessel: large|9
857|ocean liner|type of vessel: large|9
858|cargo ship|size: vessel|9
859|fish factory ship|size: vessel|9
860|offshore support ship|size: vessel|9
861|whaling ship|size: vessel|9
862|cable ship|type: vessel|9
863|cargo ship|type: vessel|9
864|chemical tanker ship|type: vessel|9
865|container ship|type: vessel|9
866|crane ship|type: vessel|9
867|fire boat|type: vessel|9
868|fish factory ship|type: vessel|9
869|fishing boat|type: vessel|9
870|fishing trawler|type: vessel|9
871|fishing vessel|type: vessel|9
872|freighter|type: vessel|9
873|general cargo ship|type: vessel|9
874|hopper dredger|type: vessel|9
875|ocean liner|type: vessel|9
876|offshore supply ship|type: vessel|9
877|offshore support ship|type: vessel|9
878|ore carrier ship|type: vessel|9
879|partial container ship|type: vessel|9
880|petroleum tanker ship|type: vessel|9
881|pusher tug|type: vessel|9
882|railcar carrier ship|type: vessel|9
883|tugboat|type: vessel|9
884|whaling ship|type: vessel|9
885|partial container ship|type: type of vessel|9
