facet_property	cluster_label
characteristics: gills	17
adaptations: scales	17
features: fin	17
equipment: fins	17
equipment: flippers	17
adaptations: shell	18
equipment: shells	18
features: shell	18
equipment: ammo	19
components: barrel	19
components: ammunition	19
ammunition: bullets	19
ammunition: cartridges	19
ammunition: bullet	19
ammunition: pellets	19
ammunition: airsoft	19
ammunition: bbs	19
ammunition: round	19
ammunition: screws	19
appearance: winged	20
example: wings	20
appearance: wings	20
physical characteristics: colorful wings	20
behavior: feeds on nectar	20
physical characteristics: transparent wings	20
shape: winged	20
features: wings	20
category: winged	20
physical characteristics: delicate wings	20
unique feature: wings	20
physical characteristics: wings	20
body parts: wings	20
application: databases	21
implementation: database-driven	21
applications: databases	21
application: file systems	21
use: for creating games	22
applications: game development	22
industry: gaming	22
application: multi-user games	22
artistic aspects: interpretation	23
artistic aspects: costume design	23
element of: artistic expression	23
artistic aspects: expression	23
demonstrates: artistic expression	23
purpose: aesthetic	23
performance elements: expression	23
rider characteristics: bravery	24
physical demands: bravery	24
motivation: national pride	24
athletes: bravery	24
rider skills: courage	24
athletes: pole vaulters	25
athletes: vaulter	25
athletes: throwers	25
athletes: high jumpers	25
athletes: runners	25
athletes: long jumpers	25
athletes: jumpers	25
athletes: jumps	25
competitors: jumpers	25
participant roles: jumper	25
competitor: jumper	25
athletes: team captains	26
athletes: team members	26
players: team-oriented	26
goals: can set goals	26
role: team member	26
members: team players	26
players: athletes	26
individual: team member	26
team members: athletes	26
members: team members	26
team members: players	26
background: team player	26
members: athletes	26
characteristics: team player	26
athletes: part of a team	26
participants: wrestlers	27
competitors: wrestler	27
athletes: wrestlers	27
athletes: freestyle wrestlers	27
competitors: athletes	28
athletes: triathletes	28
category: athletes	28
participants: professional shooters	28
athletes: competitors	28
athletes: amateurs	28
athletes: men	28
participants: athletes	28
category: competitors	28
competitor: athlete	28
competitor: thrower	28
competitors: triathletes	28
participants: competitors	28
examples: athletes	28
competitors: amateur athletes	28
participants: fighters	28
competitors: amateurs	28
participants: track and field athletes	28
athletes: olympic athlete	29
athletes: strong throwers	29
athletes: compete individually	29
athletes: clears	29
skill level: olympian	29
athletes: athletes with exceptional strength	29
participants: athletes from different countries	29
athletes: world champions	29
events: competing in olympics	29
athletes: multisport athletes	29
athletes: track and field athletes	29
athletes involved: olympic athletes	29
athletes participating: thousands	29
athletes: fast	29
player: athlete	29
participant: olympic athlete	29
athletes participating: 10,000+	29
athletes: women	29
athletes: olympic athletes	29
athletes: olympic	29
individual: athlete	29
athletes: olympic champions	29
competitors: olympic athletes	29
athletes: individual	29
olympic history: featured in multiple games	29
requirements: athletes must be members of the national team	30
athletes: well-rounded	30
athlete type: professional	30
athlete: professional	30
athlete type: amateur	30
requirements: athletes must meet specific age and qualification requirements	30
athlete characteristics: inexperienced	30
person: sportsman	30
athlete characteristics: experienced	30
participants: athletes from all over the world	30
career path: professional athlete	30
applied to: athlete	30
examples: athlete	30
athlete: experienced	30
athlete: specialized athlete	30
athlete: multi-talented athlete	30
athletes: disciplined	30
background: professional athlete	30
description: skilled in multiple sports	30
description: athlete	30
background: amateur athlete	30
role: athlete	30
members: athletic	30
participant roles: athlete	30
athlete: amateur	30
person: athlete	30
athletes: veterans	30
athletes: multiskilled	30
athletes: require mental toughness	30
athletes: amateur	30
athletes: skilled	30
athletes: specialize in	30
athletes: specialized	30
athletes: train for	30
athletes: world-class	30
athletes: specialize in this event	30
athletes: multi-event specialists	30
athletes: physically fit	30
athletes: need to be strong in both	30
athletes: trained in both disciplines	30
athletes: male	30
athletes: train for this event	30
athletes: require technique and practice	30
athletes: austrian	30
athletes: specialized in multiple events	30
athletes: norwegian	30
athletes: require strength and speed	30
athletes: professional	30
players: athletic	30
athletes: professionals	30
athletes: multi-talented athletes	30
athletes: highly trained	30
athletes: multi-talented	30
athletes: multitaskers	30
athletes: adventurous	30
athletes: newcomers	30
athletes: require speed	30
athletes: technically skilled	30
athletes: professional athletes	30
athletes: military officers	30
athletes: require strength	30
athletes: strategic	30
athletes: experienced	30
athletes: require technique	30
athletes: specialized event gymnasts	31
team composition: 5-8 gymnasts	31
gymnasts: females	31
athletes: strong all-around gymnasts	31
gymnasts: males	31
athletes involved: gymnasts	31
athletes: gymnasts	31
participants: gymnasts	31
competitors: amateur skiers	32
athletes involved: professional skiers	32
participants: professional snowboarders	32
participants: snowboarders	32
participates in: biathlon	32
participants: skiers	32
athletes: alpine skiers	32
participants: amateur snowboarders	32
competitors: alpine skiers	32
participant: luge specialist	32
athletes: snowboarders	32
participants: speed skaters	32
participants: winter sportsmen	32
athletes: cross-country skiers	32
athletes: skiers	32
competitors: professional skiers	32
athletes: experienced skiers	32
benefits: relaxing	33
goals: relaxation	33
atmosphere: exciting	33
atmosphere: formal	33
purpose: relaxation	33
atmosphere: casual	33
characteristics: relaxing	33
atmosphere: relaxed	33
popular at: school events	34
attendance: optional	34
attendance: mandatory	34
attendance: by invitation	34
attendance: invitation-only	34
attendees: invited	34
attendees: private	34
attendance: online	34
attendance: invite-only	34
attendees: public	34
attendance: large	34
attendance: private	34
attendance: invited only	34
attendance: public	34
participants: few	35
attendance: limited	35
attendees: many	35
number of participants: small	35
attendees: small group	35
attendance: small	35
attendees: few	35
number of participants: large	35
attendees: few people	35
audience: large	36
participants: large crowd	36
audience: private	36
audience: small	36
audience: public	36
audience: select	36
behavior: migrates	37
needs: needs shelter	37
social behavior: migratory	37
behavior: migrating	37
behavior: migrate	37
behaviour: mating	38
behaviour: feeding	38
behavior: feed	38
belts: black	39
belts: master	39
belts: black belt	39
belts: white belt	39
belts: colored	39
belts: colored belt	39
belts: blue	39
belts: white	39
belts: red	39
equipment: belt	39
belts: yellow	39
belts: green	39
belts: orange	39
belts: colored belts	39
benefits: learning from each other	40
benefits: increased productivity	40
benefits: enhanced creativity	40
outcome: networking	40
benefits: improved relationships	40
benefits: enhanced collaboration	40
benefits: increased creativity	40
benefits: cultural exchange	40
advantages: enhanced creativity	40
benefits: enhanced teamwork	40
benefits: cross-cultural exchange	40
benefits: promoting diversity	40
benefits: increased collaboration	40
benefits: fostering teamwork	40
benefits: improved communication	40
benefits: enhances athletic performance	41
benefits: improves bone density	41
benefits: works multiple muscle groups	41
benefits: boosts metabolism	41
benefits: improved bone density	41
purpose: improve strength	41
purpose: improving flexibility	41
benefits: strength gain	41
benefits: bone density	41
function: improving flexibility	41
purpose: to increase endurance	41
benefits: good for back muscles	41
benefits: stress relief	41
physical benefits: weight loss	41
benefits: improves cardiovascular endurance	41
benefits: increases strength	41
benefits: improves muscle tone	41
benefits: increases muscle mass	41
benefits: boost metabolism	41
benefits: improves posture	41
benefits: improves cardiovascular health	41
benefits: increase bone density	41
benefits: muscle growth	41
benefits: improves endurance	41
benefits: improves cardiovascular	41
benefits: increased muscle mass	41
purpose: mental health	42
benefits: weight loss	42
popularity: used for rehabilitation	42
benefits: cardiovascular health	42
benefits: burns calories	42
benefits: fat loss	42
benefits: health	42
importance: supports life	42
benefits: improve overall health	42
benefits: mental health	42
importance: health	42
benefits: improved mental health	42
benefits: social benefits	42
benefits: physical health	42
goals: improved overall health	42
benefits: improved overall health	42
popular among: adrenaline seekers	43
benefits: exercise	43
physical benefits: cardiovascular exercise	43
benefits: full body workout	43
physical benefits: fitness	43
physical benefits: cardio	43
purpose: to improve agility	43
use: exercise	43
benefits: full-body workout	43
benefits: physical fitness	43
benefits: improves stroke efficiency	43
benefits: full-body exercise	43
benefits: fitness	43
type: unique experience	44
benefits: broader perspectives	44
benefits: increased understanding	44
benefits: diversity of ideas	44
benefits: broadened perspectives	44
advantages: increased perspectives	44
benefits: diversity of perspectives	44
importance: supports economy	45
influenced by: pollution	45
goals: conservation	45
benefits: environmental	45
benefits: broader perspective	45
benefits: environmental benefits	45
environmental impact: dependent on wind	45
benefits: low impact	45
environmental impact: minimal	45
environmental impact: eco-friendly	45
concerns: pollution	45
benefits: environmental impact	45
biological: phenotype	46
biological: genotype	46
biological: dna	46
biological characteristics: culture	46
type: hybrid	46
human: mortal	47
biological: human	47
biological: has dna	47
human: unique	47
human: sentient	47
human: alive	47
physical characteristics: human	47
biological aspects: human	47
body part: torso	48
body part: arms	48
muscles worked: legs	48
body part: legs	48
body part used: legs	48
body part used: arms	48
component: leg supports	48
body part used: back	48
position: lying	49
position: head above water	49
position: lying on back	49
position: face down	49
position: standing	49
position: lying down	49
position: sitting	49
body position: arms extended	49
body position: supine	49
body position: horizontal	49
body position: face down	49
body position: on back	49
poses: held	49
body position: relaxed	49
technique: breathing underwater	50
breathing: breathing in while arms exit water	50
breathing: alternating sides	50
breathing: side breathing	50
breathing: head above water	50
breathing: mouth out of water	50
breathing: exhaling underwater	50
breathing: breathing out while arms enter water	50
breathing: breathe every stroke	50
caliber: small	51
type: small-caliber	51
caliber: large	51
caliber: 9mm	51
caliber: 5.7x28mm	51
caliber: tiny	51
caliber: medium	51
caliber: 45acp	51
caliber: bb	51
organisms: whales	52
types: marine mammal	52
category: marine life	52
type: aquatic	52
related to: marine conservation	52
definition: marine life	52
category: pollinator	53
used by: insects	53
category: creepy-crawly	53
category: insect	53
category: beetle	53
category: winged insect	53
category: computer hardware	54
found in: technology	54
equipment: computers	54
type: hardware	54
function: base	55
components: base	55
category: foundation	55
function: providing base	55
purpose: base	55
features: base	55
category: base	55
category: breakfast food	56
used for: breakfast	56
used for: dessert	56
type: breakfast food	56
category: healthy breakfast	56
challenges: trust issues	57
dynamics: trust building	57
challenges: adjusting to new teammates	57
requires: patience	57
challenges: trust building	57
challenges: conflicting opinions	58
challenges: deadlock	58
challenges: cultural differences	58
challenges: differing opinions	58
challenges: conflicting interests	58
challenges: communication barriers	59
disadvantages: interference	59
characteristics: non-blocking	59
challenges: synchronization issues	59
challenges: language barriers	59
challenges: scalability	60
challenges: synchronization complexity	60
challenges: data consistency	60
challenges: scalability issues	60
characteristics: highly scalable	60
benefits: improved data accuracy	60
features: stable	61
type: isolated	61
characteristics: unstable	61
related to: stable	61
characteristics: fault-tolerant	61
characteristics: stable	61
design: stable	61
features: together	62
characteristics: together	62
definition: synchronized	62
definition: together	62
characteristics: slow to turn	63
characteristics: maneuverable	63
characteristics: steerable	63
features: maneuverable	63
characteristics: adaptable	64
definition: versatile	64
characteristics: highly adaptable	64
description: versatile	64
characteristics: versatile	64
ability: versatile	64
characteristic: versatile	64
characteristic: competitive	65
nature: competitive	65
characteristics: competitive	65
reputation: competitive	65
type: competitive	65
usage: competitive	65
use: competitive	65
atmosphere: competitive	65
importance: highly competitive	65
social aspect: competitive	65
importance: competitive	65
size: lightweight	66
type: lightweight	66
physical characteristics: lightweight	66
features: lightweight	66
characteristics: lightweight	66
characteristics: durable	66
characteristics: thread-safe	66
physical characteristics: material	66
type: fast-paced	67
racing style: aggressive	67
racing style: fast and aggressive	67
characteristics: fast-paced	67
playing style: fast-paced	67
popularity: action-packed	67
style characteristics: fast pace	67
physicality: fast-paced	67
type: slow-paced	67
style: fast	67
physical characteristics: delicate	68
orientation: curvy	68
characteristics: curvy	68
physical appearance: thin	68
description: well-rounded	68
track: curvy	68
appearance: delicate	68
design: curvy	68
features: curvy	68
condition: curvy	68
characteristic: well-rounded	68
characteristics: well-rounded	68
characteristics: exciting ride	69
experience: thrilling	69
characteristics: thrilling	69
characteristics: exciting	69
importance: exciting	69
condition: smooth	70
track: smooth	70
physical characteristic: smooth	70
characteristics: smooth	70
level of involvement: active	71
characteristic: cohesive	71
characteristic: collaborative	71
nature: collaborative	71
characteristics: collaborative	71
characteristics: cooperative	71
characteristics: cohesive	71
characteristics: adjustable height	72
feature: elevated	72
feature: adjustable height	72
height: fixed	72
features: adjustable height	72
characteristics: higher bar is shorter	72
characteristics: lower bar is longer	72
rules: height	72
rules: height increment	72
types: adjustable height	72
characteristics: height-adjustable	72
height: adjustable	72
characteristics: cooperation	73
characteristics: mutual respect	73
goals: mutual understanding	73
philosophy: courtesy	73
principles: mutual welfare and benefit	73
mental aspects: respect	73
characteristics: trust	73
philosophy: respect	73
leadership: mutual respect	73
purpose: friendship	73
characteristics: unique	74
type: unique	74
characteristics: distinct	74
unique: has fingerprints	74
property: unique	74
characteristics: diverse	74
unique: has personality	74
properties: unique	74
physical characteristics: unique	74
personality: unique	74
characteristic: diverse	74
unique: has face	74
characteristics: beautiful	74
features: discontinuous	75
features: in a set	75
characteristic: determined	75
purpose: separate	75
property: distinct	75
characteristics: determined	75
type: physical	75
characteristics: inclusive	75
characteristics: isolated	75
characteristics: opposite	75
type: singular	75
characteristics: equal	75
characteristics: separate	75
properties: distinct	75
shape: flat	76
orientation: flat	76
characteristics: flat	76
condition: flat	76
physical appearance: flat	76
design: flat	76
grade: flat	76
structure: flat	76
behavior: can be helpful	77
cognitive abilities: communication	77
human: thinking	77
mental demands: problem solving	77
cognitive abilities: problem-solving	77
use: for solving puzzles	77
cognitive abilities: learning	77
advantages: better problem solving	77
required skills: problem-solving	77
cognitive: problem-solving	77
cognitive abilities: problem solving	77
avoidance: awareness	78
mental: thoughts	78
cognitive abilities: memory	78
cognitive: memory	78
cognitive: knowledge	78
mental aspect: mindset	78
mental: beliefs	78
purpose: awareness	78
cognitive: beliefs	78
cognitive: thoughts	78
mental aspects: mindfulness	78
personality: has emotions	79
psychological: has self-awareness	79
cognitive: has emotions	79
psychological: has motivations	79
cognitive: has thoughts	79
type: mental	79
physical: has senses	79
emotions: can feel emotions	79
personality: has thoughts	79
cognitive abilities: can forget	80
abilities: can create	80
cognitive abilities: can remember	80
abilities: can think	80
cognitive abilities: can think	80
cognitive abilities: can learn	80
cognitive: intelligence	80
cognitive: has language	80
cognitive abilities: intelligent	80
intelligence: capable of thinking	80
abilities: intelligent	80
abilities: can communicate	80
cognitive abilities: can reason	80
intelligence: can solve problems	80
abilities: can learn	80
intellectual abilities: can solve problems	80
intellectual abilities: can learn	80
intellectual abilities: can think	80
intelligence: can learn	80
color: colorful	81
color: monochromatic	81
category: colorful	81
physical characteristics: colorful	81
appearance: colorful	81
shape: iridescent	81
rules: each skier has a designated lane	82
type: alpine skiing	82
components: cross-country skiing	82
sport: cross-country skiing	82
skiing style: fast	82
skiing style: agile	82
discipline: cross-country skiing	82
strategy: skiing fast	82
event types: snowboarding	82
description: combines cross-country skiing and ski jumping	82
length: shorter than cross-country skiing	82
disciplines: slopestyle	82
disciplines: skiercross	82
skiing: popular among skiers	82
disciplines: cross-country skiing	82
type: snowboarding	82
skiing: requires skill and courage	82
type: skiing	82
combination of: cross-country skiing	82
disciplines: ski cross	82
combinations: downhill skiing	82
training requirements: cross-country skiing	82
training: snow training	82
combinations: cross-country skiing	82
definition: downhill skiing	82
type: snowboarding discipline	82
related activities: nordic skiing	82
type: speed skiing	82
type: downhill skiing	82
format: same distance for all skiers	82
characteristics: combines downhill skiing and cross-country skiing	82
popular examples: snowboarding	82
related activities: backcountry skiing	82
types: backcountry skiing	82
category: skiing	82
activity: snowboarding	82
related activities: snowshoeing	82
types: classic skiing	82
popular examples: alpine skiing	82
type: cross-country skiing	82
activity: skiing	82
common in: everyday life	83
found in: everyday life	83
common in: lifestyle	83
related to: trail	84
locations: trail	84
common locations: trail	84
location: trail	84
location: mountain trail	84
features: groomed trails	84
environment: trail	84
location: treadmill	85
common locations: track	85
setting: track	85
environment: track	85
location: circuit	85
structure: track	85
location: track	85
common mistakes: insufficient rest	86
common mistakes: poor form	86
common mistakes: overtraining	86
characteristics: requiring hand-eye coordination	86
common mistakes: inadequate warm-up	86
common use: physical therapy	87
purpose: therapy	87
used for: physical therapy	87
used in: physical therapy	87
purpose: physical therapy	87
used in: physical therapy sessions	87
use: physical therapy	87
used for: rehabilitation	87
psychological aspect: pain management	87
communication: effective	88
purpose: communication	88
challenges: communication	88
involves: communication	88
communication: cultural exchange	88
communication: necessary	88
communication: coordination	88
definition: communication	88
used for: communication	88
dynamics: communication	88
communication: diverse perspectives	88
communication: sharing information	88
function: communication	88
structure: communication	88
communication: communication	88
communication: multilingual	88
communication: verbal	88
communication: nonverbal	88
communication: important	88
purpose: information sharing	88
communication: written	88
requirements: communication	88
community: horse stable	89
community: horse club	89
community: weightlifting club	89
competition format: finals	90
competition format: qualification round	90
competition format: final round	90
competition: games	90
format: competition	90
competition: tournaments	90
competition format: qualification rounds	90
competitions: professional tournaments	90
competition: professional tournaments	90
competitions: tournaments	90
events: tournaments	90
competitions: local tournament	90
competitions: national tournaments	90
competition: seasonal tournaments	90
competition: local tournaments	90
activity: tournament	90
competitions: local tournaments	90
competition: national tournaments	90
competition: local tournament	90
event: college tournaments	90
events: local tournament	90
event: professional game	90
organized by: tournament	90
event: tournaments	90
competition: tournament	90
event: tournament	90
event type: tournament	90
competition format: tournament	90
event: relay	91
competition format: relay	91
events: relays	91
type of competition: relay	91
events: relay	91
competition: relay	91
racing: relay	91
type: olympic torch relay	91
disciplines: relay	91
event: matches	92
competition format: match	92
competition: matches	92
duration: match	92
event: match	92
rules: individual bout	92
events: matches	92
event type: semifinals	92
competition: match	92
events: duel	92
scoring system: matches	92
olympic: winter olympics	93
event: winter x games event	93
famous events: winter games	93
season: february olympics	93
type of competition: winter olympics	93
event: winter games	93
competitions: winter x games	93
event: winter olympic event	93
type: winter sport event	93
event type: winter x games	93
competitions: winter olympics	93
type: winter olympics	93
type: winter olympic event	93
event: winter olympics	93
type: olympic winter	93
competitions: winter	93
competition: winter games	93
competition: winter olympics	93
olympic presence: winter olympics	93
participates in: winter olympics	93
olympic inclusion: winter games	93
olympic recognition: winter olympic sport	93
olympic event: winter olympics	93
olympic: winter olympic games	93
held at: winter olympics	93
competitions: grand prix	94
competition: national championship	94
competitions: indoor	94
competition: title	94
competitions: national	94
competitions: national cups	94
competitions: ncaa	94
competition level: high school league	94
competitions: world	94
competition: european championship	94
competition level: national championship	94
competitions: national championships	94
competitions: college championships	94
competition level: national championships	94
competition: national championships	94
duration: day-long competition	94
competition: world championship	94
held at: national championships	94
competition: championship	94
competition: grand prix	94
competition: championships	94
competition: school competitions	94
competition: college championships	94
competition: national	94
event: national championship	94
competition: high school championships	94
event: college championships	94
context: school	95
competitive level: college	95
level: school	95
type: school	95
level: college	95
level: high school	95
competitive level: high school	95
league: college	95
competition level: college	95
competition level: college league	95
competition level: high school	95
competition level: competitive	96
competitive level: recreational	96
competition level: recreational	96
level: recreational	96
competition level: national	96
size: multiplayer	96
competition format: individual	96
events: competing	96
popular: professional competition	96
purpose: compete in tournaments	96
competition level: local	96
competitive levels: recreational	96
popular at: local competitions	96
competition: individual	96
competition level: individual	96
level: competitive	96
popular for: competition	96
competition level: international	96
level: national	96
type of competition: individual	96
events: team	97
category: team	97
competitions: team	97
racing style: team	97
team composition: different events	97
team size: 4-6 athletes	97
competition: team	97
competitors: national teams	97
structure: led by coach	97
type of competition: team	97
individual/team: team	97
mode: team	97
teams: composed of 4-8 gymnasts	97
competition level: team	97
competition format: team	97
athletes: team	97
division: league	98
competition format: league	98
competition: recreational leagues	98
schedule: round-robin	98
competition: league	98
competitions: cup competitions	98
division: championship	98
competitions: league	98
events: national competitions	99
event: national competition	99
events: local competitions	99
competitions: summer	99
competition level: local competitions	99
competition: local meet	99
competition: local meets	99
competitions: local meets	99
competitions: local events	99
competitions: national competitions	99
competition: local events	99
event: local competition	99
competition: national competitions	99
popular events: local competitions	99
competitions: local	99
event: national competitions	99
competitions: local shows	99
event: local competitions	99
competitions: outdoor	99
purpose: sailing competition	100
competitions: boat racing	100
competitions: maritime events	100
competitions: sailing regatta	100
event: sailing competition	100
event: regatta	100
event: fis event	101
world championship: fis alpine world ski championships	101
type of competition: fis world cup	101
type of competition: world cup event	101
held at: fis world championships	101
world championships: part of fis alpine world ski championships	101
event: world cup	101
competitions: snowboard competitions	101
competition: world cup event	101
competitions: fis freestyle skiing world championships	101
event: world cup event	101
competitions: fis world championships	101
competitions: fis world cup	101
competitions: fis freestyle world ski championships	101
world championships: fis world championships	101
competition level: professional league	102
competitive: professional league	102
league: international	102
league: nfl	102
league: nba	102
professional league: minor leagues	102
competitions: professional leagues	102
professional league: nhl	102
league: professional	102
league: national	102
level: international	103
level: elite	103
competition level: amateur	103
competitive level: professional	103
competitive: professional	103
level: amateur	103
competitors: professional	103
competition level: professional	103
competitive levels: professional	103
competitors: professionals	103
professional aspects: competing in professional sports	103
gender: female	104
competitors: male	104
members: female athletes	104
gender: male	104
athletes: female	104
competitors: female	104
members: female	104
players: female	104
record holders: female	104
record holders: male	104
power source: spring	105
equipment components: springs	105
type: spring	105
material: spring	105
mechanism: tension	105
mechanism: springs	105
structure: metal rods	105
components: springs	105
features: springs	105
applications: water treatment	106
power source: pump	106
components: pump	106
characteristics: water purification	106
mechanism: uses compressed air	106
features: pipes	106
features: padding	107
features: springy material	107
equipment: padding	107
components: padding	107
material: foam	107
surface: padding	107
components: molded sidewall	108
parts: frame	108
components: frame	108
features: red dot sight	109
features: laser sight	109
features: sight	109
features: scope	109
components: sight	109
equipment: amunition	109
components: sights	109
equipment used: bindings	110
equipment required: bindings	110
components: bindings	110
equipment: ropes	110
equipment: chain	110
features: binding	110
equipment: bindings	110
features: bindings	110
mechanism: ropes	110
binding: adjustable	110
binding: fixed	110
binding: compatible with boots	110
features: bungee cords	110
composition: diverse backgrounds	111
composition: individuals from different backgrounds	111
members: diverse	111
composition: different nationalities	111
composition: different individuals	111
composition: diverse group of people	111
composition: diverse group	111
grouping: players	112
composition: including players from different countries	112
members: players	112
composition: female players	112
composition: players	112
composition: group of players	112
physical characteristics: male/female	113
participant characteristics: gender	113
composition: men and women	113
composition: different genders	113
composition: male and female	113
types: women's	113
composition: combination of men and women	113
condition: poorly maintained	114
condition: well maintained	114
condition: well-maintained	114
maintenance: low-maintenance	114
condition: under construction	114
maintenance: low maintenance	114
outcomes: failure	115
outcome: failure	115
challenges: failures	115
type: pitfall	115
consequences: failure	115
consequences: disappointment	115
challenges: setbacks	115
outcome: loss	115
conservation status: endangered	116
concerns: habitat destruction	116
conservation status: threatened	116
conservation status: extinct	116
country: great britain	117
countries: germany	117
countries: usa	117
countries: canada	117
country: usa	117
country: australia	117
country: russia	117
country: china	117
course layout: steep slopes	118
course: long and challenging	118
course: rocky	118
course: groomed terrain	118
course: downhill	118
course features: straightaways	118
course: winding	118
course: steep terrain	118
feature: treacherous	118
course: downhill slope	118
course: steep	118
course: natural obstacles	118
course: tight turns	118
course: banked turns	118
rules: gates	119
racing style: gates	119
gates: typically 52-60 gates	119
event format: gates	119
course: gates	119
rules: gates with flags	119
