facet_property	cluster_label
physical structure: metal	17
construction material: fiberglass	18
construction material: plastic	18
construction material: aluminum	18
construction material: steel	18
construction materials: aluminum	18
construction material: metal	18
construction material: stone	18
construction materials: steel	18
construction material: concrete	18
construction material: wood	18
construction material: brick	18
type: replenishment oiler	19
type: dive support	19
type: offshore construction vessel	19
type: processing vessel	19
type: supply vessel	19
type: fish processing vessel	19
type: research vessel	19
type: research submarine	19
type: scientific vessel	19
type: factory ship	19
type: support vessel	19
type: specialized vessel	19
type: scientific cruise	19
type: construction vessel	19
type: offshore tug	19
function: supply vessels	19
type: anchor handling tug	19
type: scientific ship	19
type: ocean tug	19
type: merchant marine	19
type: platform supply vessel	19
type: maintenance ship	19
type: offshore supply vessel	19
type: drillship	19
type: longliner	19
type: dive support vessel	19
type: mining vessel	19
type: converted vessel	19
type: dedicated fireboat	19
related to: naval vessel	20
vessels: large	20
vessel: passenger	20
vessel: cargo	20
size: vessel	20
vessel: large	20
vessels: small	20
vessel: specialized	20
vessel: heavy	20
type of vessel: large boat	21
type of ship: large	21
type of vessel: powerful	21
type of boat: powerful	21
type of vessel: towed	21
type of vessel: large	21
type of vessel: luxurious	21
type of vehicle: large ship	21
type: workforce	22
type: lamp	22
type: wagon	22
type: sail	22
type: crew	22
type: warehouse	22
type: pump	22
type: factory	22
type: sea vessel	22
type: ship	22
type: cruise	22
type: goods	22
type: machine	22
categorization: ship	22
type: ships	22
type: vessel	22
content: vehicle	22
type: virus	22
type: vessels	22
type: cabin	22
type: galley	22
type: rocket	22
type: flight	22
type: container carrier	22
type: station	22
type: watercraft	22
type: large vessel	22
type: midship	22
type: cruiser	23
type: patrol craft	23
type: warship	23
type: naval	23
type: historic ship	23
type: submarine	23
type: large ship	23
type: destroyer	23
ship type: warship	23
type: military	23
type: naval vessel	23
categories: warships	23
type: amphibious ship	24
type: ice-strengthened ship	24
type: amphibious assault ship	24
operation: amphibious	24
type: amphibious	24
type: type of vehicle	25
type: type of ship	25
type: type of train	25
type: type of vessel	25
type: type of car	25
contains information about: tonnage	26
contains information about: ship name	26
contains information on: ship name	26
contains information: ship name	26
contains information about: ship size	26
contains information about: ship tonnage	26
contains information about: ship owner	26
contains information about: type of ship	26
contains information on: ship details	26
contains information about: ship type	26
contains information on: vessel specifications	26
types: dry cargo	27
types: liquid tank container	27
types: general cargo hold	27
types: tanker hold	27
types: petroleum carrier	27
types: liquid bulk	27
found in: tankers	27
types: oil tanker	27
types: gas tanker	27
types: tank car	27
types: refrigerated hold	27
types: tankers	27
types: chemical tanker	27
types: ladder truck	27
types: dry bulk	27
alternative: bulk carrier	27
types: tank container	27
categories: tankers	27
types: bulk carrier	27
types: tanker	27
size: container vessel	28
construction: tanker	28
containers: tankers	28
features: tanker	28
structure: tanker	28
features: tankers	28
structure: refrigerator car	28
structure: boxcar	28
structure: refined oil tank	28
structure: tanker body	28
structure: catamaran	28
structure: large vessel	28
type of ship: floating platform	28
used for: moving chemicals	29
used for: chemical transportation	29
purpose: transporting chemicals	29
transported materials: chemicals	29
used for: transporting chemicals	29
usage: transporting chemicals	29
used for: shipping chemicals	29
design: specialized for chemical transport	29
carries: chemicals	30
functionality: carrying chemicals	30
function: moving chemicals	30
function: transport chemicals	30
purpose: carrying chemicals	30
function: carrying chemicals	30
function: transporting chemicals	30
function: carrying gasoline	30
function: storing chemicals	30
function: carry chemicals	30
function: carrying hazardous materials	31
purpose: carrying hazardous materials	31
function: carry hazardous materials	31
function: transport hazardous materials	31
type of goods: hazardous chemicals	31
categorization: hazardous materials carrier	31
used for: moving hazardous materials	31
size: shortest	32
time: fast	32
size: emergency	32
size: international	32
size: full	32
size: open	32
size: extended	32
size: busy	32
size: mini	32
size: short	32
size: precise	32
size: confined	32
size: lengthy	32
time: slow	32
length: short	32
size: quiet	32
size: idle	32
size: shallow	32
dimension: wide	32
size: partially filled	32
size: long	32
size: slow	32
size: fast	32
size: deep	32
importance: important for national security	33
importance: essential for national security	33
uses: national security	33
importance: critical infrastructure	33
related to: national security	33
importance: national security	33
importance: for national security	33
location: ground station	34
type: satellite-based	34
location: land-based	34
type: land-based	34
type: ground-based	34
location: ground-based	34
location: land-based airbase	34
types: ground-based	34
location: ground stations	34
types: space-based	34
location: delivery route	35
location: train route	35
located at: flight route	35
location: flight route	35
locations: flight route	35
location: wind farms	36
located at: military bases	36
location: military	36
locations: military bases	36
found in: military base	36
location: military bases	36
found in: military bases	36
location: military base	36
personnel: air traffic controller	37
staff: air traffic control	37
controllers: air traffic controller	37
personnel: air traffic controllers	37
staff: air traffic controllers	37
staff: air traffic controller	37
staff: air traffic management personnel	37
personnel: air traffic managers	37
staff: radar operators	37
crew: air traffic controllers	37
personnel: controllers	37
people: air traffic controller	37
staff: air traffic managers	37
staff: air traffic engineers	37
controllers' roles: air traffic controller	38
roles: electrician	38
roles: traffic controller	38
roles: air traffic manager	38
responsibility: air traffic controller	38
roles: air traffic control center	38
roles: air traffic controller	38
participants: air traffic controllers	39
involved entities: air traffic controllers	39
involved parties: air traffic manager	39
people involved: air traffic controller	39
involved parties: air traffic management	39
involved parties: air traffic controllers	39
safety features: emergency equipment	40
safety features: emergency response plan	40
procedures for emergency situations: evacuation	40
safety features: emergency services	40
safety features: emergency evacuation procedures	40
operations: emergency response	40
training: emergency procedures	40
safety features: emergency response plans	40
safety considerations: emergency response plan	40
operation: during emergency	40
safety features: emergency systems	40
safety features: emergency response	40
safety: emergency response plan	40
safety measures: emergency response plans	40
safety measures: emergency services	40
materials: aluminum	41
materials: steel beams	41
materials: metal	41
material: steel beams	41
material: metal	41
material: wood	41
material: wire rope	41
material: aluminum	41
materials used: aluminum	41
materials used: metal	41
material: wooden	41
materials used: steel	41
components: steel	41
material: steel	41
materials: steel	41
type: steel	41
usage: identifying entities	42
purpose: signal location	42
purpose: diagnostic	42
purpose: prediction	42
identification: announcement	42
purpose: detection	42
purpose: classification	42
purpose: checking	42
identification: culture	42
purpose: authorization	42
function: identification	42
uses: identification	42
reason: sentiment	42
purpose: identification	42
installed by: company	43
maintained by: company	43
managed by: community	43
maintained by: individual	43
maintained by: agency	43
installed by: organization	43
maintained by: organization	43
receiver: machine	44
destination: receiver	44
receiver: students	44
destination: consumer	44
receiver: group	44
receiver: individual	44
receiver: individuals	44
receiver: animal	44
receiver: team	44
receiver: children	44
receiver: organization	44
signal receiver: person	44
common in: organization	45
related concepts: plan	45
related concepts: storage	45
related concepts: matches	45
related concepts: organization	45
related concepts: group	45
related concepts: category	45
theoretical concepts: information theory	45
related concepts: teaching	45
related concepts: action	45
related concepts: grouping	45
related concepts: leadership	45
related concepts: goal	45
related concepts: strategy	45
related concepts: team	45
related concepts: public policy	45
related concepts: land use	45
activity: planning	46
organization: organized	46
learning: involves learning	46
definition: organizing	46
task: organizing	46
tasks: organizing	46
step: organizing	46
activity: selling	46
activity: organizing	46
components: organizing	46
activity: buying	46
functions: organizing	46
activity: storage	46
activity: storing	46
process: organizing	46
behavior: recycling	46
activity: organization	46
form: written	47
format: written	47
method: written	47
format: paper	47
format: text	47
medium: print	48
medium: physical map	48
medium: mechanical	48
medium: fiber	48
medium: words	48
medium: online	48
medium: wire	48
medium: paper	48
medium: offline	48
medium: physical	48
medium: electronic	48
medium: ground	48
medium: digital	48
medium: visual	48
medium: land	48
medium: printed	48
medium: sound	48
format: paper records	49
displayed in: printed format	49
format: paper record	49
format: printed	49
format: printed book	49
format: electronic document	49
features: numbered pages	49
format: physical book	49
used for: running databases	50
real-world applications: grouping people	50
real-world applications: mathematical modeling	50
real-world examples: city	50
real-world applications: database	50
real-world applications: cataloging items	50
real-world application: chemistry	50
real-world examples: team	50
real-world applications: data analysis	50
real-world examples: family	50
use in real life: math problems	50
real-world examples: container	50
real-world examples: list of books	50
real-world applications: computer science	50
real-world applications: classifying objects	50
source of data: online database	51
source: private organization	51
source: online platform	51
source: company database	51
source: online database	51
source: website	51
source: printed brochure	51
source: online	51
source: official document	51
format: electronic database	51
location: online database	51
source: government agency	51
source: official website	51
source: paper	51
source: hr system	52
source: database	52
source: hr database	52
differences: used in different contexts	53
usage: in sql queries	53
usage: in relational databases	53
usage: in databases	53
usage: used in databases	53
usage: used in data analysis	53
usage: for locals	53
usage: used in machine learning	53
usage: used in database	53
usage: used for specific routes	53
usage: used in database design	53
usage: required for data normalization	53
operations: scheduling systems	54
operations: schedules	54
operations: schedule	54
operation: scheduling	54
operations: scheduling	54
scheduling: batch delivery	54
mechanisms: scheduling	54
operations: shift work	54
purpose: settle	55
purpose: roster	55
purpose: planning	55
purpose: to plan	55
purpose: passage	55
purpose: plan	55
requirements: address	55
goal: order	55
purpose: order	55
output: plan	55
purpose: log	55
purpose: flow	55
task: planning	55
structure: daily	55
goal: specific	55
time: schedule	56
information: timetable	56
related concepts: timetable	56
schedule: schedules	56
scheduling: timetables	56
schedule: timetables	56
information type: timetables	56
schedule: timetabled	56
schedule: fixed timetable	56
frequency: schedules	56
content: timetables	56
safety feature: hatch cover	57
purpose: to provide watertight seal	57
safety: protected by watertight doors	57
safety features: securely sealed	57
mechanism: airtight seal	57
features: weather-tight doors	57
safety feature: watertight seal	57
safety: watertight integrity	57
safety features: watertight doors	57
type: non-watertight	58
definition: watertight	58
definition: strong and watertight	58
safety: watertight	58
design: watertight	58
structure: watertight	58
types: watertight	58
characteristics: watertight	58
type: watertight	58
characteristics: water-tight	58
design: with protective coatings	58
design: watertight and airtight	58
structure: waterproof	58
construction: watertight	58
design: airtight	58
technology: radio waves	59
technology: uhf	59
technology: wireless	59
technology: radar waves	59
technology: cellular network	59
technology: sound waves	59
principle: radio waves	59
technology: radio	59
applications: radio	59
operating principle: radio waves	59
technology: uses radio waves	59
method: radio waves	59
uses: radio waves	59
technology: rfid	59
principle: electromagnetic waves	60
principle: electromagnetic radiation	60
principle: electromagnetic	60
physical form: electromagnetic wave	60
physical characteristic: electromagnetic	60
equipment: transmitters	61
elements: transmitter	61
physical characteristics: transmitter	61
equipment: antennae	61
device: transmitter	61
devices: transmitter	61
equipment: transmitter	61
type: transmitter	61
component: transmitter	61
components: transmitter	61
technology: algorithm	62
physical structure: antenna array	62
equipment: antenna	62
technology: phased arrays	62
component: antenna	62
technology: antenna	62
technology: antennas	62
components: antenna	62
components: antenna array	62
information: electronic displays	62
technology: antennae	62
physical characteristics: antenna	62
equipment: radomes	63
equipment: radome	63
physical structure: radome	63
components: radome	63
technology: radar equipment	64
tools and equipment: radar	64
equipment: radar systems	64
equipment used: radar systems	64
equipment: radar	64
equipment: radars	64
equipment used: radar	64
instrument: radar	64
equipment: radar dish	64
technology: radar systems	64
technologies: radar guns	64
technology: radar	64
technologies: radar	64
equipment: radar guns	64
equipment and tools: radar	64
type: angular	65
design: angular	65
layout: angular	65
materials: composite	66
material: composite	66
construction: composite	66
structure: composite	66
materials used: composite	66
structure: composite material	66
construction material: composite	66
construction: composite materials	66
airframe: composite	66
facilities: cabins	67
accommodation: suites	67
accommodation: private cabins	67
accommodation: cabins	67
accommodation: cruises	67
accommodation: cabin	67
furniture: cabins	67
feature: cabins	67
features: cabin	68
content: cabin	68
structure: wagon	68
function: cabin	68
structure: cabin	68
purpose: cabin	68
category: cabin	68
structure: cabins	68
movement: manual	69
pilot control: manual	69
operation: no engine	69
operation: manual	69
implementation: immediate	69
generation: manual	69
control: manual	69
operator: manual	69
operation: manual control	69
operation: manual operation	69
mode of operation: manual	69
operation: needs careful driving	70
operation: requiring careful handling	70
operation: need careful navigation	70
operation: careful handling	70
operation: needs careful handling	70
operation: requires skill	70
operation: human operation	71
types: manual	71
characteristics: manual	71
operational: manual	71
operational aspects: manual operation	71
technology: manual	71
process: manual	71
features: manual	71
handling: manual	71
operating system: manual	71
equipment: manual	71
operations: daily	71
operations: controlled	71
operational aspect: manual	71
operations: manual	71
construction: manual	71
method: manual handling	71
operations: domestic	71
operating: manual	71
methods: manual	71
traffic flow: high-speed	72
traffic flow: high-volume	72
traffic volume: very high	72
traffic: high volume of passengers	72
traffic: low volume	72
traffic flow: high volume	72
traffic: high volume	72
traffic volume: high	72
traffic: quiet	73
traffic: light traffic	73
traffic: chaotic	73
traffic: heavy traffic	73
traffic: crowded	73
traffic: heavy use	73
traffic: high	73
traffic: very high	73
traffic: busy	73
traffic: slow	73
traffic: fast	73
traffic: mixed	73
traffic: constant	73
traffic: light	73
traffic: congested	73
traffic: idle	73
traffic: heavy load	73
traffic: heavy	73
traffic: low	73
purpose: processing passengers	74
purpose: to provide information to passengers	74
purpose: passenger arrival	74
purpose: processing flights	74
used for: passenger entry	74
purpose: passenger processing	74
process: verified upon arrival	74
purpose: helping passengers	74
functionality: processing passengers	74
available at: airport terminals	75
access: printed at airport	75
available at: train stations	75
available at: airport	75
availability: printed at airport	75
available at: airports	75
services offered: storage for luggage	76
features: luggage storage	76
services: luggage storage	76
services: baggage drop-off	76
services: luggage carts	76
services: baggage	76
services: baggage check	76
services: baggage storage	76
services: baggage handling	76
facilities: baggage storage	76
function: baggage claim	77
facilities: baggage claim	77
features: baggage claim	77
location: near baggage claim	77
services offered: baggage claim	77
services: baggage claim	77
purpose: baggage claim	77
purpose: hauling	78
purpose: transporting	78
function: transporting	78
purpose: transport	78
application: transporting	78
purpose: transport personnel	78
functionality: transporting	78
use: transporting	78
functions: transporting	78
activities: transporting	78
purpose: carrying	78
occasion: returning home	79
occasion: flight	79
occasion: business trip	79
context: vacation	79
occasion: departure	79
occasion: vacation	79
occasion: visiting	79
purpose: visiting	80
context: visiting	80
purpose: to visit	80
event: visit	80
purpose: visit friends	80
purpose: visit	80
state: excited	81
state: tired	81
state: exhausted	81
state: nervous	81
state: unwelcome	81
state: relieved	81
state: happy	81
state: anxious	81
state: stressed	81
usage: replacing a permanent bridge	82
construction: tunnel	82
construction: underwater	82
construction method: piers	82
construction method: arch	82
design: bridges	82
facilities: bridges	82
equipment: bridges	82
tasks: building bridges	82
construction: bridges	82
structure: bridges	82
type of vessel: yacht	83
type of vessel: small	83
type of vessel: submarine	83
type of boat: ship	83
type of vessel: watercraft	83
type of boat: vessel	83
type of vessel: powered	83
type of boat: auxiliary	83
type of vehicle: boat	83
type of vessel: boat	83
type of vehicle: marine vessel	83
vessel: yacht	83
type of vessel: ship	83
type of ship: vessel	83
vessel type: boat	83
type of boat: small	83
type of vehicle: ship	83
type of boat: pontoon	83
type of boat: fishing boat	83
type: crew boat	84
type: speedboat	84
type: yacht	84
type: exploration boat	84
type: speed boat	84
type: marine vehicle	84
type: recreational boat	84
type: inflatable boat	84
type: kayak	84
type: pontoon boat	84
type: rowboat	84
type: boat	84
type: patrol boat	84
type: powerboat	84
type: fishing boat	84
type: motorboat	84
type: sailboat	84
mode: offline	85
mode: train	85
mode: lock	85
mode: manual	85
mode: public	85
mode: canal-based	85
mode: digital	85
mode: shared	85
mode: locks	85
mode: container	85
mode: pipeline	85
mode: analog	85
security: loaded	85
mode: private	85
security: strict	85
mode: online	85
mode: bulk	85
component: lock chamber	86
elements: packing group	86
parts: lock mechanism	86
parts: chamber	86
components: chamber	86
parts: lock chamber	86
components: lock chamber	86
components: locks	87
design: locks	87
features: locks and seals	87
design: security locks	87
engineering feat: locks	87
design: unique to each lock	87
methods: thread	88
infrastructure: locks	88
operation: synchronized	88
mechanism: locks	88
structure: lock	88
structure: locks	88
types: sestina lock	89
types: single-chamber lock	89
types: double lock	89
types: single lock	89
types: double-chamber lock	89
type: single lock	89
type: double lock	89
types: pivot lock	89
structure: double bottom	89
types: side lock	89
function: non-moving	90
structure: non-moving	90
structure: non-living	90
structure: non-moveable	90
design: structural	91
process: mechanical	91
engineering: mechanical advantage	91
structure: mechanical	91
design: mechanical	91
design: mechanical mechanisms	91
types: mechanical	91
construction: modular	91
design: precision engineering	91
technology: mechanical	91
construction: mechanical	91
regulations: training required	92
training and certification: licensing	92
qualifications: licensing	92
regulations: labeling requirements	92
credentials: licensing	92
regulations: licensing	92
regulations: licensing required	92
regulation: licensing	92
regulatory compliance: licensing	92
regulation: licensing required	92
regulations: licensing and permits	92
regulations: license requirements	92
regulations: licensing requirements	92
regulation: license requirements	92
regulations: requiring documentation	92
regulatory framework: licensing requirements	92
requirements: licensing	92
regulation: licensing requirements	92
regulations: required to have licenses	92
regulation: licenses	92
regulations and laws: criminal penalties	92
regulation: insurance requirements	92
regulations: insurance requirements	92
regulation: license	92
features: motor	93
features: steam engine	93
features: tires	93
features: rod	93
characteristics: wheels	93
characteristics: multiple wheels	93
features: bridge	93
physical characteristics: wheels	93
features: wheels	93
features: shoulder	93
characteristics: wheel	93
features: wheel	93
components: tire	94
components: deck	94
components: trailer	94
components: gear	94
components: motor	94
components: wheel bearing	94
components: lever	94
components: saddle	94
components: flint wheel	94
components: fan	94
components: bulb	94
components: magnet	94
components: ladder	94
components: tires	94
components: rudder	94
components: wheel	94
components: brush	94
components: wheels	94
components: speaker	94
components: mouse	94
components: keyboard	94
components: steel wheel	94
components: seat	94
structure: wheels	94
components: axles	95
features: axles	95
parts: axles	95
parts: injectors	95
parts: hooves	95
component: axles	95
power source: grid	96
power source: electric motor	96
power source: electrical	96
energy source: electricity	96
power source: electric	96
source of power: electric current	96
power source: chemical energy	96
source of power: electric	96
power source: solar panel	96
power source: solar power	96
source of power: electricity	96
powered by: electricity	96
operates on: electricity	96
power source: electricity	96
power source: electricity grid	96
power source: electric energy	96
physical characteristics: switches	97
equipment: cables	97
management: switches	97
control: switches	97
equipment: switches	97
components: switches	97
infrastructure: switches	97
operation: switches and signals	97
equipment: cabinets	97
location: dmv center	98
location: dmv	98
location: department of motor vehicles	98
location: dmv office	98
location: main level	99
settings: office	99
location: at home	99
location: room	99
location: office	99
location: in home	99
location: inside	99
location: school	99
location: home	99
location: at work	99
location: supermarket	99
location: office building	99
location: living room	99
location: hotel	99
location: library	99
place: office	99
location: warehouse	99
location: offices	99
location: restaurant	99
location: shopping mall	99
location: showroom	99
location: hospital	99
location: kitchen	99
location: regional offices	100
location: local office	100
location: physical office	100
location: travel agency	100
location: headquarters	100
location: government office	100
workplace: client's location	100
location: local offices	100
location: regional office	100
location: branch offices	100
origin: refinery	101
origin: garden	101
origin: mine	101
origin: farm	101
origin: oil well	101
origin: manufacturing	101
origin: mechanical	101
origin: coast guard	101
origin: mines	101
origin: warehouse	101
origin: oil field	101
origin: brain	101
origin: factory	101
origin: farms	101
origin: factories	101
origin: artificial	101
origin: quarries	101
location: racing track	102
location: car dealership	102
location: car wash	102
location: car manufacturer	102
location: engineering workshop	102
location: in a factory	102
location: factory floor	102
location: aircraft factory	102
location: car showroom	102
location: car factory	102
location: car show	102
location: factory	102
infrastructure: warehousing	103
logistics services: warehousing	103
services offered: warehousing	103
services: warehousing	103
infrastructure: warehousing facilities	103
services: storage and warehousing	103
service: warehousing	103
used for: warehousing inventory	104
found in: distribution centers	104
related to: warehousing	104
used in: warehousing	104
used in: warehouses	104
used for: warehousing	104
application: warehousing	104
used by: warehousing	104
equipment: warehouses	104
used in: warehouse	104
used by: warehouse manager	104
related concepts: warehousing	104
used in: distribution centers	104
practices: warehousing	105
operations: warehouses	105
environment: warehouses	105
process: warehousing	105
function: warehousing	105
structure: warehouses	105
purpose: warehousing	105
features: warehousing facilities	105
methods: warehousing	105
features: warehousing space	105
activities: warehousing	105
features: warehousing	105
features: warehouses	105
method: warehousing	105
types: warehousing	105
usage: warehousing	105
scope: warehousing	105
responsibility: warehousing	105
operations: warehousing	105
specializations: warehousing	105
functions: warehousing	105
uses: jet fuel	106
types: jet fuel	106
products derived: jet fuel	106
examples: kerosene	106
common types: jet fuel	106
examples: jet fuel	106
common forms: jet fuel	106
type: jet fuel	106
common examples: jet fuel	106
forms: jet fuel	106
examples: paint thinner	106
function: illumination	107
function: generate power	107
function: calculates position	107
function: commute	107
function: reclaim land	107
function: collect data	107
function: generates power	107
function: transfer power	107
function: generate lift-off	107
function: security check	107
function: testing car weight	107
function: battle	107
function: display flag	107
function: displaying colors	107
generated by: electrical generators	108
purpose: generates electricity	108
usage: generates electricity	108
purpose: generate electricity	108
function: produces electricity	108
usage: generating electricity	108
function: generate electricity	108
uses: generating electricity	108
function: generates electricity	108
use: generating electricity	108
purpose: generating electricity	108
use: generates electricity	108
purpose: generate power	108
used for: energy generation	109
used for: generating power	109
used for: generating energy	109
used for: power generation	109
used in: power generation	109
used for: energy production	109
used in: electricity generation	109
uses: electricity generation	109
components: conversion facilities	109
used for: energy	109
derived from: fossil fuels	109
storage: used in power plants	109
uses: energy production	109
used for: generating electricity	109
associated with: electricity generation	109
production process: crude oil	110
origin: crude oil	110
production: from crude oil	110
example: crude oil	110
production method: refining from crude oil	110
production: refining crude oil	110
production process: extraction from crude oil	110
production process: cracking	110
production method: refining crude oil	110
production process: refining crude oil	110
production method: hydrotreating	110
function: refining oil	110
production: from refined oil	110
production process: hydrotreating	110
used for: candles	111
used for: drilling oil	111
used for: making cement	111
used for: importing oil	111
used for: refining oil	111
used for: refining	111
used for: calculating oil reserves	111
use: oil refining	111
used for: extracting resources	111
used for: oil drilling	111
used for: supporting oil extraction	111
formed through: fermentation	111
found in: petrochemical plants	111
used for: making steel	111
used for: resource extraction	111
formed through: photosynthesis	111
used for: extracting minerals	111
purpose: refined products	111
found in: oil refinery	111
found in: oil refineries	111
used for: refining petroleum	111
production: processing	112
production process: processing	112
processing: refining	112
production: recycling	112
function: refined products	112
production method: extracting	112
production method: processing	112
production process: refining	112
production method: refining	112
production: extraction	112
production: refining	112
identification: culturing	112
common applications: refining	112
type: heavy-lift vessel	113
type: heavy-duty vessel	113
type: heavy-lift crane	113
type: heavy-lift	113
type: heavy-lift ship	113
characteristics: smaller than a regular container ship	114
size comparison: larger than a standard container ship	114
size: larger than a yacht	114
capacity: less than a full container ship	114
size: smaller than a full container ship	114
function: carry containers	115
function: supply oil	115
function: carry ore	115
function: ship railcars	115
function: ship vehicles	115
functions: registering new ships	115
function: deliver cargo	115
function: move cargo	115
function: seal compartment	115
function: moving containers	115
function: receive cargo	115
function: ship cargo	115
function: store cargo	115
function: book cargo	115
role: ship items	115
function: ship containers	115
function: ship goods	115
functions: finding cargo	115
function: receiving cargo ships	115
type: cargo carrier	116
type: marine vessel	116
type: oil tanker	116
type: tanker	116
type: transport vessel	116
vessel: tanker	116
type: seafaring vessel	116
type: freight ship	116
type: bulk carrier	116
type: container vessel	116
type: freight vessel	116
type: exploration ship	116
type: cargo vessel	116
type: expedition ship	116
type: large cargo vessel	116
type: shipping vessel	116
type: freighter	116
type: large cargo ship	116
type: general cargo vessel	116
type: industrial ship	116
type: commercial vessel	116
type: fishing vessel	116
type: commercial ship	116
type: cargo ship	116
type: luxury vessel	116
type: cruise ship	116
type: merchant ship	116
vehicle type: ship	116
type: container ship	116
type: passenger vessel	116
type: merchant vessel	116
function: transporting iron ore	117
purpose: transporting ore	117
usage: transporting raw materials	117
function: transporting ore	117
function: transporting grains	117
function: carrying minerals	117
function: transporting coal	117
function: moving minerals	117
function: transporting minerals	117
function: transport minerals	117
purpose: transporting minerals	117
features: holds large amounts of ore	117
used for: transporting minerals	117
properties: strong	118
properties: dry	118
properties: bulky	118
properties: reactive	118
features: strength	118
properties: rapid	118
properties: fast	118
properties: fragile	118
properties: hard	118
properties: cold	118
properties: rigid	118
properties: soft	118
properties: growing	118
properties: strength	118
properties: portable	118
properties: dying	118
properties: secure	118
properties: sustainable	118
properties: comprehensive	118
properties: warm	118
properties: slow	118
flexibility: rigid	119
strength: fragile	119
strength: weak	119
strength: strong	119
properties: has a union	120
properties: has elements	120
properties: has a set of rules	120
properties: has a membership	120
properties: has members	120
properties: has a value	120
properties: has a member	120
properties: has a set of elements	120
characteristic: high-capacity	121
properties: high volume	121
characteristics: high volume	121
performance: long lifespan	121
characteristics: capable of heavy loads	121
characteristics: high-power output	121
