concept	facet	property
railway junction	purpose	switching trains
railway junction	purpose	connecting routes
railway junction	purpose	transferring cargo
railway junction	features	tracks
railway junction	features	platforms
railway junction	features	signal systems
railway junction	importance	strategic
railway junction	importance	commercial
railway junction	importance	logistical
railway junction	maintenance	regular
railway junction	maintenance	infrequent
railway junction	maintenance	dependent on usage
flight deck	location	aircraft
flight deck	location	airplane
flight deck	location	aircraft carrier
flight deck	function	takeoff
flight deck	function	landing
flight deck	function	aircraft operation
flight deck	features	runway
flight deck	features	tarmac
flight deck	features	control tower
flight deck	safety features	warning lights
flight deck	safety features	caution signs
flight deck	safety features	emergency response
flight deck	equipment	aircraft instruments
flight deck	equipment	navigation systems
flight deck	equipment	communication devices
flight deck	crew roles	pilot
flight deck	crew roles	co-pilot
flight deck	crew roles	air traffic controller
flight deck	regulations	aviation laws
flight deck	regulations	safety protocols
flight deck	regulations	standard operating procedures
spine car	category	mode of transportation
spine car	category	train
spine car	category	railway vehicle
spine car	design	long and slender
spine car	design	covered in steel
spine car	design	multiple cars connected
spine car	function	carry passengers
spine car	function	carry freight
spine car	function	connect cities
spine car	speed	up to 300 km/h
spine car	speed	dependent on track condition
spine car	used for	daily commute
spine car	used for	long-distance travel
spine car	used for	goods transportation
spine car	located at	railway station
spine car	located at	railway yard
spine car	located at	tracks
tractor trailer	type	large truck
tractor trailer	type	semi-trailer
tractor trailer	type	transportation vehicle
tractor trailer	size	long
tractor trailer	size	heavy
tractor trailer	size	large
tractor trailer	function	transport goods
tractor trailer	function	hauled by tractor
tractor trailer	function	long-distance hauling
tractor trailer	component	tractor unit
tractor trailer	component	trailer
tractor trailer	component	cargo
tractor trailer	component	engine
tractor trailer	operational context	highway
tractor trailer	operational context	freight transport
tractor trailer	operational context	commerce
tractor trailer	operational context	logistics
tractor trailer	features	multiple axles
tractor trailer	features	large wheels
tractor trailer	features	air brakes
tractor trailer	features	gps tracking
crew list	type	employee
crew list	type	worker
crew list	type	team member
crew list	function	pilot
crew list	function	co-pilot
crew list	function	engineer
crew list	function	cabin crew
crew list	responsibility	operating aircraft
crew list	responsibility	maintaining equipment
crew list	responsibility	serving passengers
crew list	responsibility	ensuring safety
crew list	location	aircraft
crew list	location	airport
crew list	location	hangar
crew list	location	office
crew list	role	leader
crew list	role	team member
crew list	role	supervisor
crew list	credentials	licensing
crew list	credentials	certification
crew list	credentials	training
crew list	credentials	experience
ship hold	part of	ship
ship hold	part of	boat
ship hold	function	storage
ship hold	function	cargo
ship hold	shape	rectangular
ship hold	shape	compartmentalized
ship hold	capacity	large
ship hold	capacity	voluminous
ship hold	access	via hatch
ship hold	access	through cargo door
ship hold	used for	storing goods
ship hold	used for	loading cargo
ship hold	used for	unloading cargo
ship hold	found in	merchant ship
ship hold	found in	tanker
ship hold	found in	container ship
radar or sonar	technology	electromagnetic
radar or sonar	technology	acoustic
radar or sonar	function	detection
radar or sonar	function	location
radar or sonar	function	tracking
radar or sonar	application	aviation
radar or sonar	application	naval
radar or sonar	application	weather forecasting
radar or sonar	application	military
radar or sonar	principle	reflection
radar or sonar	principle	echo
radar or sonar	components	antenna
radar or sonar	components	transmitter
radar or sonar	components	receiver
radar or sonar	components	processor
radar or sonar	range	short
radar or sonar	range	long
radar or sonar	resolution	low
radar or sonar	resolution	high
radar or sonar	usage	weather monitoring
radar or sonar	usage	air traffic control
radar or sonar	usage	naval surveillance
air traffic control tower	function	directing air traffic
air traffic control tower	function	ensuring safe takeoff and landing
air traffic control tower	height	tall structure
air traffic control tower	location	airport
air traffic control tower	location	near runway
air traffic control tower	equipment	radar
air traffic control tower	equipment	communication systems
air traffic control tower	staff	controllers
air traffic control tower	staff	air traffic controllers
air traffic control tower	responsibilities	aircraft safety
air traffic control tower	responsibilities	traffic flow management
air traffic control tower	structure	steel or concrete
fishing boat	type	vessel
fishing boat	type	watercraft
fishing boat	type	boat
fishing boat	purpose	fishing
fishing boat	purpose	recreational
fishing boat	purpose	commercial
fishing boat	size	large
fishing boat	size	small
fishing boat	size	medium
fishing boat	material	wood
fishing boat	material	metal
fishing boat	material	fiberglass
fishing boat	features	engine
fishing boat	features	railing
fishing boat	features	nets
fishing boat	features	tackle
fishing boat	location	ocean
fishing boat	location	lake
fishing boat	location	river
fishing boat	location	port
fishing boat	crew	few
fishing boat	crew	many
fishing boat	crew	single
contract carrier	type	transportation company
contract carrier	type	freight forwarder
contract carrier	role	moves goods
contract carrier	role	ships products
contract carrier	mode	air
contract carrier	mode	land
contract carrier	mode	sea
contract carrier	services	logistics
contract carrier	services	warehousing
contract carrier	services	distribution
contract carrier	responsibilities	ensures delivery
contract carrier	responsibilities	tracks packages
contract carrier	responsibilities	handles claims
contract carrier	industry	transportation
contract carrier	industry	logistics
contract carrier	industry	supply chain
airport classification	category	icao
airport classification	category	iata
airport classification	category	civil aviation
airport classification	size	small
airport classification	size	medium
airport classification	size	large
airport classification	size	hub
airport classification	size	focus city
airport classification	traffic	low
airport classification	traffic	medium
airport classification	traffic	high
airport classification	traffic	major
airport classification	traffic	busiest
airport classification	function	commercial
airport classification	function	military
airport classification	function	private
airport classification	function	general aviation
airport classification	facilities	runway
airport classification	facilities	terminal
airport classification	facilities	hangar
airport classification	facilities	control tower
airport classification	management	public
airport classification	management	private
airport classification	management	government
airport classification	management	authority
crane ship	function	lifting heavy loads
crane ship	function	offshore construction
crane ship	function	oil rig maintenance
crane ship	structure	large vessel
crane ship	structure	heavy lifting equipment
crane ship	structure	multiple cranes
crane ship	use	oil and gas industry
crane ship	use	construction industry
crane ship	use	maritime industry
crane ship	size	large
crane ship	size	heavy
crane ship	size	complex
crane ship	location	offshore
crane ship	location	port
crane ship	location	coastal area
crane ship	purpose	lifting and transporting
crane ship	purpose	construction and maintenance
crane ship	purpose	supporting industries
arriving	action	come
arriving	action	reach
arriving	action	get to
arriving	place	destination
arriving	place	location
arriving	place	spot
arriving	time	soon
arriving	time	later
arriving	time	now
arriving	transportation	by car
arriving	transportation	by plane
arriving	transportation	by train
arriving	purpose	visit
arriving	purpose	attend
arriving	purpose	deliver
arriving	status	expected
arriving	status	delayed
arriving	status	early
multiple track railway	type	railway infrastructure
multiple track railway	type	transportation system
multiple track railway	number of tracks	two or more
multiple track railway	function	separate multiple trains
multiple track railway	function	increase capacity
multiple track railway	function	improve safety
multiple track railway	used for	passenger transport
multiple track railway	used for	freight transport
multiple track railway	used for	commuting
multiple track railway	characteristics	flexible
multiple track railway	characteristics	adaptable
multiple track railway	advantages	increased capacity
multiple track railway	advantages	reduced congestion
multiple track railway	advantages	improved safety
multiple track railway	disadvantages	higher cost
multiple track railway	disadvantages	complex engineering
water transportation system	mode	ship
water transportation system	mode	boat
water transportation system	mode	barge
water transportation system	mode	canal
water transportation system	mode	lock
water transportation system	purpose	moving goods
water transportation system	purpose	passenger transport
water transportation system	purpose	recreational use
water transportation system	environmental impact	pollution
water transportation system	environmental impact	habitat destruction
water transportation system	infrastructure	harbor
water transportation system	infrastructure	port
water transportation system	infrastructure	dock
water transportation system	infrastructure	canal network
water transportation system	efficiency	energy consumption
water transportation system	efficiency	speed
water transportation system	efficiency	capacity
water transportation system	types of vessels	freighter
water transportation system	types of vessels	passenger liner
water transportation system	types of vessels	ferry
water transportation system	types of vessels	yacht
water transportation system	types of vessels	sailboat
common carrier	definition	transportation service
common carrier	definition	public utility
common carrier	definition	provider of public transportation
common carrier	mode of transportation	air
common carrier	mode of transportation	land
common carrier	mode of transportation	sea
common carrier	mode of transportation	rail
common carrier	responsibilities	safety
common carrier	responsibilities	security
common carrier	responsibilities	fairness
common carrier	responsibilities	liability
common carrier	regulations	government oversight
common carrier	regulations	licensing
common carrier	regulations	safety standards
common carrier	examples	airlines
common carrier	examples	shipping companies
common carrier	examples	bus companies
common carrier	examples	railroads
common carrier	services	transportation
common carrier	services	storage
common carrier	services	logistics
common carrier	services	warehousing
containerization	definition	packing code into container
containerization	definition	isolating process
containerization	definition	portability
containerization	types	docker
containerization	types	rkt
containerization	types	lxc
containerization	advantages	portability
containerization	advantages	efficiency
containerization	advantages	security
containerization	disadvantages	complexity
containerization	disadvantages	overhead
containerization	used for	cloud computing
containerization	used for	devops
containerization	used for	microservices
containerization	industry	it
containerization	industry	software development
containerization	industry	cloud computing
flatcar	transportation	railway
flatcar	transportation	freight
flatcar	transportation	cargo
flatcar	design	open
flatcar	design	flat
flatcar	design	no sides
flatcar	usage	carrying goods
flatcar	usage	moving heavy loads
flatcar	size	varies
flatcar	size	long
flatcar	size	wide
flatcar	function	freight transport
flatcar	function	construction
flatcar	function	event
flatcar	typical load	containers
flatcar	typical load	cars
flatcar	typical load	heavy machinery
flatcar	railway usage	main line
flatcar	railway usage	branch line
flatcar	railway usage	industrial rail
electric device	function	powers
electric device	function	charges
electric device	function	communicates
electric device	shape	compact
electric device	shape	portable
electric device	shape	boxy
electric device	size	small
electric device	size	medium
electric device	size	large
electric device	material	plastic
electric device	material	metal
electric device	material	glass
electric device	power source	battery
electric device	power source	electricity
electric device	power source	rechargeable
electric device	usage	daily
electric device	usage	occasional
electric device	usage	specialized
electric device	features	screen
electric device	features	button
electric device	features	wireless
container terminal	function	handle cargo
container terminal	function	receive and dispatch containers
container terminal	location	port
container terminal	location	harbor
container terminal	location	waterfront
container terminal	equipment	cranes
container terminal	equipment	tractors
container terminal	equipment	forklifts
container terminal	operations	loading
container terminal	operations	unloading
container terminal	operations	storing
container terminal	operations	moving
container terminal	size	large
container terminal	size	complex
container terminal	importance	strategic
container terminal	importance	economic
container terminal	type	containerized
container terminal	type	bulk
container terminal	type	liquid
petroleum product	type	gasoline
petroleum product	type	diesel
petroleum product	type	jet fuel
petroleum product	type	plastic
petroleum product	uses	fuels cars
petroleum product	uses	powers airplanes
petroleum product	uses	makes plastic
petroleum product	uses	heats homes
petroleum product	properties	flammable
petroleum product	properties	toxic
petroleum product	properties	corrosive
petroleum product	origin	extracted from oil
petroleum product	origin	formed from crude oil
petroleum product	forms	liquid
petroleum product	forms	gas
petroleum product	forms	solid
petroleum product	industry	oil refining
petroleum product	industry	petrochemical
petroleum product	industry	aviation
petroleum product	environmental impact	contributes to climate change
petroleum product	environmental impact	pollutes air and water
ore carrier ship	type	vessel
ore carrier ship	type	freighter
ore carrier ship	function	transporting ore
ore carrier ship	function	carrying cargo
ore carrier ship	size	large
ore carrier ship	size	massive
ore carrier ship	structure	steel hull
ore carrier ship	structure	heavy machinery
ore carrier ship	operating conditions	open waters
ore carrier ship	operating conditions	harsh weather
ore carrier ship	speed	slow
ore carrier ship	speed	relatively fast
ore carrier ship	used for	mining industry
ore carrier ship	used for	economic trade
ore carrier ship	characteristics	heavy
ore carrier ship	characteristics	powerful
ore carrier ship	characteristics	long
set	definition	collection of unique items
set	definition	group of objects
set	properties	finite
set	properties	infinite
set	operations	union
set	operations	intersection
set	operations	difference
set	types	finite set
set	types	infinite set
set	types	empty set
set	types	universal set
set	uses	mathematics
set	uses	computer science
set	uses	data analysis
set	characteristics	unordered
set	characteristics	ordered
set	relations	subset
set	relations	superset
set	relations	equal
ship berthing	function	docking
ship berthing	function	mooring
ship berthing	function	anchoring
ship berthing	location	port
ship berthing	location	harbor
ship berthing	location	dock
ship berthing	type	fixed
ship berthing	type	floating
ship berthing	type	buoy
ship berthing	structure	pier
ship berthing	structure	quay
ship berthing	structure	wharf
ship berthing	security	mooring lines
ship berthing	security	fenders
ship berthing	security	tugboats
ship berthing	operation	manual
ship berthing	operation	mechanized
ship berthing	operation	computerized
transportation authority	type	government
transportation authority	type	regulatory body
transportation authority	responsibility	regulating traffic
transportation authority	responsibility	maintaining roads
transportation authority	responsibility	issuing licenses
transportation authority	scope	local
transportation authority	scope	national
transportation authority	scope	international
transportation authority	function	planning
transportation authority	function	building
transportation authority	function	operating
transportation authority	jurisdiction	city
transportation authority	jurisdiction	state
transportation authority	jurisdiction	country
transportation authority	authority level	high
transportation authority	authority level	medium
transportation authority	authority level	low
transportation authority	regulations	traffic rules
transportation authority	regulations	licensing regulations
transportation authority	regulations	safety standards
cargo handling	process	loading
cargo handling	process	unloading
cargo handling	process	transporting
cargo handling	process	storing
cargo handling	mode	air
cargo handling	mode	sea
cargo handling	mode	land
cargo handling	mode	rail
cargo handling	equipment	cranes
cargo handling	equipment	forklifts
cargo handling	equipment	containers
cargo handling	equipment	trailers
cargo handling	industry	logistics
cargo handling	industry	shipping
cargo handling	industry	warehousing
cargo handling	industry	manufacturing
cargo handling	location	port
cargo handling	location	airport
cargo handling	location	warehouse
cargo handling	location	factory
cargo handling	responsibility	shipper
cargo handling	responsibility	carrier
cargo handling	responsibility	receiver
cargo handling	responsibility	logistics provider
general cargo ship	type	vessel
general cargo ship	type	transportation
general cargo ship	size	large
general cargo ship	size	medium
general cargo ship	size	small
general cargo ship	purpose	carrying goods
general cargo ship	purpose	shipping
general cargo ship	purpose	trade
general cargo ship	features	hatches
general cargo ship	features	cranes
general cargo ship	features	holds
general cargo ship	used for	moving goods
general cargo ship	used for	supply chain
general cargo ship	used for	international trade
general cargo ship	operations	loading
general cargo ship	operations	unloading
general cargo ship	operations	navigation
general cargo ship	location	ports
general cargo ship	location	oceans
general cargo ship	location	seas
volume measure	unit	cubic meter
volume measure	unit	litre
volume measure	unit	gallon
volume measure	unit	ounce
volume measure	used for	measuring liquids
volume measure	used for	measuring solids
volume measure	used for	calculating capacity
volume measure	dimension	length cubed
volume measure	conversion	can be converted to weight
volume measure	conversion	dependent on density
volume measure	common examples	bathtub
volume measure	common examples	swimming pool
volume measure	common examples	water bottle
glider airplane	type	aircraft
glider airplane	type	recreational
glider airplane	type	non-powered
glider airplane	design	wing-shaped
glider airplane	design	lightweight
glider airplane	design	streamlined
glider airplane	operation	no engine
glider airplane	operation	pilot-powered
glider airplane	operation	dependent on wind
glider airplane	use	recreational flying
glider airplane	use	training
glider airplane	use	research
glider airplane	features	ailerons
glider airplane	features	elevators
glider airplane	features	rudder
glider airplane	characteristics	silent
glider airplane	characteristics	slow
glider airplane	characteristics	stable
glider airplane	purpose	entertainment
glider airplane	purpose	education
glider airplane	purpose	scientific study
intentional process	type	thought
intentional process	type	action
intentional process	type	goal
intentional process	purpose	to achieve something
intentional process	purpose	to accomplish a task
intentional process	purpose	to solve a problem
intentional process	characteristics	deliberate
intentional process	characteristics	conscious
intentional process	characteristics	purposive
intentional process	elements	goal
intentional process	elements	means
intentional process	elements	motivation
intentional process	features	planning
intentional process	features	execution
intentional process	features	evaluation
intentional process	scope	personal
intentional process	scope	social
intentional process	scope	professional
train assembly	component	locomotive
train assembly	component	carriage
train assembly	component	wagon
train assembly	component	engine
train assembly	function	transportation
train assembly	function	freight
train assembly	function	passenger
train assembly	size	large
train assembly	size	long
train assembly	speed	fast
train assembly	speed	high
train assembly	material	steel
train assembly	material	metal
train assembly	material	iron
train assembly	used for	moving goods
train assembly	used for	carrying people
train assembly	used for	tourist ride
train assembly	operated by	driver
train assembly	operated by	conductor
train assembly	operated by	engineer
train assembly	operated by	mechanic
partial container ship	type	vessel
partial container ship	type	cargo ship
partial container ship	function	transporting
partial container ship	function	storing
partial container ship	function	transshipping
partial container ship	size	medium
partial container ship	size	small
partial container ship	size	specialized
partial container ship	features	refrigerated
partial container ship	features	temperature controlled
partial container ship	features	secure
partial container ship	usage	shipping
partial container ship	usage	logistics
partial container ship	usage	supply chain
partial container ship	advantages	cost-effective
partial container ship	advantages	environmentally friendly
partial container ship	advantages	flexible
partial container ship	disadvantages	limited capacity
partial container ship	disadvantages	weather dependent
partial container ship	disadvantages	vulnerable to piracy
regulatory process	purpose	enforcing rules
regulatory process	purpose	maintaining order
regulatory process	purpose	ensuring safety
regulatory process	steps	planning
regulatory process	steps	implementation
regulatory process	steps	monitoring
regulatory process	steps	evaluation
regulatory process	actors	government
regulatory process	actors	bureaucracy
regulatory process	actors	enforcement agencies
regulatory process	scope	national
regulatory process	scope	local
regulatory process	scope	international
regulatory process	types	legislative
regulatory process	types	executive
regulatory process	types	judicial
regulatory process	mechanisms	laws
regulatory process	mechanisms	regulations
regulatory process	mechanisms	standards
regulatory process	mechanisms	compliance
regulatory process	goals	public health
regulatory process	goals	environmental protection
regulatory process	goals	consumer protection
emergency vehicle	type	ambulance
emergency vehicle	type	fire truck
emergency vehicle	type	police car
emergency vehicle	type	rescue vehicle
emergency vehicle	function	medical transport
emergency vehicle	function	firefighting
emergency vehicle	function	law enforcement
emergency vehicle	function	rescue operations
emergency vehicle	features	siren
emergency vehicle	features	lights
emergency vehicle	features	communication equipment
emergency vehicle	features	medical equipment
emergency vehicle	size	large
emergency vehicle	size	small
emergency vehicle	size	medium
emergency vehicle	location	hospital
emergency vehicle	location	fire station
emergency vehicle	location	police station
emergency vehicle	location	disaster area
emergency vehicle	crew	paramedics
emergency vehicle	crew	firefighters
emergency vehicle	crew	police officers
emergency vehicle	crew	rescue team
traffic signal	function	regulate traffic flow
traffic signal	function	direct traffic
traffic signal	function	control traffic
traffic signal	colors	red
traffic signal	colors	yellow
traffic signal	colors	green
traffic signal	physical appearance	tower-like structure
traffic signal	physical appearance	light-emitting device
traffic signal	physical appearance	mounted on a pole
traffic signal	purpose	safety
traffic signal	purpose	order
traffic signal	purpose	traffic management
traffic signal	location	roads
traffic signal	location	intersections
traffic signal	location	highways
traffic signal	operation	electronic
traffic signal	operation	mechanical
traffic signal	operation	manual
ship deck	function	platform
ship deck	function	walking surface
ship deck	function	observation area
ship deck	material	wood
ship deck	material	metal
ship deck	material	steel
ship deck	location	top
ship deck	location	middle
ship deck	location	bottom
ship deck	size	large
ship deck	size	small
ship deck	size	narrow
ship deck	purpose	sailing
ship deck	purpose	anchoring
ship deck	purpose	loading
ship deck	structure	flat
ship deck	structure	angled
ship deck	structure	curved
ship deck	features	rails
ship deck	features	ladders
ship deck	features	hatches
propeller airplane	type	aircraft
propeller airplane	type	single-engine
propeller airplane	type	small plane
propeller airplane	propulsion	propeller
propeller airplane	propulsion	piston engine
propeller airplane	speed	medium
propeller airplane	speed	less than 200 mph
propeller airplane	range	long
propeller airplane	range	thousands of miles
propeller airplane	usage	recreational
propeller airplane	usage	agricultural
propeller airplane	usage	military
propeller airplane	usage	general aviation
propeller airplane	features	open cockpit
propeller airplane	features	fixed landing gear
propeller airplane	features	small wingspan
propeller airplane	history	early aviation
propeller airplane	history	wwii
propeller airplane	history	post-war development
propeller airplane	design	simple
propeller airplane	design	efficient
propeller airplane	design	low-cost
watercraft	type	boat
watercraft	type	ship
watercraft	type	yacht
watercraft	type	canoe
watercraft	type	raft
watercraft	size	small
watercraft	size	large
watercraft	material	wood
watercraft	material	metal
watercraft	material	plastic
watercraft	material	fiberglass
watercraft	propulsion	sail
watercraft	propulsion	motor
watercraft	propulsion	oar
watercraft	propulsion	paddle
watercraft	used for	recreation
watercraft	used for	fishing
watercraft	used for	transportation
watercraft	used for	sailing
watercraft	features	cabins
watercraft	features	engines
watercraft	features	anchors
watercraft	features	life jackets
land area	dimension	square
land area	dimension	cubic
land area	measurement unit	hectare
land area	measurement unit	square mile
land area	measurement unit	square kilometer
land area	location	earth
land area	location	planet
land area	location	continent
land area	location	country
land area	location	city
land area	natural feature	mountain range
land area	natural feature	valley
land area	natural feature	plateau
land area	natural feature	desert
land area	human impact	urbanization
land area	human impact	deforestation
land area	human impact	agriculture
land area	use	residential
land area	use	commercial
land area	use	industrial
land area	use	recreational
emergency road vehicle	type	ambulance
emergency road vehicle	type	fire truck
emergency road vehicle	type	police car
emergency road vehicle	function	medical transport
emergency road vehicle	function	firefighting
emergency road vehicle	function	law enforcement
emergency road vehicle	speed	high speed
emergency road vehicle	speed	fast response
emergency road vehicle	equipment	medical supplies
emergency road vehicle	equipment	fire hoses
emergency road vehicle	equipment	lights and sirens
emergency road vehicle	driver	trained professionals
emergency road vehicle	driver	emergency responders
emergency road vehicle	used for	medical emergencies
emergency road vehicle	used for	firefighting
emergency road vehicle	used for	law enforcement
taking off	mode of transportation	airplane
taking off	mode of transportation	rocket
taking off	mode of transportation	spaceship
taking off	location	airport
taking off	location	runway
taking off	location	spaceport
taking off	process	ascending
taking off	process	lifting off
taking off	process	gaining altitude
taking off	speed	fast
taking off	speed	rapid
taking off	speed	high
taking off	related actions	landing
taking off	related actions	descending
taking off	related actions	touching down
taking off	associated emotions	excitement
taking off	associated emotions	anticipation
taking off	associated emotions	relief
navigation	method	gps
navigation	method	map
navigation	method	compass
navigation	method	directions
navigation	purpose	finding way
navigation	purpose	getting lost
navigation	purpose	traveling
navigation	purpose	exploring
navigation	device	phone
navigation	device	watch
navigation	device	car
navigation	device	ship
navigation	feature	turn-by-turn directions
navigation	feature	route planning
navigation	feature	waypoint
navigation	feature	orientation
navigation	skill	direction sense
navigation	skill	map reading
navigation	skill	route memory
navigation	environment	land
navigation	environment	sea
navigation	environment	air
navigation	environment	space
minivan	type	vehicle
minivan	type	family car
minivan	size	large
minivan	size	roomy
minivan	features	sliding doors
minivan	features	captain's chairs
minivan	features	storage compartments
minivan	seating capacity	up to 7 people
minivan	seating capacity	up to 8 people
minivan	used for	family transportation
minivan	used for	road trips
minivan	used for	daily errands
minivan	target audience	families
minivan	target audience	soccer teams
minivan	target audience	elderly people
ship cabin	type	accommodation
ship cabin	type	room
ship cabin	type	quarters
ship cabin	features	bed
ship cabin	features	desk
ship cabin	features	wardrobe
ship cabin	features	bathroom
ship cabin	features	shower
ship cabin	features	toilet
ship cabin	size	small
ship cabin	size	medium
ship cabin	size	large
ship cabin	layout	single room
ship cabin	layout	multi-room
ship cabin	amenities	air conditioning
ship cabin	amenities	tv
ship cabin	amenities	mini-bar
ship cabin	amenities	coffee maker
ship cabin	location	deck
ship cabin	location	hull
ship cabin	location	midship
ship cabin	location	bow
ship cabin	purpose	residence
ship cabin	purpose	office
ship cabin	purpose	storage
ship cabin	purpose	entertainment
offshore support ship	function	providing supplies
offshore support ship	function	offshore oil and gas operations
offshore support ship	function	support services
offshore support ship	size	large
offshore support ship	size	mid-sized
offshore support ship	design	sturdy
offshore support ship	design	sea-going
offshore support ship	cargocarrying capacity	heavy
offshore support ship	cargocarrying capacity	medium
offshore support ship	cargocarrying capacity	light
offshore support ship	propulsion	diesel
offshore support ship	propulsion	gas turbine
offshore support ship	used for	supporting offshore oil rigs
offshore support ship	used for	providing supplies
offshore support ship	used for	accommodating personnel
offshore support ship	located at	offshore oil and gas fields
offshore support ship	located at	port
offshore support ship	located at	sea
vehicle wheel	function	supports vehicle
vehicle wheel	function	provides traction
vehicle wheel	function	distributes weight
vehicle wheel	component	rim
vehicle wheel	component	tire
vehicle wheel	component	hubcap
vehicle wheel	component	spoke
vehicle wheel	material	metal
vehicle wheel	material	rubber
vehicle wheel	material	plastic
vehicle wheel	shape	round
vehicle wheel	shape	circular
vehicle wheel	size	varies by vehicle
vehicle wheel	used for	driving
vehicle wheel	used for	steering
vehicle wheel	used for	braking
vehicle wheel	located at	vehicle
vehicle wheel	located at	road
vehicle wheel	located at	garage
vehicle wheel	located at	repair shop
traffic control process	goal	safely direct traffic
traffic control process	goal	minimize congestion
traffic control process	actors	traffic police
traffic control process	actors	traffic lights
traffic control process	actors	road signs
traffic control process	actors	drivers
traffic control process	mechanisms	stop signs
traffic control process	mechanisms	traffic lights
traffic control process	mechanisms	yield signs
traffic control process	mechanisms	roundabouts
traffic control process	rules	right-of-way
traffic control process	rules	speed limits
traffic control process	rules	no-left-turn
traffic control process	environment	urban areas
traffic control process	environment	highways
traffic control process	environment	rural areas
traffic control process	environment	construction zones
traffic control process	evaluation criteria	safety
traffic control process	evaluation criteria	efficiency
traffic control process	evaluation criteria	convenience
traffic control process	control types	manual
traffic control process	control types	automatic
traffic control process	control types	hybrid
major air carrier	type	commercial
major air carrier	type	international
major air carrier	services	flights
major air carrier	services	booking
major air carrier	services	check-in
major air carrier	fleet	airplanes
major air carrier	fleet	planes
major air carrier	fleet	jets
major air carrier	routes	domestic
major air carrier	routes	international
major air carrier	routes	global
major air carrier	facilities	airport
major air carrier	facilities	terminal
major air carrier	facilities	hangar
major air carrier	employees	pilots
major air carrier	employees	flight attendants
major air carrier	employees	ground staff
air route	type	commercial
air route	type	private
air route	type	military
air route	distance	long-haul
air route	distance	short-haul
air route	frequency	daily
air route	frequency	weekly
air route	frequency	monthly
air route	aircraft type	jet
air route	aircraft type	propeller
air route	aircraft type	helicopter
air route	route map	charted
air route	route map	uncharted
air route	purpose	passenger transport
air route	purpose	cargo transport
air route	purpose	military operation
air route	duration	short
air route	duration	long
air route	schedule	fixed
air route	schedule	variable
deepwater port	function	shipping
deepwater port	function	export
deepwater port	function	import
deepwater port	function	trade
deepwater port	location	coastal area
deepwater port	location	near ocean
