	0	1
185	purpose: identification	23
186	purpose: organization	24
187	purpose: logistics	198
188	format: written	25
189	format: digital	518
190	format: printed	25
191	content: names	2457
192	content: positions	616
193	content: contact information	2054
194	source: official document	173
195	source: manual	890
196	source: database	26
197	use case: scheduling	27
198	use case: communication	390
199	use case: planning	28
200	related to: ship	617
201	related to: aircraft	1515
202	related to: spacecraft	1859
203	example of: crew manifest	2638
204	example of: flight plan	1869
205	example of: schedule	29
206	purpose: storing cargo	30
207	purpose: protecting cargo	415
208	size: capacity	2468
209	design: watertight	31
210	design: secured	1172
211	material: steel	22
212	material: aluminum	1614
213	location: lower deck	1825
214	location: main deck	1825
215	functions: loading	880
216	functions: unloading	881
217	functions: storing	263
218	types: dry cargo	1491
219	types: reefer	2937
220	types: tanker	11
221	purpose: detecting objects	257
222	purpose: tracking movement	587
223	purpose: predicting weather	2323
224	technology: radio waves	32
225	technology: microwaves	794
226	technology: antennas	34
227	components: transmitter	33
228	components: receiver	1164
229	components: antenna	34
230	range: long-range	569
231	range: short-range	569
232	uses: aviation	1029
233	uses: weather forecasting	2323
234	uses: military	872
235	sonar: uses sound waves	1323
236	sonar: works underwater	1323
237	sonar: used in submarines	1323
238	function: directing aircraft	3012
239	function: ensuring safe takeoff	1303
240	function: landing	621
241	function: air traffic management	1897
242	location: runway	694
243	location: control zone	412
244	equipment: radar	35
245	equipment: communication systems	368
246	equipment: computer systems	2925
247	staff: controllers	2257
248	staff: managers	1908
249	staff: technicians	2302
250	responsibility: aircraft safety	766
251	responsibility: air traffic flow	1304
252	responsibility: air traffic efficiency	1304
253	physical structure: tall building	2113
254	physical structure: antenna array	34
255	physical structure: radome	1089
256	type: watercraft	2767
257	type: marine vehicle	168
258	purpose: fishing	1349
259	purpose: recreational	345
260	size: medium	1622
261	design: flat	1436
262	design: curved	174
263	design: angular	36
264	material: wood	37
265	material: metal	8
266	material: composite	38
267	features: engine	2685
268	features: railing	39
269	features: cabin	40
270	features: anchor	597
271	operation: manual	41
272	operation: mechanized	2423
273	operation: electric	517
274	location: ocean	206
275	location: port	113
276	type: trucking	337
277	type: shipping	1995
278	type: delivery	426
279	responsibility: moving goods	420
280	responsibility: providing delivery services	1911
281	services: freight transportation	2222
282	services: warehousing	61
283	services: inventory management	2123
284	business model: third-party logistics	2573
285	business model: asset-based carrier	1760
286	regulation: federal regulations	2718
287	regulation: licensing requirements	54
288	equipment: trucks	1414
289	equipment: trailers	1409
290	equipment: warehouses	324
291	type: international	109
292	type: domestic	829
293	type: military	2484
294	size: hub	2587
295	purpose: commercial	494
296	purpose: military	1065
297	purpose: general aviation	2458
298	facilities: runways	2958
299	facilities: terminals	1146
300	facilities: hangars	1091
301	traffic: high	42
302	traffic: medium	42
303	traffic: low	42
304	services: check-in	771
305	services: security	770
306	services: baggage claim	43
307	regulation: icao	422
308	regulation: faa	423
309	regulation: eu	657
310	type: heavy-lift	531
311	type: offshore	1333
312	type: construction	1447
313	function: lifting	1563
314	function: transporting	44
315	function: installing	2189
316	size: complex	1386
317	equipment: crane	567
318	equipment: winch	243
319	equipment: cable	671
320	used for: building oil rigs	2697
321	used for: constructing bridges	964
322	used for: lifting heavy loads	704
323	operated by: company	1890
324	operated by: contractor	602
325	operated by: government	45
326	location: construction site	242
327	location: destination	2389
328	method: by plane	1093
329	method: by train	1093
330	method: by bus	1093
331	method: by car	1093
332	time: on schedule	460
333	time: late	2165
334	time: early	2165
335	purpose: vacation	46
336	purpose: business trip	1703
337	purpose: visit	47
338	purpose: moving	241
339	state: tired	48
340	state: excited	486
341	state: relieved	3133
342	state: stressed	48
343	action: land	1931
344	action: arrive	1921
345	action: pull in	203
346	action: dock	541
347	structure: tracks	865
348	structure: rails	2170
349	structure: bridges	49
350	function: separate different types of trains	3056
351	function: increase capacity	1211
352	function: improve efficiency	1673
353	types of tracks: main line	2500
354	types of tracks: branch line	2500
355	types of tracks: loop line	1325
356	used for: passenger transport	2513
357	characteristics: high speed	1023
358	characteristics: low speed	3
359	characteristics: heavy haul	490
360	maintenance: regular maintenance	1986
361	maintenance: heavy maintenance	1342
362	maintenance: electronic maintenance	142
363	type: boat	50
364	type: ferry	965
365	type: canal	1371
366	type: lock	51
367	function: transport people	504
368	function: provide waterway	1347
369	structure: large	1487
370	structure: small	2
371	structure: fixed	52
372	structure: movable	53
373	operation: paddle-powered	511
374	environmental impact: pollution	2502
375	environmental impact: habitat destruction	966
376	environmental impact: noise pollution	2502
377	maintenance: regularly maintained	175
378	maintenance: infrequently maintained	175
379	maintenance: requires periodic dredging	3030
380	purpose: economic	778
381	purpose: environmental	248
382	location: canal	2243
383	definition: transportation service	3054
384	definition: public utility	2514
385	definition: public service	2414
386	examples: airline	1784
387	examples: shipping company	967
388	examples: taxi service	283
389	responsibilities: safety	1028
390	responsibilities: security	2122
391	responsibilities: liability	2453
392	regulations: licensing	54
393	regulations: safety standards	2037
394	regulations: consumer protection	2718
395	types: land	185
396	types: air	184
397	types: sea	1522
398	types: rail	2170
399	services: transportation	601
400	services: logistics	2573
401	services: delivery	426
402	services: storage	296
403	definition: process of packaging	2270
404	definition: wrapping around code	2411
405	purpose: portability	1094
406	purpose: reusability	1914
407	purpose: easier deployment	1096
408	types: docker	1768
409	types: kubernetes	1924
410	features: isolation	1072
411	features: resource management	1883
412	features: networking	1263
413	benefits: faster development	2629
414	benefits: easier maintenance	1376
415	benefits: reduced costs	323
416	used for: application deployment	2096
417	used for: serverless computing	1212
418	used for: cloud computing	1212
419	transportation: railway	2237
420	transportation: freight	2222
421	design: open	55
422	usage: carrying goods	119
423	usage: moving equipment	705
424	characteristics: large capacity	124
425	characteristics: easy loading	136
426	components: rails	2170
427	components: wheels	56
428	components: axles	56
429	industry: manufacturing	1177
430	features: non-specialized	2018
431	features: standard	2519
432	function: powers a home	1705
433	function: charges a phone	2325
434	function: heats water	1098
435	power source: electricity	57
436	power source: batteries	394
437	power source: solar power	971
438	portability: portable	1178
439	portability: stationary	1571
440	usage: daily use	2376
441	usage: industrial use	961
442	components: wires	671
443	components: circuit board	1660
444	components: switches	58
445	location: home	2753
446	location: office	59
447	location: factory	60
448	operation: plugged in	2189
449	operation: cordless	419
450	operation: rechargeable	1097
451	function: shipping	1995
452	function: warehousing	61
453	function: logistics	198
454	location: harbor	686
455	location: waterfront	215
456	equipment: cranes	567
457	equipment: tractors	1518
458	equipment: forklifts	938
459	operations: loading	880
460	operations: unloading	881
461	operations: storing	435
462	industry: maritime	1979
463	industry: trade	1177
464	features: security measures	2857
465	features: weather protection	2824
466	features: efficient workflow	968
467	type: gasoline	2223
468	type: diesel	1411
469	type: petrol	2223
470	type: jet fuel	62
471	use: fuel for vehicles	2590
472	use: heating homes	1098
473	use: generating electricity	63
474	use: making plastics	2043
475	production method: refining crude oil	64
476	production method: extracting from natural gas	3070
477	properties: flammable	542
478	properties: toxic	1735
479	properties: polluting	2202
480	location: oil refinery	646
481	location: gas station	65
482	location: power plant	2124
483	industry: energy	561
484	industry: construction	1665
485	type: cargo ship	66
486	type: bulk carrier	1549
487	type: mining vessel	169
488	function: transporting minerals	67
489	function: carrying heavy loads	531
490	size: massive	923
491	propulsion: engine-powered	3138
492	propulsion: propeller-driven	2577
493	operational area: ocean	920
494	operational area: sea	920
495	operational area: coast	920
496	used for: mining industry	2862
497	used for: construction	675
498	used for: trade	2703
499	characteristics: heavy-duty	1100
500	characteristics: strong	68
501	mathematical concept: collection	1101
502	mathematical concept: finite	1427
503	mathematical concept: unordered	1427
504	properties: has members	69
505	properties: has elements	1695
506	properties: can be empty	2231
507	operations: union	1913
508	operations: intersection	548
509	operations: difference	2424
510	applications: data analysis	1073
511	applications: computer science	627
512	applications: mathematics	1769
513	types: finite set	1427
514	types: infinite set	1427
515	types: empty set	2231
516	relationship: subset	2098
517	relationship: superset	2059
518	relationship: disjoint	2315
519	purpose: docking	1215
520	purpose: mooring	465
521	purpose: storing	263
522	location: dock	3093
523	types: fixed	1049
524	types: floating	628
525	types: anchored	123
526	security: locked	1172
527	security: guarded	1172
528	security: monitored	1172
529	operations: refueling	1313
530	regulations: compliance	1912
531	regulations: permits	901
532	regulations: inspections	638
533	type: government agency	145
534	type: regulatory body	1497
535	function: regulate traffic	70
536	function: manage public transportation	2526
537	function: enforce traffic laws	1526
538	responsibility: maintain roads	2509
539	responsibility: operate public transportation	2526
540	responsibility: issue licenses	1103
541	scope: local	1589
542	scope: regional	2215
543	scope: national	437
544	powers: set traffic rules	976
545	powers: levy taxes	191
546	powers: enforce parking regulations	1526
547	involvement: public	2860
548	involvement: private	2860
549	involvement: government	2815
550	process: loading	880
551	process: unloading	881
552	process: transportation	774
553	process: storage	263
554	mode: air	184
555	mode: land	2596
556	mode: sea	441
557	equipment: forklift	938
558	equipment: container	550
559	equipment: ship	308
560	industry: shipping	1938
561	industry: warehousing	2646
562	location: warehouse	808
563	responsibility: carrier	1144
564	responsibility: shipper	2914
565	responsibility: receiver	1373
566	responsibility: customs	3148
567	type: ocean-going	1213
568	type: merchant	1724
569	function: transporting goods	1200
570	function: carrying cargo	1901
571	design: containerized	3044
572	design: breakbulk	434
573	design: general cargo	1491
574	capacity: tons	918
575	capacity: weight	1018
576	used for: international trade	1646
577	used for: supply chain	2100
578	characteristics: slow speed	3
579	characteristics: high capacity	71
580	characteristics: flexible	1095
581	unit: cubic meter	72
582	unit: liter	72
583	unit: gallon	72
584	unit: ounce	226
585	type: linear	1578
586	type: capacity	1697
587	type: amount	387
588	measurement: measured by	493
589	measurement: measured with	493
590	measurement: measured against	493
591	application: used in	73
592	application: used for	73
593	application: used to	73
594	mathematical concept: additive	2158
595	mathematical concept: multiplicative	2813
596	mathematical concept: scalar	2813
597	everyday usage: used in cooking	2238
598	everyday usage: used in construction	2479
599	everyday usage: used in science	692
600	type: airplane	2383
601	type: non-powered	1061
602	design: lightweight	2827
603	design: streamlined	156
604	function: soar	2866
605	function: stay aloft	1845
606	function: rely on lift	2528
607	control: rudder	91
608	control: elevators	3040
609	control: ailerons	74
610	used for: recreational flying	1779
611	used for: scientific research	692
612	used for: competition	444
613	characteristics: silent	767
614	characteristics: slow	452
615	characteristics: highly maneuverable	452
616	type: goal-oriented	2902
617	type: purposive	978
618	type: deliberate	811
619	initiation: voluntary	75
620	initiation: conscious	75
621	initiation: willed	75
622	guiding principle: goal	2101
623	guiding principle: objective	3031
624	guiding principle: purpose	3031
625	outcome: desired	2161
626	outcome: intended	2161
627	outcome: planned	2161
628	control: self-directed	1687
629	control: self-controlled	1687
630	control: autonomous	1687
631	evaluation: assessed	76
632	evaluation: judged	76
633	evaluation: evaluated	76
634	component: locomotive	1240
635	component: carriage	2214
636	component: wagon	116
637	component: railway track	1538
638	function: connect cities	294
639	speed: medium	928
640	material: iron	22
641	used for: long-distance travel	2343
642	located at: railway station	411
643	located at: train yard	77
644	located at: railyard	77
645	located at: highway	78
646	function: transportation	1238
647	size: medium to large	1
648	size: multiple holds	2046
649	purpose: move goods	1956
650	purpose: reduce costs	445
651	purpose: increase efficiency	1673
652	characteristics: containerized	3044
653	characteristics: specialized	79
654	usage: oceanic trade	2167
655	usage: port operations	1055
656	usage: logistics	198
657	features: reconfigurable	2519
658	features: efficient	629
659	features: versatile	1075
660	type: government regulation	2718
661	type: legislation	2104
662	type: rule-making	637
663	purpose: ensuring public safety	80
664	purpose: protecting environment	2166
665	purpose: maintaining public health	496
666	scope: industry-specific	2345
667	involvement: government agencies	1776
668	involvement: lobby groups	982
669	involvement: citizens	446
670	steps: drafting	288
671	steps: consultation	2949
672	steps: approval	3101
673	steps: enforcement	1110
674	characteristics: transparent	1485
675	characteristics: accountable	1464
676	characteristics: rigid	81
677	type: ambulance	150
678	type: fire truck	150
679	type: police car	150
680	type: rescue vehicle	150
681	purpose: medical emergency	2863
682	purpose: firefighting	92
683	purpose: law enforcement	448
684	purpose: search and rescue	476
685	characteristics: loud siren	1530
686	characteristics: flashing lights	1808
687	characteristics: emergency lights	1808
688	speed: high speed	1023
689	speed: fast response	928
690	staff: paramedics	94
691	staff: firefighters	3063
692	staff: police officers	3136
693	staff: rescuers	94
694	location: hospital	82
695	location: fire station	480
696	location: police station	2004
697	location: scene of emergency	152
698	purpose: regulate traffic	70
699	purpose: prevent accidents	2747
700	purpose: manage traffic flow	3140
701	colors: red	2205
702	colors: yellow	83
703	colors: green	292
704	location: road	1295
705	location: intersection	363
706	location: highway	1295
707	operation: electronic	2244
708	operation: mechanical	706
709	types: stop sign	2935
710	types: yield sign	1299
711	types: go sign	2935
712	functions: stop	1384
713	functions: caution	2395
714	functions: go	1385
715	visibility: visible from distance	84
716	visibility: brightly lit	831
717	visibility: clearly marked	84
718	structure: flat	1436
719	structure: sloping	2327
720	structure: raised	2249
721	material: plastic	2156
722	function: walking	1576
723	function: working	2324
724	function: entertainment	6
725	features: rails	2170
726	features: ladders	85
727	features: cabins	40
728	features: equipment	463
729	location: top	86
730	location: side	1229
731	location: front	1229
732	location: back	1229
733	purpose: recreation	87
734	purpose: commerce	2425
735	type: aircraft	2383
736	type: small plane	1435
737	type: general aviation	2458
738	power source: propeller	2608
739	power source: engine	633
740	propulsion method: pusher	88
741	propulsion method: tractor	1518
742	speed: low to moderate	3
743	speed: around 100-200 mph	2972
744	usage: training	1531
745	usage: utility	2514
746	usage: personal transportation	1750
747	characteristics: smaller	2
748	characteristics: lower cost	323
749	characteristics: less complex	1075
750	features: fixed wing	1435
751	features: open cockpit	2363
752	features: manual controls	2108
753	type: canoe	50
754	type: yacht	2736
755	type: sailboat	50
756	material: fiberglass	1615
757	size: big	1
758	size: tiny	2
759	purpose: sailing	1225
760	propulsion: engine	3138
761	propulsion: sail	2607
762	propulsion: oars	88
763	propulsion: paddle	88
764	propulsion: pedals	683
765	used for: sailing	1225
766	used for: fishing	926
767	used for: swimming	1271
768	used for: transporting people	504
769	used for: exploring	98
770	features: hull	89
771	features: mast	90
772	features: rudder	91
773	features: anchors	597
774	features: life jacket	2374
775	geographical feature: continent	2696
776	geographical feature: country	2695
777	geographical feature: state	2695
778	geographical feature: city	2162
779	units of measurement: square meters	1916
780	units of measurement: square kilometers	1112
781	units of measurement: square miles	1112
782	location: earth	1115
783	location: globe	1115
784	location: map	1092
785	usage: habitation	1510
786	usage: agriculture	1586
787	usage: industry	2992
788	usage: wildlife	1114
789	boundary: coastline	3002
790	boundary: border	1966
791	boundary: mountain range	2950
792	boundary: river	1221
793	features: forest	2418
794	features: desert	2284
795	features: ocean	1522
796	features: mountain	2950
797	features: valley	3060
798	type: rescue truck	150
799	function: transporting patients	3103
800	function: fighting fires	92
801	function: patrolling roads	256
802	function: rescuing people	93
803	equipment: stretchers	2066
804	equipment: fire hoses	1116
805	equipment: sirens	1530
806	equipment: lights	2042
807	crew: paramedics	94
808	crew: firefighters	3063
809	crew: police officers	3136
810	crew: rescuers	94
811	action: lift off	95
812	action: depart	451
813	action: start flying	1845
814	mode of transportation: airplane	909
815	mode of transportation: rocket	1063
816	mode of transportation: spaceship	2604
817	location: launchpad	1624
818	location: spaceport	1624
819	process: reaching high speed	1175
820	process: gaining altitude	984
821	process: breaking free from gravity	96
822	result: reaching orbit	1917
823	result: flying	1845
824	result: reaching destination	2834
825	function: finding direction	1987
826	function: getting lost	2834
827	function: planning route	1656
828	methods: map	879
829	methods: compass	2798
830	methods: gps	453
831	methods: stars	97
832	methods: dead reckoning	985
833	tools: map	879
834	tools: compass	2798
835	tools: gps device	1374
836	tools: smartphone app	1657
837	purpose: traveling	348
838	purpose: exploring	98
839	purpose: emergency	1305
840	location: sea	206
841	location: air	832
842	location: space	792
843	orientation: north	1967
844	orientation: south	1967
845	orientation: east	1967
846	orientation: west	1967
847	vehicle type: large	962
848	vehicle type: family	1123
849	vehicle type: multi-purpose	2505
850	size: wide	742
851	size: tall	361
852	seating capacity: many	3016
853	seating capacity: up to 8	3016
854	features: sliding doors	457
855	features: captain's chairs	99
856	features: storage compartments	2303
857	purpose: family transportation	1591
858	purpose: road trips	365
859	purpose: soccer practice	1853
860	target audience: families	100
861	target audience: soccer teams	1064
862	target audience: elderly	101
863	available at: dealership	2884
864	available at: used car lot	2884
865	available at: online marketplaces	1517
866	function: accommodation	279
867	function: storage	1923
868	function: office	59
869	location: on deck	1825
870	location: below deck	1825
871	location: bridge	869
872	features: bed	102
873	features: desk	1661
874	features: wardrobe	665
875	features: bathroom	2382
876	type: single room	1113
877	type: multi-room	1113
878	type: suite	2990
879	furniture: chair	2807
880	furniture: table	1854
881	furniture: couch	2807
882	furniture: television	2317
883	amenities: internet	410
884	amenities: mini bar	1583
885	amenities: safe	1572
886	function: supplying oil rigs	1083
887	function: transporting crew	2640
888	design: customized	103
889	equipment: winches	243
890	equipment: tugboats	1768
891	location: coastal areas	112
892	usage: supporting offshore operations	104
893	usage: rescue missions	151
894	operator: oil company	1686
895	operator: contractor	1469
896	operator: military	1455
897	function: supports vehicle	1334
898	function: transfers power	2471
899	function: absorbs shock	1630
900	design: round	266
901	design: spoked	177
902	design: rimmed	1228
903	material: rubber	2388
904	size: diameter	1019
905	size: width	742
906	used in: cars	1782
907	used in: bikes	1783
908	used in: airplanes	105
909	components: tire	106
910	components: rim	1228
911	components: hubcap	107
912	location: on vehicle	1682
913	location: at tire shop	65
914	location: in garage	495
915	purpose: direct traffic flow	1558
916	purpose: manage traffic congestion	3140
917	methods: stop lights	1749
918	methods: stop signs	2935
919	methods: traffic signals	2571
920	methods: lane management	1990
921	actors: drivers	631
922	actors: pedestrians	2331
923	actors: traffic authorities	1526
924	settings: roads	459
925	settings: highways	459
926	settings: intersections	548
927	concerns: safety	366
928	concerns: efficiency	367
929	concerns: environmental impact	754
930	goals: minimize congestion	1057
931	goals: reduce accidents	744
932	goals: optimize traffic flow	1057
933	influencing factors: weather	2741
934	influencing factors: time of day	2476
935	influencing factors: construction	1536
936	influencing factors: special events	1280
937	type: commercial	1130
938	size: global	923
939	size: major	1
940	fleet: airplanes	2230
941	fleet: jet airliners	108
942	fleet: wide-body aircraft	108
943	routes: long-haul	186
944	routes: short-haul	2844
945	routes: transcontinental	186
946	services: baggage handling	43
947	services: in-flight meals	1514
948	reputation: reliable	427
949	reputation: comfortable	2501
950	reputation: efficient	629
951	operations: scheduled flights	1991
952	operations: charter flights	648
953	operations: cargo transport	2211
954	definition: path followed by an aircraft	817
955	purpose: transporting people	504
956	components: departure airport	1442
957	components: arrival airport	728
958	components: route distance	1922
959	types: international	109
960	types: domestic	829
961	types: charter	648
962	features: flight duration	2994
963	features: route frequency	2375
964	features: route map	649
965	used for: travel	110
966	used for: business	1292
967	function: exporting goods	111
968	function: importing goods	111
969	function: transshipment	862
970	location: coastal area	112
971	location: seaport	113
972	infrastructure: large cargo ships	2756
973	infrastructure: heavy machinery	1389
974	infrastructure: storage facilities	296
975	operational mode: 24/7	219
976	operational mode: weather-dependent	724
977	importance: economic growth	1363
978	importance: job creation	1246
979	importance: trade facilitation	1756
980	function: transporting railcars	1635
981	function: shipping goods	114
982	type: freight vessel	66
983	type: barge	2805
984	structure: hull	89
985	structure: deck	641
986	structure: cranes	218
987	capacity: many railcars	2720
988	capacity: heavy loads	2926
989	used for: moving goods	1632
990	used for: reducing traffic congestion	1057
991	located at: ports	115
992	located at: waterways	2764
993	located at: oceans	1633
994	type: railway	687
995	type: wagon	116
996	structure: metal	8
997	structure: box-shaped	1383
998	features: wheels	56
999	features: brakes	117
1000	features: couplers	1015
1001	used for: shipping goods	907
1002	used for: moving heavy loads	1326
1003	location: railway yard	856
1004	location: train station	118
1005	location: industrial area	2124
1006	unit of measurement: volume	2559
1007	unit of measurement: space	792
1008	size: 12 inches	2957
1009	size: 30.48 centimeters	1622
1010	used for: measuring space	2983
1011	used for: measuring volume	2109
1012	used for: measuring capacity	2109
1013	common applications: building construction	2479
1014	common applications: packaging	2270
1015	common applications: scuba diving	1785
1016	related concepts: foot	2111
1017	related concepts: cubic meter	72
1018	related concepts: gallon	72
1019	conversion: 1 cubic foot = 28.32 liters	2278
1020	conversion: 1 cubic foot = 1728 cubic inches	2748
1021	category: railway equipment	3074
1022	category: vehicle	2505
1023	type: carriage	2214
1024	function: carrying people	504
1025	function: carrying goods	119
1026	function: propelling trains	2831
1027	components: tracks	865
1028	components: brakes	117
1029	used for: transporting passengers	464
1030	located at: railway yard	77
1031	located at: train station	411
1032	located at: trackside	1014
1033	definition: place where a ship docks	2198
1034	definition: port	2777
1035	definition: wharf	3066
1036	purpose: loading and unloading cargo	1771
1037	purpose: refueling	1313
1038	purpose: repairing	163
1039	location: port city	113
1040	characteristics: fixed structure	52
1041	characteristics: waterfront	215
1042	characteristics: secure	120
1043	types: anchorage	121
1044	types: dry dock	1915
1045	types: pier	122
1046	features: cranes	218
1047	features: docks	217
1048	features: moorings	465
1049	usage: military	872
1050	category: car	188
1051	category: truck	189
1052	category: bus	1587
1053	category: train	2154
1054	number of wheels: four	466
1055	number of wheels: two	466
1056	number of wheels: six	466
1057	mode of transportation: personal	1750
1058	mode of transportation: commercial	601
1059	mode of transportation: public	1997
1060	propulsion: human power	683
1061	used for: hauling	736
1062	used for: tourism	991
1063	location: parking lot	65
1064	purpose: aid navigation	1296
1065	purpose: mark channel	2536
1066	purpose: indicate danger	1180
1067	materials: metal	2545
1068	materials: plastic	2388
1069	materials: fiberglass	1615
1070	shape: cylindrical	1383
1071	shape: spherical	266
1072	shape: pyramidal	2586
1073	size: varies	1386
1074	size: typically tall	361
1075	color: red	2205
1076	color: white	2206
1077	color: black	1351
1078	usage: anchored	123
1079	usage: buoyed	3029
1080	usage: moored	2051
1081	visibility: day	2951
1082	visibility: night	2951
1083	visibility: weather conditions	2951
1084	type: railway vehicle	969
1085	function: transporting liquids	654
1086	function: storing chemicals	12
1087	design: large capacity	124
1088	design: insulated	2320
1089	construction: steel	125
1090	construction: reinforced	1021
1091	used for: transporting oil	2749
1092	used for: moving chemicals	12
1093	used for: storing gas	362
1094	location: chemical plant	2124
1095	structure: bridge	49
1096	structure: infrastructure	2047
1097	structure: engineering	2867
1098	function: connects rail lines	2463
1099	function: crosses water	467
1100	function: facilitates transportation	3115
1101	material: concrete	139
1102	design: arch	468
1103	design: beam	126
1104	design: cantilever	127
1105	location: near water	2662
1106	location: in city	2624
1107	location: in countryside	893
1108	maintenance: regular inspections	2632
1109	maintenance: repairs	142
1110	maintenance: replacement	142
1111	history: historic landmark	2851
1112	history: built in 19th century	2823
1113	history: important for economy	2700
1114	function: provides navigation signals	1343
1115	function: helps with navigation	1296
1116	type: ground-based	685
1117	type: space-based	2604
1118	signal type: radio signal	471
1119	signal type: gps signal	453
1120	used for: aircraft navigation	825
1121	used for: marine navigation	135
1122	used for: land navigation	1296
1123	characteristics: omnidirectional	507
1124	characteristics: high accuracy	1520
1125	example of: vor	469
1126	example of: ndb	1445
1127	example of: gps satellite	1374
1128	industry: commerce	128
1129	function: providing services	129
1130	types of vessels: container ships	2232
1131	types of vessels: tankers	2534
1132	types of vessels: bulk carriers	1549
1133	employees: sailors	473
1134	employees: officers	2647
1135	employees: cargoes	678
1136	regulations: maritime law	936
1137	regulations: international conventions	2727
1138	purpose: global trade	1788
1139	purpose: economic development	2311
1140	history: long history	472
1141	history: evolved over time	2700
1142	definition: freedom of navigation	2112
1143	definition: right to sail	2112
1144	definition: maritime trade	2167
1145	historical context: historical	236
1146	historical context: maritime trade	2167
1147	historical context: colonial era	130
1148	purpose: strategic	16
1149	purpose: national interest	131
1150	types: coastal trade	2167
1151	types: international trade	1788
